count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid
54,"self-reported history of regular cannabis use resulting in a minimum of 5,000 separate lifetime occasions of use",patients,CAN,,,,,,,,yes,7416060.0
31,,healthy,HC,,,,,,,,yes,8933317.0
35,TLEMI,patients,memoryintact,,,,,,,,yes,8933317.0
31,TLEMD,patients,memorydeficit,,,,,,,,yes,8933317.0
160,none,healthy,HCs (FBIRN),115.0,45.0,37.04,19-59,19,59,,yes,7721229.0
151,schizophrenia,patients,SZ (FBIRN),115.0,36.0,38.77,18-62,18,62,,yes,7721229.0
314,none,healthy,HCs (ABIDE1),249.0,65.0,17.04,6.47-56.20,6,56,,yes,7721229.0
255,autism spectrum disorder,patients,ASD (ABIDE1),224.0,31.0,17.05,7.00-55.40,7,55,,yes,7721229.0
18,lung cancer,patients,lung cancer patients before chemotherapy,,,,48-70,48,70,,yes,7275001.0
18,lung cancer,patients,lung cancer patients after chemotherapy,,,,48-70,48,70,,yes,7275001.0
21,,healthy,healthy controls,,,,48-70,48,70,,yes,7275001.0
820,,healthy,Human Connectome Project (HCP),,,,,,,,yes,6492297.0
23,,healthy,HC,15.0,8.0,31.1,19-44,19,44,,yes,5761874.0
25,temporal lobe epilepsy,patients,TLE,13.0,12.0,33.6,20-45,20,45,,yes,5761874.0
163,HC,healthy,HC,117.0,46.0,36.9,,,,,yes,9057100.0
151,SZ,patients,SZ,114.0,37.0,37.8,,,,,yes,9057100.0
16,none,healthy,awake volunteers,13.0,3.0,,18-40,18,40,,yes,6787094.0
16,none,healthy,propofol-anaesthetised volunteers,13.0,3.0,,18-40,18,40,,yes,6787094.0
22,"disorders of consciousness (DOC; unresponsive wakefulness syndrome/vegetative state (UWS) or minimally conscious state, MCS)",patients,DOC patients,14.0,8.0,,17-70,17,70,,yes,6787094.0
18,JME,patients,JME patients,3.0,15.0,30.1,20-48,20,48,,yes,6412974.0
25,,healthy,healthy controls,14.0,10.0,33.2,,,,,yes,6412974.0
50,first-episode schizophrenia with auditory verbal hallucinations (AVHs),patients,AVH,,,,,,,,yes,9435010.0
50,first-episode schizophrenia without auditory verbal hallucinations (NAVH),patients,NAVH,,,,,,,,yes,9435010.0
50,,healthy,HC,,,,,,,,yes,9435010.0
17,DLB,patients,DLB,13.0,4.0,71.88,60-82,60,82,,yes,6902076.0
20,,healthy,HC,9.0,11.0,67.8,56-77,56,77,,yes,6902076.0
24,MSA,patients,MSA patients,,,,,,,,yes,7485713.0
20,HC,healthy,healthy controls,,,,,,,,yes,7485713.0
34,schizophrenia,patients,unmedicated,,,,,,,,yes,5292583.0
29,schizophrenia,patients,1 week risperidone treatment,,,,,,,,yes,5292583.0
24,schizophrenia,patients,6 weeks risperidone treatment,,,,,,,,yes,5292583.0
35,,healthy,baseline,,,,,,,,yes,5292583.0
19,,healthy,6 weeks,,,,,,,,yes,5292583.0
163,healthy controls,healthy,HC,117.0,46.0,36.9,null,,,,yes,6611425.0
151,schizophrenia,patients,SZ,114.0,37.0,37.8,null,,,,yes,6611425.0
21,heroin relapsers,patients,relapsers,21.0,0.0,35.6,null,,,,yes,4990879.0
19,heroin non-relapsers,patients,non-relapsers,19.0,0.0,39.3,null,,,,yes,4990879.0
44,"drug-naive, first-episode schizophrenia",patients,patients with schizophrenia,,,,18-37,18,37,,yes,6197719.0
42,unaffected siblings,patients,unaffected siblings,,,,18-37,18,37,,yes,6197719.0
44,,healthy,healthy controls,,,,18-37,18,37,,yes,6197719.0
102,,healthy,Oulu dataset,36.0,66.0,21.5,20-23,20,23,,yes,3775427.0
20,fibromyalgia,patients,FM,0.0,20.0,46.4,22-70,22,70,,yes,6820536.0
20,none,healthy,HC,0.0,20.0,42.1,21-70,21,70,,yes,6820536.0
21,none,healthy,healthy volunteers,12.0,14.0,23.04,18-35,18,35,,yes,6697392.0
29,,healthy,healthy volunteers,,,,,,,,yes,7563756.0
21,PTSD,patients,PTSD,,,,,,,,yes,5030332.0
48,pedophilic CSOs,patients,convicted CSOs,48.0,0.0,,,,,,yes,6678781.0
31,pedophilic CSOs,patients,non-convicted CSOs,31.0,0.0,,,,,,yes,6678781.0
17,,healthy,right-handed native German volunteers with no neurological or psychiatric history,5.0,12.0,24.0,18-31,18,31,,yes,5902547.0
11,right MCA infarction,patients,right MCA infarction,11.0,0.0,56.2,45-68,45,68,,yes,8154462.0
9,,healthy,healthy controls,9.0,0.0,53.7,40-67,40,67,,yes,8154462.0
15,no history of neurological or psychiatric illness,healthy,students,7.0,8.0,23.8,19-28,19,28,,yes,5324609.0
18,neovascular age-related macular degeneration (nAMD),patients,nAMD,9.0,9.0,,,55,,,yes,8544331.0
18,healthy controls (HCs),healthy,HCs,9.0,9.0,,,,,,yes,8544331.0
20,ALS,patients,ALS patients,,,,,,,,yes,3447931.0
20,,healthy,healthy volunteers,,,,,,,,yes,3447931.0
24,,healthy,Study 1,0.0,24.0,24.0,20-30,20,30,,yes,3965851.0
18,,healthy,Study 2,0.0,18.0,24.0,20-30,20,30,,yes,3965851.0
19,N/A,healthy,working with children (WC),9.0,10.0,24.08,N/A,,,,yes,7395771.0
19,N/A,healthy,not working with children (NWC),9.0,10.0,24.08,N/A,,,,yes,7395771.0
69,chronic dieters,patients,chronic dieters,0.0,69.0,19.38,18-23,18,23,,yes,5460048.0
17,PD,patients,PD patients,2.0,15.0,,,,,,yes,6382839.0
17,HC,healthy,HC,4.0,13.0,,,,,,yes,6382839.0
44,"drug-naive, first-episode schizophrenia",patients,patients with schizophrenia,,,,18-37,18,37,,yes,6197719.0
42,unaffected siblings,patients,unaffected siblings,,,,18-37,18,37,,yes,6197719.0
44,,healthy,healthy controls,,,,18-37,18,37,,yes,6197719.0
15,committed Christians,patients,Christians,7.0,8.0,,18-30,18,30,,yes,2748718.0
15,nonbelievers,patients,Nonbelievers,7.0,8.0,,18-30,18,30,,yes,2748718.0
23,null,healthy,null,18.0,5.0,22.0,null,,,,yes,4330553.0
26,psychogenic erectile dysfunction (pED),patients,pED,26.0,0.0,26.8,21-32,21,32,,yes,6290711.0
26,none,healthy,NC,26.0,0.0,28.5,25-32,25,32,,yes,6290711.0
26,typically developing,healthy,overall,17.0,9.0,11.42,8-16,8,16,,yes,7005761.0
16,typically developing,healthy,7-repeat absent,10.0,6.0,,,,,,yes,7005761.0
10,typically developing,healthy,7-repeat present,7.0,3.0,,,,,,yes,7005761.0
15,Autism Spectrum Disorder,patients,ASD,12.0,3.0,38.0,null,,,,yes,2648877.0
18,non-autistic,healthy,control,13.0,5.0,32.0,null,,,,yes,2648877.0
21,problematic tinnitus,patients,initial,10.0,11.0,,21-72,21,72,,no,6667657.0
12,problematic tinnitus,patients,pre-MBCT,,,,,,,,yes,6667657.0
10,problematic tinnitus,patients,post-MBCT,,,,,,,,yes,6667657.0
8,problematic tinnitus,patients,follow-up,,,,,,,,yes,6667657.0
21,PSD,patients,temporal lobe subgroup,,,,60-70,60,70,,yes,5665859.0
30,PSD,patients,frontal lobe subgroup,,,,60-70,60,70,,yes,5665859.0
21,PSD,patients,parietal lobe subgroup,,,,60-70,60,70,,yes,5665859.0
15,,healthy,blank control group,,,,60-70,60,70,,yes,5665859.0
11,depression,patients,depressed patients,5.0,6.0,61.0,18-68,18,68,,yes,4589842.0
11,null,healthy,healthy controls,5.0,6.0,56.0,8-68,8,68,,yes,4589842.0
16,DLB,patients,DLB,,,,,,,,yes,3984441.0
17,no history of psychiatric or neurological brain disease,healthy,controls,,,,,,,,yes,3984441.0
24,postpartum,patients,postpartum,0.0,24.0,,,,,,yes,7272423.0
27,control,healthy,control,0.0,27.0,,,,,,yes,7272423.0
19,"no history of neurological illness, psychiatric disorders, or substance abuse",healthy,all participants,10.0,9.0,22.8,19-31,19,31,,yes,3869649.0
10,,healthy,healthy,7.0,3.0,27.72,,,,,yes,4029023.0
149,,healthy,female,0.0,149.0,24.5,18-68,18,68,,yes,4115625.0
123,,healthy,male,123.0,0.0,24.4,18-61,18,61,,yes,4115625.0
18,neurologically healthy,healthy,University of Gothenburg participants,9.0,9.0,,20-32,20,32,,yes,4318429.0
12,LMTLE,patients,LMTLE,,,,,,,,yes,4017227.0
11,RMTLE,patients,RMTLE,,,,,,,,yes,4017227.0
19,,healthy,controls,,,,,,,,yes,4017227.0
67,null,healthy,adolescents,36.0,31.0,15.6,13-18,13,18,,yes,8379626.0
58,free from self-reported life-time psychiatric or neurological disease and medication,healthy,all participants,26.0,32.0,24.02,null,,,,yes,3492343.0
16,,healthy,healthy,9.0,7.0,,18-35,18,35,,yes,3183226.0
220,healthy,healthy,adolescents,115.0,105.0,14.61,14-15,14,15,,yes,3991323.0
28,healthy,healthy,adults,17.0,11.0,25.24,20-39,20,39,,yes,3991323.0
47,nulliparous,healthy,female undergraduate students,0.0,47.0,19.62,null,,,,yes,5548834.0
17,normal,healthy,children,8.0,9.0,7.4,6.9-7.8,6,8,,yes,3780305.0
18,healthy,healthy,healthy volunteers,8.0,10.0,22.5,20-24,20,24,,yes,6344389.0
157,psychopathy,patients,incarcerated,0.0,157.0,,18-50,18,50,,yes,4174863.0
46,,healthy,non-incarcerated,0.0,46.0,,18-50,18,50,,yes,4174863.0
6,,healthy,visual task,4.0,2.0,,,,,,yes,5596109.0
10,,healthy,"motor, language, and spatial attention",4.0,6.0,,50-58,50,58,52.5,yes,5596109.0
25,,healthy,NYU resting-state,,,,,,,,yes,5596109.0
20,no history of neurological or psychiatric disease,healthy,healthy undergraduate and postgraduate students,10.0,10.0,22.3,19-28,19,28,,yes,7002496.0
20,typically developing,healthy,typically developing,,,5.8,5.2-6.8,5,6,,yes,4274095.0
38,ADHD,patients,adults with ADHD,18.0,20.0,40.5,null,,,,yes,6347794.0
20,ADHD,patients,ADHD adults,16.0,4.0,34.9,null,,,,yes,6347794.0
20,null,healthy,healthy participants,14.0,6.0,31.2,null,,,,yes,6347794.0
22,T2DM-CI,patients,T2DM-CI,,,,,,,,yes,7829678.0
31,T2DM-NC,patients,T2DM-NC,,,,,,,,yes,7829678.0
39,HC,healthy,HC,,,,,,,,yes,7829678.0
233,free of neurological and psychiatric disorders,healthy,all participants,116.0,117.0,16.1,9.9-26.6,9,26,,yes,5390693.0
51,,healthy,adolescents,26.0,25.0,13.98,12.03-15.94,12,15,,yes,6664004.0
8,right-sided cerebral palsy,patients,right-sided cerebral palsy,3.0,5.0,,10-30,10,30,,yes,6878729.0
34,,healthy,older adults,14.0,20.0,73.2,56-83,56,83,,yes,7779563.0
25,,healthy,healthy,8.0,17.0,,23-41,23,41,,yes,3483694.0
37,No previous history of neurological disease or mental illness,healthy,HCs,,,,,40,80,,yes,8315277.0
39,mild WMHs,patients,mild WMHs,,,,,40,80,,yes,8315277.0
37,moderate WMHs,patients,moderate WMHs,,,,,40,80,,yes,8315277.0
28,severe WMHs,patients,severe WMHs,,,,,40,80,,yes,8315277.0
28,ASD,patients,children and adolescents,,,13.43,,10,17,,yes,5870086.0
58,EOD,patients,EOD,,,,18-29,18,29,,yes,5598991.0
62,LOD,patients,LOD,,,,30-44,30,44,,yes,5598991.0
60,,healthy,young HC,,,,,,,,yes,5598991.0
52,,healthy,old HC,,,,,,,,yes,5598991.0
12,,healthy,right-handed,5.0,7.0,25.8,null,,,,yes,7649291.0
21,,healthy,,21.0,0.0,25.77,20-40,20,40,,yes,5776089.0
11,none,healthy,right-handed literate native English speakers with normal or corrected-to-normal vision,8.0,3.0,33.1,25-47,25,47,,yes,6328158.0
12,,healthy,adults,6.0,6.0,25.4,20-40,20,40,,yes,2151069.0
12,,healthy,healthy volunteers,7.0,5.0,38.0,23-60,23,60,,yes,4075342.0
13,,healthy,healthy,6.0,7.0,28.4,19-45,19,45,,yes,7430162.0
24,,healthy,healthy,12.0,12.0,,,,,,yes,3362560.0
10,N0S-N0S0 MLDs greater than 10 dB,patients,N0S-N0S0 MLDs,5.0,5.0,29.5,22-43,22,43,,yes,3407245.0
46,,healthy,KAIST participants,32.0,14.0,22.61,null,,,,yes,7745153.0
33,,healthy,participants,18.0,15.0,25.242,,,,,yes,7156375.0
24,null,healthy,Experiment 1 and 2,9.0,15.0,,null,,,,yes,6016936.0
4,null,healthy,Supplementary Experiment,,,,null,,,,yes,6016936.0
103,no current or history of diagnosis of any Axis I psychiatric or substance (except nicotine) use disorders,healthy,healthy adults,52.0,51.0,32.5,18-72,18,72,,yes,3334814.0
18,ASC,patients,ASC,,,30.4,,,,,yes,4265725.0
18,TD,healthy,TD,,,28.6,,,,,yes,4265725.0
16,obesity,patients,obese women,0.0,16.0,46.31,null,35,55,,yes,5537800.0
30,chronic osteoarthritis (OA),patients,verum acupuncture,,,,40-70,40,70,,yes,4175730.0
30,chronic osteoarthritis (OA),patients,sham acupuncture,,,,40-70,40,70,,yes,4175730.0
23,,healthy,control subjects,,,15.2,15-16,15,16,,yes,4030253.0
18,Internet addiction (IA),patients,IA subjects,,,15.1,14-17,14,17,,yes,4030253.0
15,phobic prone,healthy,PP,9.0,6.0,39.2,,,,,yes,3002948.0
15,eating disorders prone,healthy,EDP,10.0,5.0,34.4,,,,,yes,3002948.0
21,PTSD,patients,PTSD,6.0,15.0,21.5,18-31,18,31,,yes,6024199.0
21,trauma-exposed controls,healthy,trauma-exposed controls,7.0,14.0,22.1,18-37,18,37,,yes,6024199.0
20,APOE 2/3,healthy,APOE 2/3,,,,18-23,18,23,,yes,3520927.0
20,APOE 3/4,healthy,APOE 3/4,,,,18-23,18,23,,yes,3520927.0
21,,healthy,original sample,8.0,13.0,24.9,19-30,19,30,,yes,5218407.0
20,,healthy,fMRI analysis sample,8.0,12.0,25.1,19-30,19,30,,yes,5218407.0
17,,healthy,second analysis sample,7.0,10.0,25.0,19-30,19,30,,yes,5218407.0
19,null,healthy,younger adults,5.0,14.0,22.6,18-27,18,27,,yes,3660406.0
15,null,healthy,older adults,5.0,10.0,61.1,51-71,51,71,,yes,3660406.0
21,Parkinson's disease (PD),patients,Parkinson's disease (PD),13.0,8.0,60.8,44-73,44,73,,yes,3182403.0
56,,healthy,football enthusiasts,54.0,2.0,34.4,21-60,21,60,,yes,5460049.0
31,,healthy,healthy volunteers,10.0,21.0,24.3,20-29,20,29,,yes,6847157.0
12,,healthy,young adults,8.0,4.0,25.2,,,,,yes,6585311.0
10,chronic post-stroke hemiparesis,patients,stroke survivors,6.0,4.0,66.7,,,,,yes,6585311.0
9,,healthy,age-matched controls,4.0,5.0,64.2,,,,,yes,6585311.0
35,,healthy,controls,26.0,9.0,27.12,,,,,yes,8550949.0
31,schizophrenia or schizoaffective disorder,patients,drug-free patients,26.0,5.0,26.64,,,,,yes,8550949.0
29,,healthy,participants,16.0,13.0,23.6,21-33,21,33,,yes,7989009.0
18,,healthy,"right-handed, native speakers of British English",11.0,7.0,26.7,18-60,18,60,22.5,yes,2775905.0
21,BDD,patients,BDD,,,,16-48,16,48,,yes,6246657.0
40,MDD,patients,MDD,,,,16-48,16,48,,yes,6246657.0
70,,healthy,HC,,,,16-48,16,48,,yes,6246657.0
24,,healthy,healthy volunteers,12.0,12.0,26.0,23-34,23,34,,yes,3502502.0
46,,healthy,healthy volunteers,21.0,25.0,30.0,19-63,19,63,,yes,3502502.0
20,MdDS,patients,MdDS,5.0,15.0,43.4,27-66,27,66,,yes,3510214.0
20,normal,healthy,CTRL,,,43.0,23-59,23,59,,yes,3510214.0
12,,healthy,Experiment 1,,,,,,,,yes,2995581.0
18,,healthy,Experiment 2,,,,,,,,yes,2995581.0
284,healthy,healthy,healthy,144.0,140.0,25.0,19-31,19,31,,yes,4319399.0
15,,healthy,male university students,15.0,0.0,22.33,,,,,yes,4838249.0
28,,healthy,healthy,15.0,13.0,26.39,null-null,,,,yes,7481390.0
40,,healthy,older adult,24.0,16.0,68.4,null,,,,yes,5717028.0
19,MDD,patients,MDD patients,,,,18-55,18,55,,yes,7875881.0
17,none,healthy,HCs,,,,18-55,18,55,,yes,7875881.0
29,,healthy,healthy participants,15.0,14.0,34.5,,,,,yes,6868994.0
18,nicotine-deprived smokers,patients,Chinese smokers,18.0,0.0,25.11,21-33,21,33,,yes,3409150.0
20,,healthy,Dataset 1: Algebra,,,,,,,,yes,4352055.0
19,,healthy,Dataset 2: Multitasking,,,,,,,,yes,4352055.0
18,,healthy,fMRI experiment I,9.0,9.0,23.67,19-35,19,35,,yes,2144768.0
33,healthy,healthy,Group 1,17.0,16.0,25.3,null,,,,yes,3676955.0
18,,healthy,healthy controls,8.0,10.0,63.0,54-72,54,72,,yes,4473263.0
15,AOS,patients,AOS,15.0,0.0,61.0,49-73,49,73,,yes,4473263.0
17,AOS-absent,patients,AOS-absent,12.0,5.0,64.0,55-73,55,73,,yes,4473263.0
45,nicotine dependence,patients,smokers,,,27.9,,,,,yes,3511796.0
44,,healthy,non-smokers,,,26.3,,,,,yes,3511796.0
29,self-reported healthy,healthy,young adults,10.0,19.0,23.8,19-30,19,30,,yes,8318202.0
32,self-reported healthy,healthy,older adults,15.0,17.0,71.0,65-81,65,81,,yes,8318202.0
10,,healthy,undergraduate and graduate students,4.0,6.0,20.8,,,,,yes,6528067.0
20,,healthy,healthy adults,12.0,8.0,24.4,19-35,19,35,,yes,3147157.0
13,experienced HA users,patients,eHA,,,,60-80,60,80,,yes,6509414.0
14,inexperienced HA users,patients,iHA,,,,60-80,60,80,,yes,6509414.0
19,,healthy,right-handed,7.0,12.0,24.7,19-30,19,30,,yes,2561002.0
15,,healthy,left-handed,5.0,10.0,26.1,21-35,21,35,,yes,2561002.0
20,,healthy,ASL learners,1.0,19.0,21.4,18-31,18,31,,yes,6136263.0
16,ASD,patients,ASD,16.0,0.0,,8-18,8,18,,yes,5279905.0
16,TD,healthy,TD,,,,8-18,8,18,,yes,5279905.0
14,PTSD,patients,PTSD,,,,,,,,yes,8785646.0
15,,healthy,healthy controls,,,,,,,,yes,8785646.0
56,,healthy,GnRHa and placebo groups,0.0,56.0,24.3,19-29,19,29,,yes,5068584.0
27,left hemisphere stroke,patients,patients,17.0,10.0,59.1,unknown,,,,yes,5903407.0
24,none,healthy,healthy,20.0,4.0,57.0,unknown,,,,yes,5903407.0
21,profoundly deaf,patients,all deaf readers,6.0,15.0,29.33,19-46,19,46,,yes,3554651.0
11,profoundly deaf,patients,proficient deaf readers,3.0,8.0,28.73,19-46,19,46,,yes,3554651.0
10,profoundly deaf,patients,less-proficient deaf readers,3.0,7.0,30.0,19-45,19,45,,yes,3554651.0
13,phantom limb pain (PLP),patients,upper limb amputees,11.0,2.0,52.92,32-75,32,75,,yes,2494616.0
6,,healthy,healthy volunteers,,,43.0,30-56,30,56,,yes,2494616.0
10,MJ abuse,patients,chronic marijuana (MJ) users,8.0,2.0,,,,,,yes,3742334.0
18,,healthy,nonusing (NU) comparison subjects,11.0,7.0,,,,,,yes,3742334.0
30,,healthy,healthy volunteers,9.0,21.0,23.0,23-23,23,23,23,yes,8018944.0
9,,healthy,healthy volunteers,2.0,7.0,24.0,24-24,24,24,24,no,8018944.0
40,,healthy,healthy,8.0,32.0,,25-63,25,63,,yes,8172304.0
32,CSU,patients,CSU,6.0,26.0,,25-65,25,65,,yes,8172304.0
17,Tourette syndrome (TS),patients,TS children,,,,,,,,yes,3877773.0
15,,healthy,healthy children,,,,,,,,yes,3877773.0
15,,healthy,undergraduate students,10.0,5.0,,20-22,20,22,,yes,6989437.0
121,PD/AG,patients,PD/AG,,,,,,,,yes,6854061.0
77,none,healthy,HC,,,,,,,,yes,6854061.0
30,"ADHD, hyperactive-impulsive/inattentive combined subtype",patients,ADHD boys,30.0,0.0,,10-17,10,17,,yes,4190683.0
30,,healthy,healthy boys,30.0,0.0,,10-17,10,17,,yes,4190683.0
26,ASD,patients,ASD,,,,8-18,8,18,,yes,7194032.0
28,TD,healthy,TD,,,,8-18,8,18,,yes,7194032.0
17,aMCI/mAD,patients,aMCI/mAD,8.0,9.0,,65-81,65,81,,yes,7838677.0
28,,healthy,healthy older adults,14.0,14.0,,55-81,55,81,,yes,7838677.0
70,BD,patients,all patients,,,37.0,18-65,18,65,,yes,6908505.0
42,BD,patients,ValVal,,,,,,,,yes,6908505.0
26,BD,patients,ValMet/MetMet,,,,,,,,yes,6908505.0
42,bronchial asthma,patients,asthmatic patients,,,,,,,,yes,5394595.0
60,,healthy,healthy controls,,,,,,,,yes,5394595.0
17,bronchial asthma,patients,GCBT-treated asthmatic patients,7.0,10.0,50.76,,,,,yes,5394595.0
39,none,healthy,TSD,22.0,17.0,33.5,21-50,21,50,,yes,7260173.0
15,none,healthy,control,7.0,8.0,34.5,21-50,21,50,,yes,7260173.0
34,alcohol-dependent patients (ADP),patients,ADP,34.0,0.0,,,,,,yes,5413198.0
26,healthy controls (HC),healthy,HC,26.0,0.0,,,,,,yes,5413198.0
20,,healthy,healthy volunteers,9.0,11.0,21.95,18-35,18,35,,yes,4810172.0
15,,healthy,all participants,8.0,7.0,,,,,,yes,2390848.0
41,mildly to moderately active UC,patients,UC,25.0,16.0,37.1,20-54,20,54,,yes,6457314.0
42,,healthy,HC,25.0,17.0,36.86,22-55,22,55,,yes,6457314.0
40,null,healthy,null,21.0,19.0,21.28,18-24,18,24,,yes,8152834.0
17,null,healthy,null,8.0,9.0,22.24,null,,,,no,8152834.0
17,none,healthy,healthy volunteers,17.0,0.0,23.8,20-30,20,30,,yes,3866656.0
37,Parkinson's disease (PD),patients,PD patients,17.0,20.0,,,,,,yes,4184784.0
34,normal,healthy,healthy controls,22.0,12.0,,,,,,yes,4184784.0
24,FD-PDS-MDD,patients,FD-PDS-MDD,0.0,24.0,42.44,,,,,yes,7518235.0
24,FD-PDS,patients,FD-PDS,0.0,24.0,42.44,,,,,yes,7518235.0
24,,healthy,HC,0.0,24.0,42.44,,,,,yes,7518235.0
5,severe medically refractory Tourette syndrome (TS),patients,TS patients,3.0,2.0,27.0,null,,,,yes,5857897.0
113,externalizing psychopathology,patients,externalizing psychopathology,,,17.11,12.27-21.96,12,21,,yes,7038454.0
25,unhappy,patients,unhappy,,,,,,,,yes,3893192.0
26,happy,healthy,happy,,,,,,,,yes,3893192.0
29,"first-episode, drug-nave major depressive disorder (MDD)",patients,MDD patients,9.0,21.0,,18-45,18,45,,yes,4869560.0
29,none,healthy,healthy subjects,15.0,14.0,26.76,,,,,yes,4869560.0
24,,healthy,all participants,12.0,12.0,25.3,21-34,21,34,,yes,7994216.0
10,idiopathic musculoskeletal pain (IMP) and juvenile fibromyalgia,patients,IMP,1.0,9.0,16.3,14-17,14,17,,yes,5686883.0
10,no complaint of pain,healthy,control,1.0,9.0,16.1,14-17,14,17,,yes,5686883.0
12,,healthy,right-handed males,12.0,0.0,31.0,18-55,18,55,,yes,3258233.0
595,,healthy,all participants,218.0,377.0,39.47,8-83,8,83,,yes,8615904.0
12,,healthy,first experiment,6.0,6.0,26.0,23-39,23,39,,yes,3422286.0
14,,healthy,second experiment,7.0,7.0,23.0,24-30,24,30,,yes,3422286.0
53,mTBI,patients,mTBI,,,,,,,,yes,7275020.0
37,,healthy,healthy controls,,,,,,,,yes,7275020.0
23,,healthy,healthy,11.0,12.0,24.2,18-31,18,31,,yes,4436102.0
5,damage to the RH,patients,Right hippocampus,,,,,,,,no,4522562.0
5,damage to the RPH,patients,Right parahippocampal cortex,,,,,,,,no,4522562.0
3,lesions to the LH,patients,Left hippocampus,,,,,,,,no,4522562.0
1,damage to the LPH,patients,Left parahippocampal cortex,,,,,,,,no,4522562.0
19,,healthy,controls,8.0,11.0,33.0,20-52,20,52,,yes,4983635.0
12,mild to moderate depression,patients,mild-moderate MDD,,,,,,,,yes,4983635.0
18,severe depression,patients,severe MDD,,,,,,,,yes,4983635.0
15,very severe depression,patients,very severe MDD,,,,,,,,yes,4983635.0
42,Parkinsons disease (PD),patients,PD patients,,,,,45,,,yes,6389716.0
