count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid,rank,start_char,end_char
72,ischemic stroke,patients,frontal lobe group,0,0,65.0,60-70,60,70,65,yes,5665859.0,0,7175,10809
72,ischemic stroke,patients,parietal lobe group,0,0,65.0,60-70,60,70,65,yes,5665859.0,0,7175,10809
15,healthy,healthy,blank control group,0,0,65.0,60-70,60,70,65,yes,5665859.0,0,7175,10809
20,FM,patients,fibromyalgia,0,20,46.4,22-70,22,70,46,yes,6820536.0,0,5393,6615
20,HC,healthy,control,0,20,42.1,21-70,21,70,42,yes,6820536.0,0,5393,6615
34,schizophrenia,patients,schizophrenia,17,17,30.0,20-40,20,40,30,yes,5292583.0,0,6605,8461
35,healthy,healthy,healthy,18,17,30.0,20-40,20,40,30,yes,5292583.0,0,6605,8461
56,football enthusiasts,healthy,football fans,54,2,34.4,21-60,21,60,34,yes,5460049.0,0,6967,8342
12,healthy,healthy,right-handed,5,7,25.8,22.1-29.5,22,29,25,yes,7649291.0,1,8416,8816
20,control,healthy,control,10,10,25.0,20-30,20,30,25,yes,8883821.0,8,8764,11476
20,schizophrenia,patients,schizophrenia,10,10,25.0,20-30,20,30,25,yes,8883821.0,8,8764,11476
20,autism,patients,autism,10,10,25.0,20-30,20,30,25,yes,8883821.0,8,8764,11476
20,healthy,healthy,young,14,6,24.0,20-34,20,34,24,yes,8764488.0,0,15910,17003
40,healthy,healthy,healthy,8,32,44.0,25-63,25,63,44,yes,8172304.0,0,6605,7668
32,chronic urticaria,patients,patients,6,26,45.0,25-65,25,65,45,yes,8172304.0,0,6605,7668
14,CS,patients,CS group,3,11,25.0,1833 years,6,2,25,yes,5371603.0,1,25055,27824
15,NH,healthy,NH group,6,9,25.0,2037 years,3,2,25,yes,5371603.0,1,25055,27824
11,proficient,healthy,proficient,3,8,28.73,19-46,19,46,28,yes,3554651.0,0,39775,41437
10,less-proficient,healthy,less-proficient,3,7,30.0,19-45,19,45,30,yes,3554651.0,0,39775,41437
39,aphasia,patients,aphasia,0,0,0.0,0-0,0,0,0,yes,5266856.0,0,11323,12649
37,healthy,healthy,control,0,0,0.0,0-0,0,0,0,yes,5266856.0,0,11323,12649
24,VPT,patients,VPT,12,12,20.0,20-20,20,20,20,yes,4215530.0,0,10681,12744
22,CT,healthy,CT,11,11,20.0,20-20,20,20,20,yes,4215530.0,0,10681,12744
21,idiopathic PD,patients,PD,14,7,0.0,,0,0,0,yes,3045463.0,0,6018,9180
19,healthy,healthy,Control,12,7,0.0,,0,0,0,yes,3045463.0,0,6018,9180
16,healthy,healthy,visual,8,8,25.0,20-30,20,30,25,yes,5832413.0,3,15962,19003
157,incarcerated,patients,incarcerated,0,157,0.0,18-50,18,50,0,yes,4174863.0,0,7405,10633
46,non-incarcerated,healthy,non-incarcerated,0,46,0.0,18-50,18,50,0,yes,4174863.0,0,7405,10633
17,aMCI/mAD,patients,aMCI/mAD,8,9,73.0,65-81,65,81,73,yes,7838677.0,1,6036,9501
28,healthy,healthy,healthy,14,14,68.0,55-81,55,81,68,yes,7838677.0,1,6036,9501
26,pED,patients,pED,26,0,26.85,26.85-26.85,26,27,26,yes,6290711.0,2,7554,10763
26,NC,healthy,NC,26,0,28.53,28.53-28.53,28,29,28,yes,6290711.0,2,7554,10763
18,healthy,healthy,healthy,9,9,27.5,20-35,20,35,27,yes,7851842.0,0,9615,11713
17,schizophrenia,patients,schizophrenia,10,7,28.5,20-35,20,35,28,yes,7851842.0,0,9615,11713
32,stroke patients,patients,stroke patients,27,5,62.1,18-75,18,75,27,yes,4473263.0,0,8398,9988
18,healthy volunteers,healthy,healthy volunteers,8,10,63.9,18-75,18,75,27,yes,4473263.0,0,8398,9988
103,healthy,healthy,healthy,52,51,32.5,18-100,18,100,32,yes,3334814.0,0,8117,11961
12,controls,healthy,CR,7,5,20.5,19-22,19,22,20,yes,3791281.0,0,6198,9421
12,binge drinkers,patients,BD,7,5,20.5,19-22,19,22,20,yes,3791281.0,0,6198,9421
24,IA,patients,IA,14,10,20.58,18-23,18,23,21,yes,8939409.0,0,8544,9896
23,HC,healthy,HC,10,13,21.13,18-24,18,24,21,yes,8939409.0,0,8544,9896
0,CUD,healthy,male,0,0,23.5,null,0,0,0,yes,8459240.0,3,16120,18640
0,CUD,healthy,female,0,0,21.4,null,0,0,0,yes,8459240.0,3,16120,18640
8,right-sided cerebral palsy,patients,right-sided cerebral palsy,3,5,12.5,10-15,10,15,12,yes,6878729.0,1,7912,9122
63,healthy,healthy,healthy,36,27,2255.0,3711,2255,3711,2255,yes,7913329.0,0,10518,11796
17,DLB,patients,DLB,13,4,71.88,60-82,60,82,71,yes,6902076.0,1,6917,8222
20,healthy,healthy,healthy,9,11,67.8,56-77,56,77,67,yes,6902076.0,1,6917,8222
53,T2DM,patients,T2DM,0,0,0.0,45-75,45,75,0,yes,7829678.0,0,7017,9210
39,healthy,healthy,HC,0,0,0.0,45-75,45,75,0,yes,7829678.0,0,7017,9210
45,MDD,patients,all,16,29,37.11,1958,19,58,37,yes,4983635.0,0,8102,10652
12,MDD,patients,mild-moderate,0,0,37.11,1958,19,58,37,yes,4983635.0,0,8102,10652
18,MDD,patients,severe,0,0,37.11,1958,19,58,37,yes,4983635.0,0,8102,10652
15,MDD,patients,very severe,0,0,37.11,1958,19,58,37,yes,4983635.0,0,8102,10652
19,healthy,healthy,all,8,11,33.0,2052,20,52,33,yes,4983635.0,0,8102,10652
50,relapsing-remitting MS,patients,relapsing-remitting MS,25,25,35.0,18-55,18,55,35,yes,6200185.0,0,7655,8461
25,healthy,healthy,healthy,12,13,35.0,18-55,18,55,35,yes,6200185.0,0,7655,8461
46,healthy,healthy,healthy,32,14,22.61,13.61,13,61,22,yes,7745153.0,0,9299,12877
16,AD,patients,AD,8,8,70.0,60-80,60,80,70,yes,11024046.0,0,4526,5711
16,healthy,healthy,healthy,8,8,70.0,60-80,60,80,70,yes,11024046.0,0,4526,5711
122,MS,patients,MS patients,0,0,0.0,0-0,0,0,0,yes,11033924.0,1,22665,23267
97,HC,healthy,HC subjects,0,0,0.0,0-0,0,0,0,yes,11033924.0,1,22665,23267
28,healthy,healthy,healthy,15,13,26.39,26.39-26.39,26,27,26,yes,7481390.0,1,8040,10638
16,DLB,patients,DLB,0,0,0.0,0-0,0,0,0,yes,3984441.0,0,7293,9018
17,controls,healthy,controls,0,0,0.0,0-0,0,0,0,yes,3984441.0,0,7293,9018
50,IPD,patients,IPD,0,0,0.0,0-0,0,0,0,yes,6675526.0,0,4609,5604
20,healthy,healthy,healthy,11,9,54.6,42.3-66.9,42,67,55,yes,6675526.0,0,4609,5604
17,MDD,patients,comorbid MDD,0,17,0.0,null,0,0,0,yes,7518235.0,9,22120,25130
53,SAD,patients,SAD,36,17,29.9,13.4-29.9,13,29,29,yes,4416052.0,0,5666,9459
33,healthy,healthy,Control,19,14,29.4,29.4-29.4,29,29,29,yes,4416052.0,0,5666,9459
17,healthy,healthy,children,8,9,7.4,6.97.8,6,8,7,yes,3780305.0,0,14497,15232
13,chronic pain,patients,chronic pain group,4,9,51.8,43-65,43,65,51,yes,4048172.0,0,8990,10646
13,no chronic pain,healthy,normal group,4,9,48.7,38-62,38,62,48,yes,4048172.0,0,8990,10646
7,healthy,healthy,pre and post10day HCD,2,5,31.29,null,31,32,31,yes,7758977.0,0,6078,7557
6,healthy,healthy,pre and post10day fast,1,5,29.19,null,29,30,29,yes,7758977.0,0,6078,7557
15,healthy,healthy,men,15,0,26.0,25.6-26.4,25,27,26,yes,5270359.0,0,8450,9492
16,healthy,healthy,healthy,12,4,1840.0,1840,1840,1840,1840,yes,6787094.0,0,37350,38168
35,SCD,patients,SCD,0,0,0.0,0-0,0,0,0,yes,7090024.0,1,5511,6530
32,healthy,healthy,healthy,0,0,0.0,0-0,0,0,0,yes,7090024.0,1,5511,6530
42,PD,patients,PD patients,21,21,55.0,45-65,45,65,55,yes,6389716.0,0,8216,9580
40,NC,healthy,normal controls,20,20,50.0,45-60,45,60,50,yes,6389716.0,0,8216,9580
14,healthy,healthy,right-handed,6,8,24.8,22-29,22,29,24,yes,3078751.0,0,10341,10716
39,mild WMHs,patients,mild,0,0,0.0,40-80,40,80,0,yes,8315277.0,1,7581,10145
37,moderate WMHs,patients,moderate,0,0,0.0,40-80,40,80,0,yes,8315277.0,1,7581,10145
28,severe WMHs,patients,severe,0,0,0.0,40-80,40,80,0,yes,8315277.0,1,7581,10145
37,healthy,healthy,healthy,0,0,0.0,40-80,40,80,0,yes,8315277.0,1,7581,10145
3,schizophrenia,patients,first-episode,0,0,0.0,0-0,0,0,0,yes,6197719.0,4,7797,10028
0,unaffected siblings,healthy,siblings,0,0,0.0,0-0,0,0,0,yes,6197719.0,4,7797,10028
0,healthy controls,healthy,controls,0,0,0.0,0-0,0,0,0,yes,6197719.0,4,7797,10028
10,MJ abuse,patients,MJ users,8,2,4.4,4.3,1,4,4,yes,3742334.0,0,7512,11306
18,no diagnosis,healthy,NU participants,11,7,1.8,2.5,1,2,2,yes,3742334.0,0,7512,11306
20,AN,patients,AN,10,10,25.0,20-30,20,30,25,yes,4530666.0,1,9512,12494
21,HC,healthy,HC,10,11,25.0,20-30,20,30,25,yes,4530666.0,1,9512,12494
6,normal hearing levels,healthy,young adults,5,1,28.5,22-35,22,35,28,yes,3894920.0,0,10745,11773
11,depressed patients,patients,depressed patients,5,6,61.8,61.8,61,62,61,yes,4589842.0,0,6061,7568
11,healthy volunteers,healthy,healthy volunteers,5,6,56.8,56.8,56,57,56,yes,4589842.0,0,6061,7568
30,healthy,healthy,bilinguals,10,20,20.5,18-25,18,25,20,yes,5881103.0,0,15988,18765
19,MDD,patients,MDD patients,0,0,0.0,18-55,18,55,0,yes,7875881.0,0,7093,8833
17,healthy,healthy,healthy controls,0,0,0.0,18-55,18,55,0,yes,7875881.0,0,7093,8833
30,ADHD,patients,ADHD boys,30,0,12.0,10-17,10,17,12,yes,4190683.0,0,9065,12151
30,healthy,healthy,healthy control boys,30,0,12.0,10-17,10,17,12,yes,4190683.0,0,9065,12151
30,HFS,patients,left-side HFS,12,18,48.87,48.87-10.61,48,59,48,yes,8569140.0,1,6781,8456
30,healthy,healthy,healthy controls,12,18,47.63,47.63-13.29,47,61,47,yes,8569140.0,1,6781,8456
27,patients,patients,left hemisphere infarcts,17,10,59.1,59.1  10.8,59,69,59,yes,5903407.0,0,7983,10239
