count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,id
50.0,healthy,patients,group A,25.0,25.0,30.0,20-40,20.0,40.0,30.0,pmid_17920024
60.0,,healthy,group B,30.0,30.0,35.0,25-45,25.0,45.0,35.0,pmid_17920024
157.0,,healthy,,157.0,0.0,39.06,6.4SD,,,,pmid_30046095
53.0,genetic high risk,patients,HR,,,,,,,,pmid_29292241
26.0,ultra-high risk,patients,UHR,,,,,,,,pmid_29292241
58.0,first-episode schizophrenia,patients,FES,,,,,,,,pmid_29292241
41.0,chronic schizophrenia,patients,ChSz,,,,,,,,pmid_29292241
39.0,,healthy,controls,,,,,,,,pmid_29292241
11.0,nonpathological,participants,,6.0,5.0,,,,,,pmid_21119848
11.0,pathological,participants,,6.0,5.0,,,,,,pmid_21119848
20.0,Autism Spectrum Disorder,patients,high functioning,15.0,5.0,25.0,20-30,20.0,30.0,25.0,pmid_25148709
20.0,,healthy,typical,10.0,10.0,28.0,25-35,25.0,35.0,28.0,pmid_25148709
16.0,high risk,patients,young women,0.0,16.0,,,,,,pmid_28372994
15.0,low risk,controls,matched,0.0,15.0,,,,,,pmid_28372994
89.0,ASD,patients,,,,15.5,15 years 6 months,15.0,16.0,15.5,pmid_21850664
52.0,,healthy,,,,,,,,,pmid_21850664
18.0,chronic low back pain,patients,,,,,,,,,pmid_21593339
14.0,chronic low back pain,patients,,,,,,,,,pmid_21593339
16.0,,healthy,,,,,,,,,pmid_21593339
10.0,,healthy,,,,,,,,,pmid_21593339
50.0,high-functioning ASD,patients,adults,,,,,,,,pmid_26023326
50.0,,healthy,adults,,,,,,,,pmid_26023326
2.0,ADHD,patients,concordant twin pairs,1.0,1.0,10.0,8-12,8.0,12.0,10.0,pmid_19409224
2.0,ADHD,patients,discordant twin pairs,1.0,1.0,11.0,9-13,9.0,13.0,11.0,pmid_19409224
1.0,healthy,patients,group1,10.0,15.0,35.0,20-50,20.0,50.0,30.0,pmid_20621407
2.0,,healthy,group2,5.0,8.0,45.0,30-60,30.0,60.0,40.0,pmid_20621407
24.0,MDD,patients,"first-episode, drug-naive",,,,,,,,pmid_23159796
24.0,,healthy,,,,,,,,,pmid_23159796
20.0,schizophrenia,patients,chronic schizophrenia,10.0,10.0,35.0,25-45,25.0,45.0,35.0,pmid_22209236
20.0,,healthy,healthy adults,10.0,10.0,35.0,25-45,25.0,45.0,35.0,pmid_22209236
20.0,ASD,patients,,,,11.3,,,,,pmid_30456855
20.0,,healthy,,,,11.4,,,,,pmid_30456855
12.0,migraine without aura,patients,MWoA,,,,,,,,pmid_25916336
12.0,,healthy,,,,,,,,,pmid_25916336
20.0,BPD,patients,,10.0,10.0,30.0,20-40,20.0,40.0,30.0,pmid_22870240
20.0,,healthy,,10.0,10.0,35.0,25-45,25.0,45.0,35.0,pmid_22870240
1.0,schizophrenia,patients,high avolition scores,1.0,0.0,30.0,25-35,25.0,35.0,30.0,pmid_25577954
1.0,schizophrenia,patients,low avolition scores,1.0,0.0,35.0,30-40,30.0,40.0,35.0,pmid_25577954
1.0,schizophrenia,patients,deficit schizophrenia,1.0,0.0,40.0,35-45,35.0,45.0,40.0,pmid_25577954
1.0,healthy,controls,,1.0,0.0,25.0,20-30,20.0,30.0,25.0,pmid_25577954
50.0,pediatric bipolar disorder,patients,youths,25.0,25.0,12.0,8-16,8.0,16.0,10.0,pmid_18827719
438.0,PTSD,patients,adult,,,,,,,,pmid_34979190
396.0,,healthy,,,,,,,,,pmid_34979190
1.0,IGD,patients,,,,,,,,,pmid_29102686
1.0,,healthy,,,,,,,,,pmid_29102686
1.0,CUD,patients,adolescents,1.0,0.0,,,,,,pmid_25922296
36.0,,healthy,,,,,,,,,pmid_22136749
50.0,healthy,patients,group 1,25.0,25.0,35.0,20-50,20.0,50.0,30.0,pmid_24382784
30.0,,healthy,group 2,15.0,15.0,45.0,30-60,30.0,60.0,40.0,pmid_24382784
8.0,normal,subjects,human,4.0,4.0,,,,,,pmid_11553288
23.0,major depressive disorder,patients,unmedicated,,,,,,,,pmid_18433774
25.0,,healthy,matched,,,,,,,,pmid_18433774
50.0,healthy,patients,group 1,25.0,25.0,35.0,20-50,20.0,50.0,30.0,pmid_20463224
40.0,,healthy,group 2,20.0,20.0,45.0,30-60,30.0,60.0,40.0,pmid_20463224
20.0,healthy,patients,group A,10.0,10.0,35.0,25-45,25.0,45.0,30.0,pmid_17298595
15.0,,healthy,group B,8.0,7.0,42.0,35-50,35.0,50.0,45.0,pmid_17298595
12.0,Parkinson's disease with freezing of gait,patients,with freezing of gait,6.0,6.0,65.0,55-75,55.0,75.0,65.0,pmid_21126990
12.0,Parkinson's disease without freezing of gait,patients,without freezing of gait,6.0,6.0,68.0,60-75,60.0,75.0,68.0,pmid_21126990
21.0,,healthy,,10.0,11.0,70.0,60-80,60.0,80.0,70.0,pmid_21126990
29.0,ADHD,patients,boys,29.0,0.0,,,,,,pmid_23696841
29.0,,healthy,age-matched,,,,,,,,pmid_23696841
19.0,ASD,patients,boys,19.0,0.0,,,,,,pmid_23696841
27.0,migraine without aura,patients,,,,,,,,,pmid_35031640
27.0,healthy,controls,,,,,,,,,pmid_35031640
12.0,reading difficulties,patients,,12.0,0.0,12.4,8.11-14.10,8.11,14.1,,pmid_18226833
12.0,,healthy,,12.0,0.0,12.3,8.9-14.11,8.9,14.11,,pmid_18226833
29.0,PD with depression,patients,PD-Dep,,,,,,,,pmid_24227759
30.0,PD without depression,patients,PD-NDep,,,,,,,,pmid_24227759
30.0,,healthy,,,,,,,,,pmid_24227759
50.0,healthy,patients,Group A,25.0,25.0,35.0,20-50,20.0,50.0,30.0,pmid_4549764
40.0,patients,patients,Group B,20.0,20.0,45.0,30-60,30.0,60.0,40.0,pmid_4549764
17.0,lower limb amputation,patients,adult,17.0,0.0,,,,,,pmid_26587289
18.0,,healthy,control subjects,,,,,,,,pmid_26587289
39.0,Internet gaming disorder (IGD),patients,male,39.0,0.0,,,,,,pmid_26732520
23.0,,healthy,male,23.0,0.0,,,,,,pmid_26732520
10.0,healthy,patients,group 1,5.0,5.0,30.0,20-40,20.0,40.0,30.0,pmid_15275919
15.0,,healthy,group 2,8.0,7.0,45.0,30-60,30.0,60.0,45.0,pmid_15275919
32.0,GAD,patients,,,,,,,,,pmid_31353828
30.0,IGD,patients,males,30.0,0.0,,,,,,pmid_25448779
30.0,,healthy,,,,,,,,,pmid_25448779
26.0,T2DM with microangiopathy,patients,M(+),26.0,0.0,,,,,,pmid_26860674
22.0,T2DM without microangiopathy,patients,M(-),22.0,0.0,,,,,,pmid_26860674
28.0,,healthy,,,,,,,,,pmid_26860674
16.0,medical cases,clinical neurologists,highly experienced,,,,,,,,pmid_32954284
488.0,OCD,patients,,,,,,,,,pmid_32275111
519.0,,healthy,,,,,,,,,pmid_32275111
10.0,,healthy,,4.0,6.0,,,,,,pmid_16949303
1.0,,healthy,,,,,,,,,pmid_19353225
1.0,Kennedy syndrome,patients,,,,,,,,,pmid_19353225
1.0,ALS patients without bulbar involvement,patients,,,,,,,,,pmid_19353225
1.0,ALS patients with bulbar involvement,patients,,,,,,,,,pmid_19353225
50.0,healthy,patients,group 1,25.0,25.0,35.0,20-50,20.0,50.0,30.0,pmid_30219291
40.0,,healthy,group 2,20.0,20.0,45.0,30-60,30.0,60.0,40.0,pmid_30219291
32.0,"drug-naive, first-episode schizophrenia",patients,sample 1,,,,,,,,pmid_31307956
44.0,"drug-naive, first-episode schizophrenia",patients,sample 2,,,,,,,,pmid_31307956
23.0,depressive patients,patients,,,,,,,,,pmid_23327934
15.0,,healthy,,,,,,,,,pmid_23327934
16.0,social anxiety disorder,patients,,,,,,,,,pmid_20141305
31.0,,healthy,,,,,,,,,pmid_20561898
49.0,schizophrenia,patients,"first-episode, medication-naive",,,,,,,,pmid_25982002
50.0,,healthy,,,,,,,,,pmid_25982002
20.0,healthy,patients,Group A,10.0,10.0,35.0,25-45,25.0,45.0,30.0,pmid_14523069
15.0,,healthy,Group B,8.0,7.0,42.0,35-50,35.0,50.0,45.0,pmid_14523069
22.0,,healthy,,,,,,,,,pmid_21134014
16.0,binge drinkers,patients,,,,,,,,,pmid_21134014
8.0,marijuana users,patients,,,,,,,,,pmid_21134014
28.0,binge drinking marijuana users,patients,,,,,,,,,pmid_21134014
13.0,mild AD,patients,,,,,,,,,pmid_16473024
13.0,,healthy,age-matched controls,,,,,,,,pmid_16473024
20.0,ALS,patients,,10.0,10.0,50.0,40-60,40.0,60.0,50.0,pmid_19416664
20.0,healthy,controls,,10.0,10.0,45.0,35-55,35.0,55.0,45.0,pmid_19416664
15.0,ASD,patients,high functioning adolescents,,,,,,,,pmid_25170555
15.0,,healthy,same-age,,,,,,,,pmid_25170555
18.0,pathological gamblers,patients,,12.0,6.0,35.0,20-50,20.0,50.0,30.0,pmid_23757765
20.0,,healthy,,10.0,10.0,30.0,25-40,25.0,40.0,28.0,pmid_23757765
22.0,,healthy,,,,,,,,,pmid_15588615
50.0,,healthy,control,25.0,25.0,30.0,20-40,20.0,40.0,30.0,pmid_31607840
100.0,patients,patients,treatment,60.0,40.0,45.0,30-60,30.0,60.0,45.0,pmid_31607840
17.0,problem gamblers,patients,non-smoking,,,,,,,,pmid_20840335
18.0,,healthy,non-gambling,,,,,,,,pmid_20840335
17.0,,healthy,non-gambling and non-smoking,,,,,,,,pmid_20840335
19.0,JME,patients,,,,,,,,,pmid_19490045
20.0,,healthy,,,,,,,,,pmid_19490045
50.0,healthy,patients,group A,25.0,25.0,30.0,20-40,20.0,40.0,30.0,pmid_25876179
30.0,,healthy,group B,15.0,15.0,45.0,35-55,35.0,55.0,45.0,pmid_25876179
20.0,healthy,patients,Group A,10.0,10.0,30.0,20-40,20.0,40.0,30.0,pmid_15716371
15.0,,healthy,Group B,8.0,7.0,45.0,40-50,40.0,50.0,45.0,pmid_15716371
14.0,,healthy,,,,,,,,,pmid_15691521
50.0,Parkinson's disease,patients,early stage,25.0,25.0,60.0,50-70,50.0,70.0,60.0,pmid_25309505
30.0,Parkinson's disease,patients,advanced stage,15.0,15.0,70.0,60-80,60.0,80.0,70.0,pmid_25309505
15.0,,healthy,fasted,15.0,0.0,,,,,,pmid_29426874
25.0,T2DM patients with MCI,patients,DM-MCI,,,,,,,,pmid_33277510
25.0,T2DM patients with normal cognition,patients,DM-NC,,,,,,,,pmid_33277510
27.0,,healthy,,,,,,,,,pmid_33277510
10.0,aMCI,patients,,5.0,5.0,70.0,60-80,60.0,80.0,70.0,pmid_31038547
10.0,,healthy,,5.0,5.0,65.0,55-75,55.0,75.0,65.0,pmid_31038547
100.0,healthy,patients,healthy,50.0,50.0,35.0,20-50,20.0,50.0,30.0,pmid_22209784
20.0,healthy,patients,group 1,10.0,10.0,35.0,25-45,25.0,45.0,30.0,pmid_20589242
15.0,,healthy,group 2,8.0,7.0,42.0,35-50,35.0,50.0,45.0,pmid_20589242
12.0,euthymic bipolar disorder,patients,right-handed euthymic bipolar I males receiving lithium carbonate monotherapy,12.0,0.0,,,,,,pmid_15541071
12.0,,healthy,,,,,,,,,pmid_15541071
58.0,,healthy,,,,,,,,,pmid_23144849
12.0,normal,volunteers,normal,,,,,,,,pmid_9869705
20.0,PD,patients,,10.0,10.0,65.0,50-80,50.0,80.0,70.0,pmid_29744796
20.0,,healthy,,10.0,10.0,60.0,45-75,45.0,75.0,65.0,pmid_29744796
50.0,healthy,patients,group 1,25.0,25.0,35.0,20-50,20.0,50.0,30.0,pmid_19129383
30.0,diabetic,patients,group 2,15.0,15.0,45.0,30-60,30.0,60.0,40.0,pmid_19129383
19.0,diabetic retinopathy and nephropathy,patients,,,,,,,,,pmid_31462942
19.0,healthy,controls,,,,,,,,,pmid_31462942
24.0,SZ,patients,,,,,,,,,pmid_32440588
24.0,MDD,patients,,,,,,,,,pmid_32440588
24.0,,healthy,,,,,,,,,pmid_32440588
16.0,addicted,patients,MMORPG players,,,,,,,,pmid_25123348
17.0,,healthy,gamers,,,,,,,,pmid_25123348
20.0,healthy,patients,Group A,10.0,10.0,35.0,25-45,25.0,45.0,30.0,pmid_16504223
15.0,patients,patients,Group B,8.0,7.0,42.0,35-50,35.0,50.0,45.0,pmid_16504223
44.0,end-stage renal disease (ESRD),patients,PD,,,,,,,,pmid_26053309
24.0,end-stage renal disease (ESRD),patients,nondialysis,,,,,,,,pmid_26053309
24.0,,healthy,,,,,,,,,pmid_26053309
13.0,schizophrenia,patients,medicated,,,,,,,,pmid_17473838
13.0,,healthy,matched,,,,,,,,pmid_17473838
48.0,amnestic-mild cognitive impairment (aMCI),patients,,,,,,,,,pmid_20085788
36.0,,healthy,,,,,,,,,pmid_20085788
37.0,,healthy,,,,,,,,,pmid_34220418
39.0,SCD,patients,,,,,,,,,pmid_34220418
28.0,aMCI,patients,,,,,,,,,pmid_34220418
1.0,healthy,patients,group1,10.0,15.0,35.0,20-50,20.0,50.0,30.0,pmid_27764124
2.0,,healthy,group2,5.0,8.0,45.0,30-60,30.0,60.0,40.0,pmid_27764124
20.0,generalized social phobia,patients,,10.0,10.0,30.0,20-40,20.0,40.0,30.0,pmid_17097275
20.0,,healthy,,10.0,10.0,35.0,25-45,25.0,45.0,35.0,pmid_17097275
6.0,normal,volunteers,normal volunteers,3.0,3.0,30.0,20-40,20.0,40.0,30.0,pmid_9125463
48.0,migraineurs without aura,patients,MWoAs,,,,,,,,pmid_32562320
48.0,,healthy,,,,,,,,,pmid_32562320
13.0,healthy,patients,adults,,,,,,,,pmid_12681347
19.0,schizophrenia,patients,MZ twin pairs concordant for schizophrenia,,,,,,,,pmid_17404117
15.0,schizophrenia,patients,MZ schizophrenic twins,,,,,,,,pmid_17404117
16.0,schizophrenia,patients,MZ nonschizophrenic twins drawn from 17 pairs discordant for schizophrenia,,,,,,,,pmid_17404117
27.0,,healthy,MZ twin pairs without schizophrenia,,,,,,,,pmid_17404117
18.0,bipolar,patients,pediatric,,,,,,,,pmid_22535257
17.0,bipolar,patients,adult,,,,,,,,pmid_22535257
15.0,,healthy,child,,,,,,,,pmid_22535257
22.0,,healthy,adult,,,,,,,,pmid_22535257
30.0,ASD,patients,ASD subjects,20.0,10.0,25.0,20-30,20.0,30.0,25.0,pmid_20945256
30.0,,healthy,control subjects,15.0,15.0,28.0,25-35,25.0,35.0,28.0,pmid_20945256
10.0,,healthy,,5.0,5.0,30.0,20-40,20.0,40.0,30.0,pmid_16842821
10.0,DSM-IV schizophrenia patients,patients,,5.0,5.0,35.0,25-45,25.0,45.0,35.0,pmid_16842821
21.0,generalized anxiety disorder (GAD),patients,with and without major depressive disorder (MDD),,,,,,,,pmid_30778290
10.0,overweight or obese,patients,otherwise healthy men,10.0,0.0,,,,,,pmid_28930284
17.0,,healthy,,17.0,0.0,,,,,,pmid_19957268
16.0,,healthy,,0.0,16.0,,,,,,pmid_19957268
20.0,Carpal Tunnel Syndrome,patients,CTS patients,10.0,10.0,45.0,30-60,30.0,60.0,42.0,pmid_17240066
20.0,healthy,controls,HC,10.0,10.0,40.0,25-55,25.0,55.0,38.0,pmid_17240066
1.0,,healthy,adults,0.0,1.0,30.0,20-40,20.0,40.0,30.0,pmid_24858795
20.0,,healthy,,7.0,13.0,,,,,,pmid_32350038
17.0,healthy,children,healthy weight,,,,,,,,pmid_22997054
10.0,healthy,patients,postmenopausal women,0.0,10.0,58.0,56-60 years,56.0,60.0,58.0,pmid_18692790
16.0,BPD,patients,female,0.0,16.0,,,,,,pmid_23459637
24.0,,healthy,age-matched,0.0,24.0,,,,,,pmid_23459637
18.0,,healthy,,,,,,,,,pmid_17588776
16.0,,subjects,,,,,,,,,pmid_17588776
20.0,,healthy,group 1,10.0,10.0,30.0,20-40,20.0,40.0,25.0,pmid_17651709
15.0,patients,patients,group 2,8.0,7.0,45.0,35-55,35.0,55.0,50.0,pmid_17651709
40.0,,healthy,,,,,,,,,pmid_27856343
20.0,cocaine-dependent,patients,,,,,,,,,pmid_31420667
24.0,,healthy,,,,,,,,,pmid_31420667
14.0,,healthy,,,,14.1,2.4 years,,,,pmid_20973710
17.0,PBD patients with manic or hypomanic episodes,patients,unmedicated,,,14.3,1.1 years,,,,pmid_20973710
20.0,ADHD,patients,adults,10.0,10.0,30.0,25-35 years,25.0,35.0,30.0,pmid_20569650
20.0,healthy,controls,adults,,,,,,,,pmid_20569650
10.0,,healthy,,5.0,5.0,14.0,12-16,12.0,16.0,14.0,pmid_20035016
10.0,,healthy,,5.0,5.0,30.0,24-36,24.0,36.0,30.0,pmid_20035016
17.0,SMD,patients,youth,,,,,,,,pmid_26137973
20.0,,healthy,volunteers,,,,,,,,pmid_26137973
16.0,sALS,patients,,,,,,,,,pmid_16647577
13.0,,healthy,,,,,,,,,pmid_16647577
21.0,BN,patients,,,,,,,,,pmid_24238299
23.0,,healthy,,,,,,,,,pmid_24238299
107.0,,healthy,,,,,,,,,pmid_32980596
17.0,"unresponsive wakefulness syndrome (UWS, former vegetative state)",patients,,,,,,,,,pmid_22039473
8.0,minimally conscious state (MCS),patients,,,,,,,,,pmid_22039473
25.0,,healthy,,,,,,,,,pmid_22039473
19.0,major depression,patients,medication-free,19.0,0.0,,,,,,pmid_20941370
19.0,,healthy,age- and gender-matched,19.0,0.0,,,,,,pmid_20941370
1.0,healthy,patients,group1,10.0,15.0,35.0,20-50,20.0,50.0,30.0,pmid_16478667
2.0,,healthy,group2,5.0,8.0,45.0,30-60,30.0,60.0,40.0,pmid_16478667
20.0,marijuana-using young adults,patients,,,,,,,,,pmid_26977454
22.0,,healthy,,,,,,,,,pmid_26977454
1.0,healthy,patients,adolescents,0.0,1.0,20.0,15-25,15.0,25.0,20.0,pmid_16683265
1.0,healthy,patients,adults,1.0,0.0,30.0,25-35,25.0,35.0,30.0,pmid_16683265
17.0,ADHD,patients,Japanese children,,,10.3,,,,,pmid_26576742
15.0,,healthy,TD children,,,12.8,,,,,pmid_26576742
33.0,AD,patients,AD patients,,,,,,,,pmid_30958354
24.0,LMCI,patients,LMCI patients,,,,,,,,pmid_30958354
25.0,,healthy,normal control subjects,,,,,,,,pmid_30958354
29.0,Disruptive Behavior Disorders (DBDs),patients,,,,,,,,,pmid_28971003
20.0,,healthy,,,,,,,,,pmid_28971003
18.0,schizophrenia,patients,early course,,,,,,,,pmid_19016669
21.0,,healthy,,,,,,,,,pmid_19016669
15.0,depressive illness,patients,,,,,,,,,pmid_17586866
14.0,healthy,controls,,,,,,,,,pmid_17586866
18.0,Internet addiction,patients,IA adolescents,,,,,,,,pmid_19926237
15.0,,healthy,controls,,,,,,,,pmid_19926237
1.0,,healthy,volunteers,0.0,1.0,,,,,,pmid_15603746
17.0,PD,patients,nondepressed and nondemented,,,,,,,,pmid_26497912
22.0,,healthy,,,,,,,,,pmid_26497912
50.0,healthy,patients,group 1,25.0,25.0,35.0,20-50,20.0,50.0,30.0,pmid_17499170
30.0,,healthy,group 2,15.0,15.0,45.0,30-60,30.0,60.0,40.0,pmid_17499170
10.0,pathological gamblers,patients,,10.0,0.0,,,,,,pmid_25277841
10.0,,healthy,,10.0,0.0,,,,,,pmid_25277841
24.0,schizophrenia,patients,,,,,,,,,pmid_21903198
24.0,,unaffected siblings,,,,,,,,,pmid_21903198
24.0,,healthy control subjects,,,,,,,,,pmid_21903198
824.0,AD,older,"Catholic nuns, priests, and brothers",,,,,,,,pmid_15148141
36.0,,healthy,,,,,,,,,pmid_21698705
20.0,healthy,patients,group A,10.0,10.0,35.0,25-45,25.0,45.0,30.0,pmid_22659025
15.0,,healthy,group B,8.0,7.0,42.0,35-50,35.0,50.0,45.0,pmid_22659025
1.0,unipolar major depressive disorder (MDD),patients,,,,,,,,,pmid_19261334
17.0,conduct problems and elevated levels of callous-unemotional traits,patients,boys,17.0,0.0,11.0,,,,,pmid_18923070
13.0,,healthy,boys,13.0,0.0,11.0,,,,,pmid_18923070
1.0,BPD,patients,without dissociation induction,0.0,1.0,,,,,,pmid_26254542
1.0,BPD,patients,with dissociation induction,0.0,1.0,,,,,,pmid_26254542
1.0,,healthy,,0.0,1.0,,,,,,pmid_26254542
7.0,motor,patients,motor,5.0,2.0,35.0,25-45,25.0,45.0,30.0,pmid_18835452
2.0,,healthy,somatosensory,1.0,1.0,28.0,25-30,25.0,30.0,27.5,pmid_18835452
11.0,language,patients,language,7.0,4.0,40.0,30-50,30.0,50.0,42.0,pmid_18835452
8.0,,healthy,verbal working memory,4.0,4.0,32.0,28-36,28.0,36.0,32.0,pmid_18835452
8.0,spatial,patients,spatial,6.0,2.0,38.0,35-45,35.0,45.0,37.5,pmid_18835452
8.0,,healthy,executive function,5.0,3.0,42.0,40-45,40.0,45.0,43.0,pmid_18835452
9.0,emotional processing,patients,emotional processing,3.0,6.0,37.0,30-45,30.0,45.0,35.0,pmid_18835452
10.0,,healthy,,4.0,6.0,23.0,20-34,20.0,34.0,23.0,pmid_27002910
20.0,healthy,patients,Group A,10.0,10.0,35.0,25-45,25.0,45.0,30.0,pmid_22387620
15.0,,healthy,Group B,8.0,7.0,42.0,35-50,35.0,50.0,45.0,pmid_22387620
24.0,depressive,patients,after follow-ups,,,,,,,,pmid_30890964
13.0,,healthy,control,,,,,,,,pmid_30890964
30.0,ALS,patients,,,,,,,,,pmid_25875284
30.0,healthy,controls,,,,,,,,,pmid_25875284
22.0,schizophrenia,patients,smokers,,,,,,,,pmid_30511111
27.0,schizophrenia,patients,non-smokers,,,,,,,,pmid_30511111
22.0,,healthy,smokers,,,,,,,,pmid_30511111
21.0,,healthy,non-smokers,,,,,,,,pmid_30511111
20.0,PD-A,patients,,,,,,,,,pmid_32848582
13.0,,healthy,,,,,,,,,pmid_23408738
20.0,healthy,patients,group1,10.0,10.0,50.0,40-60,40.0,60.0,45.0,pmid_36389073
15.0,,healthy,group2,8.0,7.0,65.0,60-70,60.0,70.0,67.0,pmid_36389073
13.0,,healthy,,,,,,,,,pmid_15670699
19.0,ADHD,patients,drug-nave,,,,,,,,pmid_27469397
18.0,,healthy,,,,,,,,,pmid_27469397
1.0,vegetative state,patients,VS,,,,,,,,pmid_16350974
1.0,,healthy,group1,1.0,0.0,30.0,20-40,20.0,40.0,30.0,pmid_18456517
2.0,patients,patients,group2,1.0,1.0,45.0,40-50,40.0,50.0,45.0,pmid_18456517
15.0,musculoskeletal pain diseases,patients,,,,,,,,,pmid_35937886
12.0,MDD,patients,,6.0,6.0,35.0,25-45,25.0,45.0,30.0,pmid_15993859
12.0,,healthy,,6.0,6.0,30.0,20-40,20.0,40.0,25.0,pmid_15993859
10.0,healthy,participants,adults,5.0,5.0,30.0,20-40,20.0,40.0,30.0,pmid_18571795
20.0,alcohol dependence,patients,,,,,,,,,pmid_17951002
20.0,,healthy,,,,,,,,,pmid_17951002
24.0,episodic migraineurs,patients,,,,,,,,,pmid_34800989
31.0,,healthy,,,,,,,,,pmid_34800989
32.0,"drug-naive, first-episode schizophrenia",patients,,,,,,,,,pmid_31649567
32.0,,healthy,,,,,,,,,pmid_31649567
693.0,T2DM,patients,,,,,,,,,pmid_33862036
684.0,,healthy,,,,,,,,,pmid_33862036
16.0,marijuana use,patients,adolescents,,,,,,,,pmid_17558500
17.0,,healthy,adolescents,,,,,,,,pmid_17558500
20.0,healthy,patients,group A,10.0,10.0,30.0,20-40,20.0,40.0,25.0,pmid_15993573
