count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,age_mean_female,age_median_female,age_minimum_female,age_maximum_female,age_mean_male,age_median_male,age_minimum_male,age_maximum_male,pmcid
10.0,,patients,N0S-N0S0 MLDs greater than 10 dB,5.0,5.0,29.5,,23.0,43.0,29.0,yes,29.2,29.0,23.0,43.0,29.8,29.0,24.0,43.0,3407245.0
46.0,,patients,,32.0,14.0,22.6,18-30,18.0,30.0,22.0,,,,,,,,,,7745153.0
46.0,,healthy,,32.0,14.0,22.6,18-30,18.0,30.0,22.0,,,,,,,,,,7745153.0
33.0,,healthy,,18.0,15.0,25.24,,,,,,,,,,,,,,7156375.0
24.0,,patients,Experiment 1,9.0,15.0,,,,,,,,,,,,,,,6016936.0
4.0,,patients,Supplementary Experiment,,,,,,,,,,,,,,,,,6016936.0
103.0,healthy,healthy,adults,52.0,51.0,32.5,18-72,18.0,72.0,32.0,,,,,,,,,,3334814.0
18.0,Autism spectrum conditions,patients,ASC,,,30.4,,,,,,,,,,,,,,4265725.0
18.0,TD,healthy,controls,,,28.6,,,,,,,,,,,,,,4265725.0
16.0,obesity,patients,obese women,0.0,16.0,46.31,35-55,35.0,55.0,46.0,,,,,,,,,,5537800.0
30.0,chronic osteoarthritis,patients,verum acupuncture,17.0,13.0,,,43.0,70.0,,yes,,,,,,,,,4175730.0
23.0,healthy,healthy,controls,,,15.2,15-16,15.0,16.0,15.0,,,,,,,,,,4030253.0
18.0,Internet Addiction,patients,IA,,,15.1,14-16,14.0,16.0,15.0,,,,,,,,,,4030253.0
15.0,phobic prone,healthy,phobic prone,9.0,6.0,39.2,32-46,32.0,46.0,39.0,,,,,,,,,,3002948.0
15.0,eating disorders prone,healthy,eating disorders prone,10.0,5.0,34.4,26-43,26.0,43.0,34.0,,,,,,,,,,3002948.0
21.0,Posttraumatic stress disorder,patients,PTSD,6.0,15.0,21.5,,18.0,31.0,21.0,,,,,,,,,,6024199.0
21.0,"non-PTSD, trauma-exposed controls",healthy,controls,7.0,14.0,22.1,,18.0,37.0,,,,,,,,,,,6024199.0
20.0,healthy,healthy,2/3,10.0,10.0,,18-23,18.0,23.0,20.0,,,,,,,,,,3520927.0
20.0,healthy,healthy,3/4,10.0,10.0,,18-23,18.0,23.0,20.0,,,,,,,,,,3520927.0
21.0,healthy,healthy,overall,8.0,13.0,24.9,,19.0,30.0,,,,,,,,,,,5218407.0
20.0,healthy,healthy,after exclusion,8.0,12.0,25.1,,19.0,30.0,,,,,,,,,,,5218407.0
17.0,healthy,healthy,final analysis,7.0,10.0,25.0,,19.0,30.0,,,,,,,,,,,5218407.0
19.0,,healthy,younger adults,5.0,14.0,22.62,,18.0,27.0,22.0,,,,,,,,,,3660406.0
15.0,,healthy,older adults,5.0,10.0,61.15,,51.0,71.0,61.0,,,,,,,,,,3660406.0
21.0,Parkinson's disease,patients,Parkinson's disease,13.0,8.0,60.8,,44.0,73.0,,,,,,,,,,,3182403.0
56.0,none,patients,football fans,54.0,2.0,34.4,,21.0,60.0,34.0,,,,,,,,,,5460049.0
31.0,healthy,healthy,participants,10.0,21.0,24.3,20-29,20.0,29.0,24.0,,,,,,,,,,6847157.0
12.0,healthy,healthy,young adults,8.0,4.0,25.2,22-28,22.0,28.0,25.0,,,,,,,,,,6585311.0
10.0,chronic post-stroke hemiparesis,patients,stroke participants,6.0,4.0,66.7,58-75,58.0,75.0,67.0,,,,,,,,,,6585311.0
9.0,age-matched controls,healthy,age-matched controls,4.0,5.0,64.2,56-72,56.0,72.0,64.0,,,,,,,,,,6585311.0
31.0,schizophrenia or schizoaffective disorder,patients,drug-free first episode psychosis,26.0,5.0,26.64,22-32,22.0,32.0,26.0,,,,,,,,,,8550949.0
35.0,healthy,healthy,controls,26.0,9.0,27.12,22-32,22.0,32.0,27.0,,,,,,,,,,8550949.0
29.0,healthy,healthy,participants,16.0,13.0,23.6,21-33,21.0,33.0,,yes,,,,,,,,,7989009.0
18.0,,patients,,11.0,7.0,26.7,18-60,18.0,60.0,22.5,yes,,,,,,,,,2775905.0
21.0,bipolar disorderD,patients,BDD,,,,16-48,16.0,48.0,,yes,,,,,,,,,6246657.0
40.0,major depressive disorder,patients,MDD,,,,,,,,yes,,,,,,,,,6246657.0
70.0,HC,healthy,HC,,,,,,,,yes,,,,,,,,,6246657.0
24.0,healthy,healthy,right-handed white Caucasian volunteers,12.0,12.0,26.0,23-34,23.0,34.0,26.0,,,,,,,,,,3502502.0
46.0,healthy,healthy,right-handed healthy volunteers from the database of the Oxford Centre for Functional MRI of the Brain (FMRIB),21.0,25.0,30.0,19-63,19.0,63.0,30.0,,,,,,,,,,3502502.0
20.0,mal de debarquement syndrome,patients,MdDS,5.0,15.0,43.4,27-66,27.0,66.0,43.0,,,,,,,,,,3510214.0
20.0,normal controls,healthy,CTRL,,,43.0,23-59,23.0,59.0,,,,,,,,,,,3510214.0
12.0,normal or corrected-to-normal vision,healthy,right-handed subjects,,,,,,,,,,,,,,,,,2995581.0
18.0,naive subjects,healthy,right-handed subjects,,,,,,,,,,,,,,,,,2995581.0
284.0,healthy,healthy,right-handers,71.0,71.0,26.8,18-40,18.0,40.0,26.0,,,,,,,,,,4319399.0
284.0,healthy,healthy,left-handers,73.0,69.0,24.4,18-40,18.0,40.0,24.0,,,,,,,,,,4319399.0
15.0,healthy,healthy,male university students,15.0,0.0,22.33,20-25,20.0,25.0,22.0,,,,,,,,,,4838249.0
28.0,healthy,healthy,ASMR participants,15.0,13.0,26.39,,,,,yes,,,,,,,,,7481390.0
40.0,healthy,healthy,older adults,24.0,16.0,68.4,62.6-74.2,62.0,74.0,68.0,,,,,,,,,,5717028.0
19.0,major depressive disorder,patients,remitted or partially remitted,,,,,,,,yes,,,,,,,,,7875881.0
17.0,healthy controls,healthy,"age-, gender-, and education-matched",,,,,18.0,55.0,,yes,,,,,,,,,7875881.0
29.0,healthy,healthy,healthy participants,15.0,14.0,34.5,,,,,,,,,,,,,,6868994.0
18.0,nicotine-deprived smokers,patients,smokers,18.0,0.0,25.11,,21.0,33.0,25.0,,,,,,,,,,3409150.0
20.0,,patients,algebra,,,,,,,,,,,,,,,,,4352055.0
19.0,,patients,multitasking,,,,,,,,,,,,,,,,,4352055.0
18.0,healthy,healthy,fMRI participants,9.0,9.0,23.67,19-35,19.0,35.0,23.0,,,,,,,,,,2144768.0
23.0,healthy,healthy,behavioral experiment participants,4.0,19.0,27.69,,,,27.0,,,,,,,,,,2144768.0
33.0,healthy,healthy,volunteers,17.0,16.0,25.3,25-30,25.0,30.0,25.0,,,,,,,,,,3676955.0
32.0,stroke patients,patients,left hemisphere stroke patients,27.0,5.0,62.0,18-75,18.0,75.0,62.0,,,,,,,,,,4473263.0
18.0,healthy controls,healthy,age-matched controls,8.0,10.0,63.0,18-75,18.0,75.0,63.0,,,,,,,,,,4473263.0
15.0,apraxia of speech,patients,AOS patients,15.0,0.0,61.0,18-75,18.0,75.0,61.0,,,,,,,,,,4473263.0
17.0,apraxia of speech-absent,patients,AOS-absent patients,12.0,5.0,64.0,18-75,18.0,75.0,64.0,,,,,,,,,,4473263.0
45.0,chronic cigarette smokers,patients,smokers,,,27.9,21-35,21.0,35.0,,yes,,,,,,,,,3511796.0
44.0,healthy non-smoking control subjects,healthy,non-smokers,,,26.3,21-35,21.0,35.0,,yes,,,,,,,,,3511796.0
29.0,healthy,healthy,young adults,10.0,19.0,23.8,19-30,19.0,30.0,23.0,,,,,,,,,,8318202.0
32.0,healthy,healthy,older adults,15.0,17.0,71.0,65-81,65.0,81.0,71.0,,,,,,,,,,8318202.0
10.0,,patients,undergraduate and graduate students,4.0,6.0,20.8,,,,,yes,,,,,,,,,6528067.0
