group_name,subgroup_name,count,diagnosis,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid
healthy,controls,163,,117.0,46.0,36.9,,,,,yes,6611425.0
patients,schizophrenia,151,schizophrenia,114.0,37.0,37.8,,,,,yes,6611425.0
patients,heroin relapsers,21,heroin addiction,21.0,0.0,35.6,null,,,,yes,4990879.0
patients,heroin non-relapsers,19,heroin addiction,19.0,0.0,39.3,null,,,,yes,4990879.0
patients,"drug-naive, first-episode schizophrenia",44,schizophrenia,,,,18-37,18.0,37.0,,yes,6197719.0
healthy,unaffected siblings,42,,,,,18-37,18.0,37.0,,yes,6197719.0
healthy,healthy controls,44,,,,,18-37,18.0,37.0,,yes,6197719.0
healthy,fMRI participants,102,,36.0,66.0,21.5,20-23,20.0,23.0,,yes,3775427.0
patients,fibromyalgia,20,fibromyalgia,0.0,20.0,46.4,22-70,22.0,70.0,,yes,6820536.0
healthy,controls,20,,0.0,20.0,42.1,21-70,21.0,70.0,,yes,6820536.0
healthy,participants,21,,9.0,12.0,23.04,18-35,18.0,35.0,,yes,6697392.0
healthy,volunteers,29,healthy,,,,,,,,yes,7563756.0
patients,PTSD,21,PTSD,,,,,,,,yes,5030332.0
patients,non-convicted CSOs,31,pedophilia,,,,,,,,yes,6678781.0
patients,convicted CSOs,48,pedophilia,,,,,,,,yes,6678781.0
healthy,fMRI participants,17,,5.0,12.0,24.0,18-31,18.0,31.0,,yes,5902547.0
patients,right MCA infarction patients,11,right middle cerebral artery (MCA) territory infarction,11.0,0.0,56.2,45-68,45.0,68.0,,yes,8154462.0
healthy,age-matched healthy controls,9,,9.0,0.0,53.7,40-67,40.0,67.0,,yes,8154462.0
healthy,all participants,23,,,,,,,,,yes,5324609.0
healthy,included participants,15,,7.0,8.0,23.8,,,,,yes,5324609.0
patients,nAMD,18,neovascular age-related macular degeneration,9.0,9.0,,,,,,yes,8544331.0
healthy,healthy controls,18,,9.0,9.0,,,,,,yes,8544331.0
patients,ALS patients,20,Amyotrophic Lateral Sclerosis (ALS),,,,,,,,yes,3447931.0
healthy,control group,20,,,,,,,,,yes,3447931.0
healthy,Study 1 participants,24,,0.0,24.0,24.0,20-30,20.0,30.0,,yes,3965851.0
healthy,Study 2 participants,18,,0.0,18.0,24.0,20-30,20.0,30.0,,yes,3965851.0
healthy,working with children,19,,9.0,10.0,24.08,null-null,,,,yes,7395771.0
healthy,not working with children,19,,9.0,10.0,24.08,null-null,,,,yes,7395771.0
patients,chronic dieters,69,chronic dieters,0.0,69.0,19.38,18-23,18.0,23.0,,yes,5460048.0
patients,panic disorder,17,panic disorder,2.0,15.0,,,,,,yes,6382839.0
healthy,controls,17,,4.0,13.0,,,,,,yes,6382839.0
patients,schizophrenia patients,44,"drug-naive, first-episode schizophrenia",,,,18-37,18.0,37.0,,yes,6197719.0
healthy,unaffected siblings,42,,,,,18-37,18.0,37.0,,yes,6197719.0
healthy,healthy controls,44,,,,,18-37,18.0,37.0,,yes,6197719.0
healthy,all participants,30,,15.0,15.0,,18-30,18.0,30.0,,yes,2748718.0
healthy,Christians,15,,7.0,8.0,,,,,,yes,2748718.0
healthy,Nonbelievers,15,,7.0,8.0,,,,,,yes,2748718.0
healthy,participants,23,,18.0,5.0,22.0,,,,,yes,4330553.0
patients,pED,26,psychogenic erectile dysfunction,26.0,0.0,26.8,,,,,yes,6290711.0
healthy,NC,26,,26.0,0.0,28.5,,,,,yes,6290711.0
healthy,7-repeat absent,16,,10.0,6.0,11.42,8-16,8.0,16.0,,yes,7005761.0
healthy,7-repeat present,10,,7.0,3.0,11.42,8-16,8.0,16.0,,yes,7005761.0
patients,ASD,15,Autism Spectrum Disorder,12.0,3.0,38.0,null,,,,yes,2648877.0
healthy,Control,18,,13.0,5.0,32.0,null,,,,yes,2648877.0
patients,tinnitus,12,chronic tinnitus,1.0,11.0,,21-72,21.0,72.0,,yes,6667657.0
patients,stroke patients,72,ischemic stroke,28.0,44.0,64.6,60-70,60.0,70.0,,yes,5665859.0
healthy,healthy volunteers,15,,,,,,,,,yes,5665859.0
patients,depressed patients,11,depression,5.0,6.0,61.0,null,,,,yes,4589842.0
healthy,healthy volunteers,11,,5.0,6.0,56.0,null,,,,yes,4589842.0
patients,DLB,16,dementia with Lewy bodies,,,,,,,,yes,3984441.0
healthy,controls,17,,,,,,,,,yes,3984441.0
patients,postpartum,24,postpartum,0.0,24.0,,,,,,yes,7272423.0
healthy,control,27,healthy control,0.0,27.0,,,,,,yes,7272423.0
healthy,all participants,19,,10.0,9.0,22.8,19-31,19.0,31.0,,yes,3869649.0
healthy,all participants,10,healthy,7.0,3.0,27.72,null,,,,yes,4029023.0
healthy,female,149,healthy,0.0,149.0,24.5,18-68,18.0,68.0,,yes,4115625.0
healthy,male,123,healthy,123.0,0.0,24.4,18-61,18.0,61.0,,yes,4115625.0
healthy,participants,18,,9.0,9.0,,20-32,20.0,32.0,,yes,4318429.0
patients,LMTLE,12,Left mesial temporal lobe epilepsy,3.0,9.0,,,,,,yes,4017227.0
patients,RMTLE,11,Right mesial temporal lobe epilepsy,5.0,6.0,,,,,,yes,4017227.0
healthy,controls,19,,10.0,9.0,,,,,,yes,4017227.0
healthy,adolescents,67,,36.0,31.0,15.6,13-18,13.0,18.0,,yes,8379626.0
healthy,all participants,58,,26.0,32.0,24.02,,,,,yes,3492343.0
healthy,control,16,,9.0,7.0,,18-35,18.0,35.0,,yes,3183226.0
healthy,adolescents,220,,115.0,105.0,14.61,14-15,14.0,15.0,,yes,3991323.0
healthy,adults,28,,17.0,11.0,25.24,20-39,20.0,39.0,,yes,3991323.0
healthy,nulliparous women,47,,0.0,47.0,19.62,,,,,yes,5548834.0
healthy,children,17,,8.0,9.0,7.4,6.9-7.8,6.0,7.0,,yes,3780305.0
healthy,participants,18,,8.0,10.0,22.5,20.7-24.3,,,,yes,6344389.0
patients,incarcerated females,157,psychopathy,0.0,157.0,,18-50,18.0,50.0,,yes,4174863.0
healthy,non-incarcerated females,46,,0.0,46.0,,18-50,18.0,50.0,,yes,4174863.0
healthy,visual task participants,6,,4.0,2.0,,,,,,yes,5596109.0
healthy,test-retest task participants,10,,4.0,6.0,52.5,50-58,50.0,58.0,52.5,yes,5596109.0
healthy,NYU resting-state participants,25,,,,,,,,,yes,5596109.0
healthy,participants,20,,10.0,10.0,22.3,19-28,19.0,28.0,,yes,7002496.0
healthy,children,20,,,,5.8,5.2-6.8,5.2,6.8,,yes,4274095.0
patients,ADHD adults,38,ADHD,18.0,20.0,40.5,18-65,18.0,65.0,,yes,6347794.0
patients,T2DM-CI,22,Type 2 diabetes mellitus with cognitive impairment,,,,45-75,45.0,75.0,,yes,7829678.0
patients,T2DM-NC,31,Type 2 diabetes mellitus with normal cognition,,,,45-75,45.0,75.0,,yes,7829678.0
healthy,HC,39,,,,,,,,,yes,7829678.0
healthy,all participants,233,,116.0,117.0,16.1,9.9-26.6,9.9,26.6,,yes,5390693.0
healthy,adolescents,51,,26.0,25.0,13.98,12.03-15.94,12.0,15.0,,yes,6664004.0
healthy,adults,51,,10.0,41.0,43.71,27.49-55.91,27.0,55.0,,no,6664004.0
healthy,adolescents_behavioral,53,,26.0,27.0,13.37,12.18-14.82,12.0,14.0,,no,6664004.0
patients,UCP patients,8,Unilateral Cerebral Palsy,3.0,5.0,,10-30,10.0,30.0,,yes,6878729.0
healthy,older adults,34,,14.0,20.0,73.2,56-83,56.0,83.0,,yes,7779563.0
healthy,participants,22,,5.0,17.0,,23-41,23.0,41.0,,yes,3483694.0
patients,WMHs,104,White matter hyperintensities,,,,40-80,40.0,80.0,,yes,8315277.0
healthy,HCs,37,Healthy controls,,,,,,,,yes,8315277.0
patients,ASD,28,autism spectrum disorder,,,13.43,10-17,10.0,17.0,,yes,5870086.0
patients,EOD,58,early adult onset depression,,,,18-29,18.0,29.0,,yes,5598991.0
patients,LOD,62,later adult onset depression,,,,30-44,30.0,44.0,,yes,5598991.0
healthy,young HC,60,,,,,,,,,yes,5598991.0
healthy,old HC,52,,,,,,,,,yes,5598991.0
healthy,right-handed participants,12,healthy,5.0,7.0,25.8,,,,,yes,7649291.0
healthy,participants,21,,21.0,0.0,25.77,20-40,20.0,40.0,,yes,5776089.0
healthy,participants,11,,8.0,3.0,33.1,25-47,25.0,47.0,,yes,6328158.0
healthy,participants,12,,6.0,6.0,25.4,20-40,20.0,40.0,,yes,2151069.0
healthy,participants,12,,7.0,5.0,38.0,23-60,23.0,60.0,,yes,4075342.0
healthy,participants,13,,6.0,7.0,28.4,19-45,19.0,45.0,,yes,7430162.0
healthy,participants,24,,12.0,12.0,,,,,,yes,3362560.0
healthy,all,10,,5.0,5.0,29.5,23-43,23.0,43.0,,yes,3407245.0
healthy,all,46,,32.0,14.0,22.61,,,,,yes,7745153.0
healthy,participants,33,,18.0,15.0,25.24,,,,,yes,7156375.0
healthy,all participants,24,,9.0,15.0,,,,,,yes,6016936.0
healthy,all,103,,52.0,51.0,32.5,18-72,18.0,72.0,,yes,3334814.0
patients,ASC,18,Autism Spectrum Condition,,,30.4,,,,,yes,4265725.0
healthy,Controls,18,,,,28.6,,,,,yes,4265725.0
patients,obese women,16,obesity,0.0,16.0,46.31,,,,,yes,5537800.0
patients,verum acupuncture,20,knee osteoarthritis,11.0,9.0,,43-70,43.0,70.0,,yes,4175730.0
patients,sham acupuncture,10,knee osteoarthritis,6.0,4.0,,43-70,43.0,70.0,,yes,4175730.0
patients,IA group,18,Internet Addiction,,,15.1,,,,,yes,4030253.0
healthy,control group,23,,,,15.2,,,,,yes,4030253.0
patients,phobic prone,15,phobic prone,9.0,6.0,39.2,,,,,yes,3002948.0
patients,eating disorders prone,15,eating disorders prone,10.0,5.0,34.4,,,,,yes,3002948.0
patients,PTSD,21,PTSD,6.0,15.0,21.5,18-31,18.0,31.0,,yes,6024199.0
healthy,trauma-exposed controls,21,,7.0,14.0,22.1,18-37,18.0,37.0,,yes,6024199.0
healthy,APOE 2/3,20,healthy,,,,18-23,18.0,23.0,,yes,3520927.0
healthy,APOE 3/4,20,healthy,,,,18-23,18.0,23.0,,yes,3520927.0
healthy,fMRI participants,20,,8.0,12.0,25.1,19-30,19.0,30.0,,yes,5218407.0
healthy,all,19,,5.0,14.0,22.6,18-27,18.0,27.0,,yes,3660406.0
healthy,all,15,,5.0,10.0,61.1,51-71,51.0,71.0,,yes,3660406.0
healthy,figure skating experts,6,,1.0,5.0,21.2,18-24,18.0,24.0,,yes,3660406.0
healthy,figure skating experts,4,,1.0,3.0,56.0,51-64,51.0,64.0,,yes,3660406.0
patients,PD patients,21,Parkinson's disease,13.0,8.0,60.8,44-73,44.0,73.0,,yes,3182403.0
healthy,football fans,56,,54.0,2.0,34.4,21-60,21.0,60.0,,yes,5460049.0
healthy,participants,31,,10.0,21.0,24.3,20-29,20.0,29.0,,yes,6847157.0
patients,stroke,10,chronic post-stroke hemiparesis,6.0,4.0,66.7,null-null,,,,yes,6585311.0
healthy,age-matched controls,9,,4.0,5.0,64.2,null-null,,,,yes,6585311.0
healthy,young adults,12,,8.0,4.0,25.2,null-null,,,,yes,6585311.0
patients,first episode psychosis,31,schizophrenia or schizoaffective disorder,26.0,5.0,26.64,,,,,yes,8550949.0
healthy,controls,35,,26.0,9.0,27.12,,,,,yes,8550949.0
healthy,fMRI participants,29,,16.0,13.0,23.6,21-33,21.0,33.0,,yes,7989009.0
healthy,participants,18,,11.0,7.0,26.7,18-60,18.0,60.0,22.5,yes,2775905.0
patients,BDD,21,Bipolar Disorder in Depressive Episode,,,,16-48,16.0,48.0,,yes,6246657.0
patients,MDD,40,Major Depressive Disorder,,,,16-48,16.0,48.0,,yes,6246657.0
healthy,HC,70,,,,,16-48,16.0,48.0,,yes,6246657.0
healthy,fMRI subjects,24,,12.0,12.0,26.0,23-34,23.0,34.0,,yes,3502502.0
healthy,DWI validation subjects,46,,21.0,25.0,30.0,19-63,19.0,63.0,,yes,3502502.0
patients,MdDS,20,Mal de Debarquement Syndrome,5.0,15.0,43.4,27-66,27.0,66.0,,yes,3510214.0
healthy,Controls,20,,5.0,15.0,43.0,23-59,23.0,59.0,,yes,3510214.0
healthy,subjects,12,,,,,,,,,yes,2995581.0
healthy,subjects,18,,,,,,,,,yes,2995581.0
healthy,right-handers,142,,71.0,71.0,26.8,20-32.7,20.0,32.0,,yes,4319399.0
healthy,left-handers,142,,73.0,69.0,24.4,18.4-30.4,18.0,30.0,,yes,4319399.0
healthy,participants,15,,15.0,0.0,22.33,,,,,yes,4838249.0
healthy,participants,28,,15.0,13.0,26.39,,,,,yes,7481390.0
healthy,older adults,40,,24.0,16.0,68.4,null,,,,yes,5717028.0
patients,MDD patients,19,MDD,,,,18-55,18.0,55.0,,yes,7875881.0
healthy,healthy controls,17,,,,,18-55,18.0,55.0,,yes,7875881.0
healthy,participants,29,,15.0,14.0,34.5,,,,,yes,6868994.0
patients,smokers,18,nicotine addiction,18.0,0.0,25.11,21-33,21.0,33.0,,yes,3409150.0
healthy,all,18,,,,,,,,,yes,4352055.0
healthy,behavioral experiment participants,23,,4.0,19.0,27.69,,,,,no,2144768.0
healthy,fMRI experiment participants,18,,9.0,9.0,23.67,19-35,19.0,35.0,,yes,2144768.0
healthy,volunteers,33,healthy,17.0,16.0,25.3,,,,,yes,3676955.0
patients,AOS,15,Apraxia of Speech,15.0,0.0,61.0,51-73,51.0,73.0,,yes,4473263.0
patients,AOS-absent,17,Stroke without Apraxia of Speech,12.0,5.0,64.0,55-73,55.0,73.0,,yes,4473263.0
healthy,controls,18,,8.0,10.0,63.0,54-72,54.0,72.0,,yes,4473263.0
patients,smokers,45,healthy smokers,37.0,8.0,27.9,null,,,,yes,3511796.0
healthy,non-smokers,44,healthy non-smokers,36.0,8.0,26.3,null,,,,yes,3511796.0
healthy,young adults,29,,10.0,19.0,23.8,19-30,19.0,30.0,,yes,8318202.0
healthy,older adults,32,,15.0,17.0,71.0,65-81,65.0,81.0,,yes,8318202.0
healthy,participants,10,,4.0,6.0,20.8,,,,,yes,6528067.0
healthy,adults,20,,12.0,8.0,24.4,19-35,19.0,35.0,,yes,3147157.0
patients,experienced HA users,13,"bilateral, sloping, sensorineural hearing loss",,,,60-80,60.0,80.0,,yes,6509414.0
patients,inexperienced HA users,14,"bilateral, sloping, sensorineural hearing loss",,,,60-80,60.0,80.0,,yes,6509414.0
healthy,right-handers,19,,7.0,12.0,24.7,19-30,19.0,30.0,,yes,2561002.0
healthy,left-handers,15,,5.0,10.0,26.1,21-35,21.0,35.0,,yes,2561002.0
healthy,ASL learners,20,,1.0,19.0,21.4,18-31,18.0,31.0,,yes,6136263.0
patients,ASD,16,Autism Spectrum Disorder,16.0,0.0,,8-18,8.0,18.0,,yes,5279905.0
healthy,TD,16,,,,,,,,,yes,5279905.0
patients,PTSD,14,PTSD,,,,,,,,yes,8785646.0
healthy,Controls,15,,,,,,,,,yes,8785646.0
healthy,all participants,56,healthy,0.0,56.0,24.3,,,,,yes,5068584.0
healthy,GnRHa group,30,healthy,0.0,30.0,,,,,,yes,5068584.0
healthy,placebo group,26,healthy,0.0,26.0,,,,,,yes,5068584.0
patients,stroke patients,27,left hemisphere stroke,17.0,10.0,59.1,48.3-69.9,,,,yes,5903407.0
healthy,controls,24,,5.0,19.0,57.0,46-68,,,,yes,5903407.0
patients,proficient deaf readers,11,deaf,3.0,8.0,28.73,19-46,19.0,46.0,,yes,3554651.0
patients,less-proficient deaf readers,10,deaf,3.0,7.0,30.0,19-45,19.0,45.0,,yes,3554651.0
patients,phantom limb pain patients,13,phantom limb pain,11.0,2.0,52.92,32-75,32.0,75.0,,yes,2494616.0
healthy,healthy volunteers,6,,,,43.0,30-56,30.0,56.0,,yes,2494616.0
patients,marijuana users,10,marijuana abuse,8.0,2.0,,,,,,yes,3742334.0
healthy,non-users,18,,11.0,7.0,,,,,,yes,3742334.0
healthy,fMRI participants,30,,9.0,21.0,23.0,,,,,yes,8018944.0
healthy,TMS participants,9,,2.0,7.0,24.0,,,,,yes,8018944.0
healthy,healthy controls,40,healthy controls,8.0,32.0,,25-63,25.0,63.0,,yes,8172304.0
patients,CSU patients,32,chronic spontaneous urticaria,6.0,26.0,,25-65,25.0,65.0,,yes,8172304.0
patients,TS children,17,Tourette syndrome,,,,,,,,yes,3877773.0
healthy,healthy control children,15,,,,,,,,,yes,3877773.0
healthy,participants,13,,8.0,5.0,21.0,20-22,20.0,22.0,,yes,6989437.0
patients,PD/AG,121,panic disorder with agoraphobia,,,,,,,,yes,6854061.0
healthy,HC,77,,,,,,,,,yes,6854061.0
patients,ADHD,30,ADHD,30.0,0.0,,10-17,10.0,17.0,,yes,4190683.0
healthy,control,30,,30.0,0.0,,10-17,10.0,17.0,,yes,4190683.0
patients,ASD,26,Autism Spectrum Disorder,,,,8-18,8.0,18.0,,yes,7194032.0
healthy,TD,28,Typically Developing,,,,8-18,8.0,18.0,,yes,7194032.0
patients,aMCI/mAD,17,amnestic mild cognitive impairment (aMCI) or mild Alzheimer's dementia (mAD),8.0,9.0,73.5,65-81,65.0,81.0,,yes,7838677.0
healthy,controls,28,,14.0,14.0,,55-81,55.0,81.0,,yes,7838677.0
patients,all,70,bipolar disorder,,,37.0,18-65,18.0,65.0,,yes,6908505.0
patients,ValVal,43,bipolar disorder,,,,,,,,yes,6908505.0
patients,Met carriers,26,bipolar disorder,,,,,,,,yes,6908505.0
patients,asthmatic patients,42,bronchial asthma,,,,,18.0,,,yes,5394595.0
healthy,healthy controls,60,,,,,,,,,yes,5394595.0
patients,GCBT group,17,bronchial asthma,7.0,10.0,50.76,,,,,yes,5394595.0
patients,total sleep deprivation group,39,healthy,22.0,17.0,33.5,21-50,21.0,50.0,,yes,7260173.0
healthy,control group,15,healthy,7.0,8.0,34.5,,,,,yes,7260173.0
patients,alcohol-dependent patients,34,alcohol dependence,34.0,0.0,,,,,,yes,5413198.0
healthy,healthy controls,26,,26.0,0.0,,,,,,yes,5413198.0
healthy,participants,20,,9.0,11.0,21.95,18-35,18.0,35.0,,yes,4810172.0
healthy,all participants,15,,8.0,7.0,,,,,,yes,2390848.0
patients,UC patients,41,mildly to moderately active ulcerative colitis,25.0,16.0,37.1,20-54,20.0,54.0,,yes,6457314.0
healthy,Healthy controls,42,,25.0,17.0,36.86,22-55,22.0,55.0,,yes,6457314.0
healthy,students,40,,21.0,19.0,21.28,18-24,18.0,24.0,,yes,8152834.0
healthy,participants,17,,17.0,0.0,23.8,20-30,20.0,30.0,,yes,3866656.0
patients,PD patients,37,Parkinson's disease,17.0,20.0,,,,,,yes,4184784.0
healthy,healthy controls,34,,22.0,12.0,,,,,,yes,4184784.0
patients,FD-PDS with comorbid MDD,24,Functional Dyspepsia - Postprandial Distress Syndrome with comorbid Major Depressive Disorder,0.0,24.0,,,,,,yes,7518235.0
patients,FD-PDS without MDD,24,Functional Dyspepsia - Postprandial Distress Syndrome without Major Depressive Disorder,0.0,24.0,,,,,,yes,7518235.0
healthy,Healthy Controls,24,,0.0,24.0,,,,,,yes,7518235.0
patients,TS patients,5,Tourette syndrome,3.0,2.0,27.0,,,,,yes,5857897.0
healthy,full sample,113,,,,17.11,12.27-21.96,12.0,21.0,,yes,7038454.0
healthy,neuroimaging sample,104,,,,,,,,,yes,7038454.0
healthy,all participants,50,healthy,,,,,,,,yes,3893192.0
healthy,happy group,25,healthy,,,,,,,,yes,3893192.0
healthy,unhappy group,25,healthy,,,,,,,,yes,3893192.0
patients,MDD patients,29,"first-episode, drug-naive major depressive disorder",9.0,21.0,,18-45,18.0,45.0,,yes,4869560.0
healthy,healthy subjects,29,,15.0,14.0,26.76,,,,,yes,4869560.0
healthy,all participants,24,,12.0,12.0,25.3,21-34,21.0,34.0,,yes,7994216.0
patients,IMP,10,idiopathic musculoskeletal pain,1.0,9.0,16.3,14-17,14.0,17.0,,yes,5686883.0
healthy,control,10,,1.0,9.0,16.1,,,,,yes,5686883.0
healthy,male participants,12,healthy,12.0,0.0,31.0,18-55,18.0,55.0,,yes,3258233.0
healthy,all participants,595,,218.0,377.0,39.47,8-83,8.0,83.0,,yes,8615904.0
healthy,experiment 1,12,,6.0,6.0,26.0,23-39,23.0,39.0,,yes,3422286.0
healthy,experiment 2,14,,7.0,7.0,23.0,24-30,24.0,30.0,,yes,3422286.0
patients,mTBI,53,mild traumatic brain injury,,,,,18.0,,,yes,7275020.0
healthy,controls,37,,,,,,,,,yes,7275020.0
healthy,all participants,23,,11.0,12.0,24.2,18-31,18.0,31.0,,yes,4436102.0
healthy,Back-Pain control group,8,chronic lumbar back-pain,,,,,,,,no,4522562.0
patients,Epilepsy control group,10,epilepsy,,,,,,,,no,4522562.0
patients,Brain-operated group,14,refractory epilepsy,,,,,,,,no,4522562.0
healthy,fMRI participants,8,,4.0,4.0,31.75,,,,,yes,4522562.0
patients,mild to moderate depression,12,Major Depressive Disorder,,,,,,,,yes,4983635.0
