id,title,keywords,abstract,body
pmid_29326646,Impaired Emotional Mirroring in Parkinson's Disease-A Study on Brain Activation during Processing of Facial Expressions.,"Parkinson’s disease
emotion
facial emotions
functional MRI
mirror neurons
neurodegeneration","Affective dysfunctions are common in patients with Parkinson's disease, but the underlying neurobiological deviations have rarely been examined. Parkinson's disease is characterized by a loss of dopamine neurons in the substantia nigra resulting in impairment of motor and non-motor basal ganglia-cortical loops. Concerning emotional deficits, some studies provide evidence for altered brain processing in limbic- and lateral-orbitofrontal gating loops. In a second line of evidence, human premotor and inferior parietal homologs of mirror neuron areas were involved in processing and understanding of emotional facial expressions. We examined deviations in brain activation during processing of facial expressions in patients and related these to emotion recognition accuracy. 13 patients and 13 healthy controls underwent an emotion recognition task and a functional magnetic resonance imaging (fMRI) measurement. In the Emotion Hexagon test, participants were presented with blends of two emotions and had to indicate which emotion best described the presented picture. Blended pictures with three levels of difficulty were included. During fMRI scanning, participants observed video clips depicting emotional, non-emotional, and neutral facial expressions or were asked to produce these facial expressions themselves. Patients performed slightly worse in the emotion recognition task, but only when judging the most ambiguous facial expressions. Both groups activated inferior frontal and anterior inferior parietal homologs of mirror neuron areas during observation and execution of the emotional facial expressions. During observation, responses in the pars opercularis of the right inferior frontal gyrus, in the bilateral inferior parietal lobule and in the bilateral supplementary motor cortex were decreased in patients. Furthermore, in patients, activation of the right anterior inferior parietal lobule was positively related to accuracy in the emotion recognition task. Our data provide evidence for a contribution of human homologs of monkey mirror areas to the emotion recognition deficit in Parkinson's disease. ",
pmid_18579575,Abnormal temporal difference reward-learning signals in major depression.,,"Anhedonia is a core symptom of major depressive disorder (MDD), long thought to be associated with reduced dopaminergic function. However, most antidepressants do not act directly on the dopamine system and all antidepressants have a delayed full therapeutic effect. Recently, it has been proposed that antidepressants fail to alter dopamine function in antidepressant unresponsive MDD. There is compelling evidence that dopamine neurons code a specific phasic (short duration) reward-learning signal, described by temporal difference (TD) theory. There is no current evidence for other neurons coding a TD reward-learning signal, although such evidence may be found in time. The neuronal substrates of the TD signal were not explored in this study. Phasic signals are believed to have quite different properties to tonic (long duration) signals. No studies have investigated phasic reward-learning signals in MDD. Therefore, adults with MDD receiving long-term antidepressant medication, and comparison controls both unmedicated and acutely medicated with the antidepressant citalopram, were scanned using fMRI during a reward-learning task. Three hypotheses were tested: first, patients with MDD have blunted TD reward-learning signals; second, controls given an antidepressant acutely have blunted TD reward-learning signals; third, the extent of alteration in TD signals in major depression correlates with illness severity ratings. The results supported the hypotheses. Patients with MDD had significantly reduced reward-learning signals in many non-brainstem regions: ventral striatum (VS), rostral and dorsal anterior cingulate, retrosplenial cortex (RC), midbrain and hippocampus. However, the TD signal was increased in the brainstem of patients. As predicted, acute antidepressant administration to controls was associated with a blunted TD signal, and the brainstem TD signal was not increased by acute citalopram administration. In a number of regions, the magnitude of the abnormal signals in MDD correlated with illness severity ratings. The findings highlight the importance of phasic reward-learning signals, and are consistent with the hypothesis that antidepressants fail to normalize reward-learning function in antidepressant-unresponsive MDD. Whilst there is evidence that some antidepressants acutely suppress dopamine function, the long-term action of virtually all antidepressants is enhanced dopamine agonist responsiveness. This distinction might help to elucidate the delayed action of antidepressants. Finally, analogous to recent work in schizophrenia, the finding of abnormal phasic reward-learning signals in MDD implies that an integrated understanding of symptoms and treatment mechanisms is possible, spanning physiology, phenomenology and pharmacology. ",
pmid_32601841,Immediate Abnormal Intrinsic Brain Activity Patterns in Patients with End-stage Renal Disease During a Single Dialysis Session : Resting-state Functional MRI Study.,"Amplitude of low-frequency fluctuation (ALFF)
Cognitive impairments
End-stage renal disease (ESRD)
Hemodialysis
Resting-state fMRI (rs-fMRI)","To investigate cerebral amplitude of low-frequency fluctuations (ALFF) changes during a single hemodialysis (HD) in end-stage renal disease (ESRD) patients who need maintenance HD. A total of 24 patients and 27 healthy subjects were included. The patients underwent neuropsychological tests and took twice resting-state fMRI (rs-fMRI) (before and after HD). Healthy group had one rs-fMRI. The zALFF based on rs-fMRI was calculated. Paired t and independent t test was applied to compare zALFF among groups. The associations between zALFF and duration of HD, ultrafiltration volume, and neuropsychological tests was calculated by partial correlation. Compared to healthy group, patients before HD showed significant worse performances on digit symbol test (DST) and serial dotting test (SDT). Patients after HD performed DST better than before HD. The patients after HD showed higher zALFF in left putamen than before HD. Multiple regions of both HD groups showed significant lower zALFF than healthy group. The zALFF of left putamen of patients after HD was significant negative correlated with the ultrafiltration volume (R = -0.679). The zALFF in patients before HD exhibited significantly positive or negative correlations with DST and SDT in multiple regions. The zALFF of patients after HD significantly negative correlated with DST in right temporal, positive and negative correlated with ultrafiltration volume in right frontal, left putamen respectively. ESRD patients showed changed spontaneous brain activity and cognitive impairments. After a single HD session, patients performed better in neuropsychological test, and spontaneous brain activity changed in left putamen. Ultrafiltration volume might be associated with activity of left putamen. ",
pmid_32576025,Electroacupuncture promotes motor function and functional connectivity in rats with ischemic stroke: an animal resting-state functional magnetic resonance imaging study.,"acupuncture
electroacupuncture
magnetic resonance imaging
neurology
stroke","To evaluate whether electroacupuncture (EA) treatment at LI11 and ST36 could reduce motor impairments and enhance brain functional recovery in a rat model of ischemic stroke. A rat model of middle cerebral artery occlusion (MCAO) was established. EA at LI11 and ST36 was started at 24 h (MCAO + EA group) after ischemic stroke modeling. Untreated model (MCAO) and sham-operated (Sham) groups were included as controls. The neurological deficits of all groups were assessed using modified neurologic severity scores (mNSS) at 24 h and 14 days after MCAO. To further investigate the effect of EA on infarct volume and brain function, functional magnetic resonance imaging was used to estimate the size of the brain lesions and neural activities of each group at 14 days after ischemic stroke. EA treatment of MCAO rats led to a significant reduction in the infarct volumes accompanied by functional recovery, reflected in improved mNSS outcomes and motor functional performances. Furthermore, functional connectivity between the left motor cortex and left cerebellum posterior lobe, right motor cortex, left striatum and bilateral sensory cortex were decreased in MCAO group but increased after EA treatment. EA at LI11 and ST36 could enhance the functional connectivity between the left motor cortex and the motor function-related brain regions, including the motor cortex, sensory cortex and striatum, in rats. EA exhibits potential as a treatment for ischemic stroke. ",
pmid_29058369,"Association of the alcohol dehydrogenase gene polymorphism rs1789891 with gray matter brain volume, alcohol consumption, alcohol craving and relapse risk.","ADH gene polymorphism
MRI
alcoholism
gray matter volume
relapse
rs1789891","Alcohol metabolizing enzymes, such as the alcohol dehydrogenases and the aldehyde dehydrogenases, regulate the levels of acetaldehyde in the blood and play an important role in the development and maintenance of alcohol addiction. Recent genome-wide systematic searches found associations between a single nucleotide polymorphism (rs1789891, risk allele: A, protective allele: C) in the alcohol dehydrogenase gene cluster and the risk of alcohol dependence. The current study investigated the effect of this single nucleotide polymorphism on alcohol consumption, craving for alcohol, relapse risk and brain gray matter volume. Alcohol-dependent patients (n = 74) and controls (n = 43) were screened, genotyped and underwent magnetic resonance imaging scanning, and relapse data were collected during 3 months following the experiment. Alcohol-dependent A allele carriers reported increased alcohol craving and higher alcohol consumption compared with the group of alcohol-dependent individuals homozygous for the C allele, which displayed craving values similar to the control group. Further, follow-up data indicated that A allele carriers relapsed earlier to heavy drinking compared with individuals with two C alleles. Analyses of gray matter volume indicated a significant genotype difference in the patient group: individuals with two C alleles had reduced gray matter volume in the left and right superior, middle and inferior temporal gyri. Findings of the current study further support the relevance of genetic variants in alcohol metabolizing enzymes to addictive behavior, brain tissue volume and relapse risk. Genotype-dependent differences in acetaldehyde formation, implicated by earlier studies, might be the biological substrate of the genotype differences. ",
pmid_24790186,Connecting to create: expertise in musical improvisation is associated with increased functional connectivity between premotor and prefrontal areas.,"Creativity
expertise
fMRI
improvisation
music
plasticity","Musicians have been used extensively to study neural correlates of long-term practice, but no studies have investigated the specific effects of training musical creativity. Here, we used human functional MRI to measure brain activity during improvisation in a sample of 39 professional pianists with varying backgrounds in classical and jazz piano playing. We found total hours of improvisation experience to be negatively associated with activity in frontoparietal executive cortical areas. In contrast, improvisation training was positively associated with functional connectivity of the bilateral dorsolateral prefrontal cortices, dorsal premotor cortices, and presupplementary areas. The effects were significant when controlling for hours of classical piano practice and age. These results indicate that even neural mechanisms involved in creative behaviors, which require a flexible online generation of novel and meaningful output, can be automated by training. Second, improvisational musical training can influence functional brain properties at a network level. We show that the greater functional connectivity seen in experienced improvisers may reflect a more efficient exchange of information within associative networks of importance for musical creativity. ",
pmid_25260201,Abnormal gray matter and white matter volume in 'Internet gaming addicts'.,"Gray matter density
Internet addiction
Magnetic resonance imaging
Voxel-based morphometry
White matter density","Internet gaming addiction (IGA) is usually defined as the inability of an individual to control his/her use of the Internet with serious negative consequences. It is becoming a prevalent mental health concern around the world. To understand whether Internet gaming addiction contributes to cerebral structural changes, the present study examined the brain gray matter density and white matter density changes in participants suffering IGA using voxel-based morphometric analysis. Compared with the healthy controls (N=36, 22.2 ± 3.13 years), IGA participants (N=35, 22.28 ± 2.54 years) showed significant lower gray matter density in the bilateral inferior frontal gyrus, left cingulate gyrus, insula, right precuneus, and right hippocampus (all p<0.05). IGA participants also showed significant lower white matter density in the inferior frontal gyrus, insula, amygdala, and anterior cingulate than healthy controls (all p<0.05). Previous studies suggest that these brain regions are involved in decision-making, behavioral inhibition and emotional regulation. Current findings might provide insight in understanding the biological underpinnings of IGA. ",
pmid_17385077,Altered cortical activation during a motor task in ALS. Evidence for involvement of central pathways.,,"To test the hypothesis that patients with amyotrophic lateral sclerosis (ALS) show increased cortical activation during a motor task compared to both healthy controls and patients with muscle weakness due to peripheral lesions. Functional magnetic resonance imaging (fMRI) was used to measure activation during a block design paradigm contrasting right hand movements against rest in sixteen patients with ALS, seventeen healthy controls and nine patients with peripheral lesions. The groups were matched for age and gender and the two patient groups were matched for their degree of upper limb weakness. Analysis used a non-parametric approach to perform a 3 way hypothesis-driven comparison between the groups. During the motor task, patients with ALS showed increased cortical activation bilaterally, extending from the sensorimotor cortex [Brodmann areas (BA) 1, 2, 4] posteriorly into the inferior parietal lobule (BA 40) and inferiorly to the superior temporal gyrus (BA 22) when compared to peripheral lesion patients and controls. In addition, ALS patients showed reduced activation in the dorsolateral prefrontal cortex (DLPFC) extending to anterior and medial frontal cortex (BA 8, 9, 10, 32). We conclude that alterations in cortical function in ALS differ in sensorimotor and prefrontal regions. Importantly, we have shown that these changes do not reflect confounding by weakness or task difficulty, but are likely to be related to upper motor neuron pathology in ALS. ",
pmid_20053347,Neural correlates of generating visual nouns and motor verbs in a minimal phrase context.,,"The neural basis underlying the generation of nouns and verbs is still not completely understood. In classical generation tasks, specific features of the produced words can hardly be controlled. Therefore, the observed neural correlates of noun and verb production cannot be directly related to differences in specific features of the generated words. The present study seeks to address this issue by using a ""minimal-phrase context"" to elicit the activation of specific nouns and verbs. With this context, the to-be-generated words were highly constrained, and thus their semantic and other features (visual/action relatedness, word frequency, cloze probability, etc.) are well controlled. Thus, the present paradigm combines the advantages of classical word generation tasks (i.e., active semantic processing) with the advantages of tasks that allow for a high control of the experimental stimuli, such as passive viewing, reading, or lexical decision tasks. In an fMRI study, 17 participants generated verbs with strong motor and nouns with strong visual associations. Both noun and verb generation, compared to a rhyme generation baseline, elicited stronger activation in perisylvian language areas of the temporal and parietal cortex. In addition, stronger activation for nouns was found in the right middle/inferior temporal cortex. This activation supports the claim that noun generation is mediated by visual processing areas. Stronger activation for verb generation was found in the left superior temporal gyrus. Since this area is involved in motion perception, the results suggest that perceptual representations of movements mediate the generation of action verbs. ",
pmid_29906489,Taste at first (person) sight: Visual perspective modulates brain activity implicitly associated with viewing unhealthy but not healthy foods.,"Embodied cognition
Functional magnetic resonance imaging (fMRI)
Taste and reward processing
Visual food cues
Visual perspective","Every day, people are exposed to images of appetizing foods that can lead to high-calorie intake and contribute to overweight and obesity. Research has documented that manipulating the visual perspective from which eating is viewed helps resist temptation by altering the appraisal of unhealthy foods. However, the neural basis of this effect has not yet been examined using neuroimaging methods. Moreover, it is not known whether the benefits of this strategy can be observed when people, especially overweight, are not explicitly asked to imagine themselves eating. Last, it remains to be investigated if visual perspective could be used to promote healthy foods. The present work manipulated camera angles and tested whether visual perspective modulates activity in brain regions associated with taste and reward processing while participants watch videos featuring a hand grasping (unhealthy or healthy) foods from a plate during functional magnetic resonance imagining (fMRI). The plate was filmed from the perspective of the participant (first-person perspective; 1PP), or from a frontal view as if watching someone else eating (third-person perspective; 3PP). Our findings reveal that merely viewing unhealthy food cues from a 1PP (vs. 3PP) increases activity in brain regions that underlie representations of rewarding (appetitive) experiences (amygdala) and food intake (superior parietal gyrus). Additionally, our results show that ventral striatal activity is positively correlated with body mass index (BMI) during exposure to unhealthy foods from a 1PP (vs. 3PP). These findings suggest that unhealthy foods should be promoted through third-person (video) images to weaken the reward associated with their simulated consumption, especially amongst overweight people. It appears however that, as such, manipulating visual perspective fails to enhance the perception of healthy foods. Their promotion thus requires complementary solutions. ",
pmid_23867077,When less is more: a functional magnetic resonance imaging study of verbal working memory in remitted depressed patients.,,"Patients with depression show abnormalities in the neural circuitry supporting working memory. However, it is unclear if these abnormalities are present in unmedicated remitted depressed patients. To address this question, the current study employed functional magnetic resonance imaging (fMRI), in combination with a simple verbal n-back task, in a cohort of unmedicated remitted depressed patients. We studied 15 healthy control subjects (HC) and 15 unmedicated remitted depressed patients (rMDD). Participants performed a verbal working memory task of varying cognitive load (n-back) while undergoing fMRI. We used multiple regression analyses to assess overall capacity (1-, 2-, 3-back versus 0-back) as well as quadratic modulation of cognitive demand. Performance accuracy and response latency did not differ between groups, and overall capacity was similar. However, rMDD showed a positive quadratic load response in the bilateral hippocampus; the converse was true for HC. Our data suggest that remitted depression was associated with a perturbed pattern of activation in the bilateral hippocampus during a verbal working memory task. We propose that a reduced ability to dampen task-irrelevant activity may reflect a neurobiological risk factor for recurrent depression. ",
pmid_11501736,The role of spatial configuration in tests of working memory explored with functional neuroimaging.,,"While the importance of the prefrontal cortex for ""higher-order"" cognitive functions is largely undisputed, no consensus has been reached regarding the fractionation of functions within this region. Several recent functional neuroimaging studies have suggested that the mid-ventrolateral frontal cortex may play an important role in various aspects of human memory. Thus, similar patterns of activation have been observed in this region during analogous spatial, verbal and visual span tasks. In the present study, however, activation was observed in a more dorsolateral region of the lateral frontal cortex during a modified version of the spatial span task, which differed only in the spatial configuration of the array employed. The results of a supplementary behavioral study, designed to investigate this effect further, suggest that in spatial memory tasks certain stimulus configurations may encourage subjects to adopt mnemonic strategies, which may depend upon dorsolateral, rather than ventrolateral, regions of the frontal cortex. These findings shed further light on the functional relationship between dorsal and ventral regions of the lateral frontal cortex and, more specifically, how the ""executive"" processes assumed to be dependent upon these regions might contribute to aspects of human memory. ",
pmid_30768406,Deficient Functioning of Frontostriatal Circuits During the Resolution of Cognitive Conflict in Cannabis-Using Youth.,"cannabis use
frontostriatal circuits
functional magnetic resonance imaging
resolution of cognitive conflict
youth","Disturbances in self-regulatory control are involved in the initiation and maintenance of addiction, including cannabis use disorder. In adults, long-term cannabis use is associated with disturbances in frontostriatal circuits during tasks that require the engagement of self-regulatory control, including the resolution of cognitive conflict. Understudied are the behavioral and neural correlates of these processes earlier in the course of cannabis use disentangled from effects of long-term use. The present study investigated the functioning of frontostriatal circuits during the resolution of cognitive conflict in cannabis-using youth. Functional magnetic resonance imaging data were acquired from 28 cannabis-using youth and 32 age-matched healthy participants during the performance of a Simon task. General linear modeling was used to compare patterns of brain activation during correct responses to conflict stimuli across groups. Psychophysiologic interaction analyses were used to examine conflict-related frontostriatal connectivity across groups. Associations of frontostriatal activation and connectivity with cannabis use measures were explored. Decreased conflict-related activity was detected in cannabis-using versus healthy control youth in frontostriatal regions, including the ventromedial prefrontal cortex, striatum, pallidum, and thalamus. Frontostriatal connectivity did not differ across groups, but negative connectivity between the ventromedial prefrontal cortex and striatum was detected in the 2 groups. These findings are consistent with previous reports of cannabis-associated disturbances in frontostriatal circuits in adults and point to the specific influence of cannabis on neurodevelopmental changes in youth. Future studies should examine whether frontostriatal functioning is a reliable marker of cannabis use disorder severity and a potential target for circuit-based interventions. ",
