,group_name,subgroup_name,project_name,annotator_name,pmcid,umls,diagnosis,count,male count,age mean,female count,age minimum,age maximum,age median
334,patients,_,participant_demographics,Jerome_Dockes,6200185,C0751967,relapsing-remitting multiple sclerosis,44,,,,,,
295,patients,RMTLE,participant_demographics,Jerome_Dockes,8933759,C3266633,Right Mesial Temporal Lobe Epilepsy,11,,,,,,
175,patients,_,participant_demographics,Jerome_Dockes,6878729,"C0007789, C0585630",right-sided cerebral palsy,8,3,,5,10,30,
209,patients,_,participant_demographics,Jerome_Dockes,5292583,C0036341,schizophrenia,33,,,,,,
242,patients,_,participant_demographics,Jerome_Dockes,6197719,C0036341,schizophrenia,44,,,,,,
44,patients,_,participant_demographics,Jerome_Dockes,6611425,C0036341,schizophrenia,151,114,37.8,37,,,
327,patients,dataset 1,participant_demographics,Jerome_Dockes,7721229,C0036341,schizophrenia,151,115,38.77,36,18,62,
36,patients,_,participant_demographics,Jerome_Dockes,7851842,C0036341,schizophrenia,17,,,,,,
290,patients,_,participant_demographics,Jerome_Dockes,8550949,C0036341,schizophrenia,31,26,26.64,5,,,
426,patients,schizophrenia,participant_demographics,Jerome_Dockes,8883821,C0036341,schizophrenia,28,20,,8,21,54,
314,patients,_,participant_demographics,Jerome_Dockes,9057100,C0036341,schizophrenia,151,114,37.8,37,,,
221,patients,_,participant_demographics,Jerome_Dockes,9435010,C0036341,schizophrenia,100,,,,,,
126,patients,severe childhood abuse,participant_demographics,Jerome_Dockes,5104469,C5828513,Severe Childhood Abuse,21,15,17.5,6,,,
267,patients,_,participant_demographics,Jerome_Dockes,4029608,C4237417,Social anxiety disorder,27,15,,12,,,
351,patients,_,participant_demographics,Jerome_Dockes,4416052,C4237417,social anxiety disorder,53,36,29.9,17,,,
368,patients,_,participant_demographics,Jerome_Dockes,8154462,C0740392,stroke,11,11,56.21,,45,68,
47,patients,_,participant_demographics,Jerome_Dockes,7090024,C0338656,subjective cognitive decline,35,,,,,,
89,patients,_,participant_demographics,Jerome_Dockes,6699415,C0017638,supratentorial gliomas,5,2,33.7,3,,,
139,patients,_,participant_demographics,Jerome_Dockes,5761874,C0014556,temporal lobe epilepsy,25,13,33.6,12,20,45,
9,patients,_,participant_demographics,Jerome_Dockes,8933317,C0014556,Temporal lobe epilepsy,66,,,,,,
121,patients,lh,participant_demographics,Jerome_Dockes,4522562,C4049190,thermo-coagulation lesions in the left hippocampus,3,,,,,,
122,patients,lph,participant_demographics,Jerome_Dockes,4522562,C4049190,thermo-coagulation lesions in the left parahippocampal cortex,1,,,,,,
119,patients,rh,participant_demographics,Jerome_Dockes,4522562,C4049190,thermo-coagulation lesions in the right hippocampus,5,,,,,,
233,patients,_,participant_demographics,Jerome_Dockes,3877773,C0040517,Tourette syndrome,17,,,,,,
180,patients,_,participant_demographics,Jerome_Dockes,5857897,C0040517,Tourette syndrome,5,3,27,2,,,
28,patients,_,participant_demographics,Jerome_Dockes,9308181,C0041341,tuberous sclerosis complex,173,,,,,,
258,patients,_,participant_demographics,Jerome_Dockes,7829678,C0011860,Type 2 diabetes mellitus,53,,,,,,
393,patients,_,participant_demographics,Jerome_Dockes,6457314,C0009324,ulcerative colitis,41,25,37.1,16,20,54,
235,patients,primary study,participant_demographics,Jerome_Dockes,5416685,C0041696,unipolar major depression,20,,,,18,65,
236,patients,validation study,participant_demographics,Jerome_Dockes,5416685,C0041696,unipolar major depression,19,,,,18,65,
101,patients,_,participant_demographics,Jerome_Dockes,6350268,C3805043 ,"vascular mild cognitive impairment
",31,,,,,,
401,patients,_,participant_demographics,Jerome_Dockes,4215530,C3897192,"Very preterm birth
",24,,,,,,
325,patients,_,participant_demographics,Jerome_Dockes,8315277,"C4293686, C2938912",White matter hyperintensities,104,,,,,,
77,healthy,_,participant_demographics,Jerome_Dockes,2144768,,,18,9,23.67,9,19,35,
308,healthy,_,participant_demographics,Jerome_Dockes,2151069,,,12,6,25.4,6,20,40,
49,healthy,_,participant_demographics,Jerome_Dockes,2390848,,,15,8,,7,,,
42,healthy,_,participant_demographics,Jerome_Dockes,2525845,,,24,12,,12,,,
11,healthy,rh,participant_demographics,Jerome_Dockes,2561002,,,19,7,24.7,12,19,30,
12,healthy,lh,participant_demographics,Jerome_Dockes,2561002,,,15,5,26.1,10,21,35,
214,healthy,_,participant_demographics,Jerome_Dockes,2648877,,,18,13,32,5,,,
269,healthy,_,participant_demographics,Jerome_Dockes,2748718,,,30,14,,16,,,
56,healthy,_,participant_demographics,Jerome_Dockes,2775905,,,18,,26.7,,18,60,22.5
82,healthy,_,participant_demographics,Jerome_Dockes,2935390,,,10,3,39.8,7,18,50,
370,healthy,_,participant_demographics,Jerome_Dockes,2993660,,,48,24,26.4,24,,,
143,healthy,experiment 1,participant_demographics,Jerome_Dockes,2995581,,,12,,,,,,
144,healthy,experiment 2,participant_demographics,Jerome_Dockes,2995581,,,18,,,,,,
7,healthy,phobic prone,participant_demographics,Jerome_Dockes,3002948,,,15,9,39.2,6,,,
8,healthy,eating disorders prone,participant_demographics,Jerome_Dockes,3002948,,,15,10,34.4,5,,,
321,healthy,_,participant_demographics,Jerome_Dockes,3045463,,,19,12,,7,,,
170,healthy,_,participant_demographics,Jerome_Dockes,3078751,,,14,6,24.8,8,22,29,
361,healthy,_,participant_demographics,Jerome_Dockes,3132672,,,11,5,31,6,25,38,
55,healthy,_,participant_demographics,Jerome_Dockes,3147157,,,20,12,24.4,8,,,
333,healthy,_,participant_demographics,Jerome_Dockes,3183226,,,16,9,,7,18,35,
195,healthy,_,participant_demographics,Jerome_Dockes,3258233,,,12,,31,,18,55,
150,healthy,_,participant_demographics,Jerome_Dockes,3324921,,,14,,,,,,
158,healthy,_,participant_demographics,Jerome_Dockes,3334814,,,103,52,32.5,51,,,
206,healthy,_,participant_demographics,Jerome_Dockes,3362560,,,24,12,,12,,,
302,healthy,_,participant_demographics,Jerome_Dockes,3407245,,,10,5,,5,22,43,
249,healthy,_,participant_demographics,Jerome_Dockes,3409150,,,18,18,25.11,,21,33,
416,healthy,study 1,participant_demographics,Jerome_Dockes,3422286,,,12,6,26,6,23,39,
417,healthy,study 2,participant_demographics,Jerome_Dockes,3422286,,,14,7,23,7,24,30,
380,healthy,_,participant_demographics,Jerome_Dockes,3423412,,,14,,,,,,
68,healthy,_,participant_demographics,Jerome_Dockes,3447931,,,20,,,,,,
264,healthy,_,participant_demographics,Jerome_Dockes,3483694,,,22,5,,17,23,41,
323,healthy,_,participant_demographics,Jerome_Dockes,3492343,,,58,26,24.02,32,,,
32,healthy,Würzburg,participant_demographics,Jerome_Dockes,3502502,,,24,12,26,12,23,34,
33,healthy,Oxford,participant_demographics,Jerome_Dockes,3502502,,,46,21,30,25,19,63,
409,healthy,_,participant_demographics,Jerome_Dockes,3510214,,,20,,,,,,
196,healthy,smokers,participant_demographics,Jerome_Dockes,3511796,,,45,,,,,,
197,healthy,non-smokers,participant_demographics,Jerome_Dockes,3511796,,,44,,,,,,
203,healthy,study 1,participant_demographics,Jerome_Dockes,3520927,,,1220,,,,,,
204,healthy,study 2,participant_demographics,Jerome_Dockes,3520927,,,40,,,,,,
319,healthy,_,participant_demographics,Jerome_Dockes,3539852,,,31,,,,18,22,
45,healthy,proficient,participant_demographics,Jerome_Dockes,3554651,,,11,3,28.73,8,19,46,
46,healthy,less-proficient,participant_demographics,Jerome_Dockes,3554651,,,10,3,30,7,19,45,
281,healthy,_,participant_demographics,Jerome_Dockes,3605341,,,32,,,,,,
303,healthy,young,participant_demographics,Jerome_Dockes,3660406,,,19,5,22.6,14,18,27,
304,healthy,old,participant_demographics,Jerome_Dockes,3660406,,,15,5,61.1,10,51,71,
297,healthy,_,participant_demographics,Jerome_Dockes,3672681,,,32,,,,,,
419,healthy,_,participant_demographics,Jerome_Dockes,3676955,,,33,17,25.3,16,,,
395,healthy,_,participant_demographics,Jerome_Dockes,3701149,,,22,16,16,6,,,
266,healthy,_,participant_demographics,Jerome_Dockes,3742334,,,18,11,,7,,,
263,healthy,_,participant_demographics,Jerome_Dockes,3775427,,,102,,21.5,,20,23,
148,healthy,_,participant_demographics,Jerome_Dockes,3777673,,,19,,,,,,
336,healthy,_,participant_demographics,Jerome_Dockes,3780305,,,17,8,7.4,9,6.9,7.8,
22,healthy,_,participant_demographics,Jerome_Dockes,3788350,,,12,,,,,,
115,healthy,_,participant_demographics,Jerome_Dockes,3791281,,,12,7,,5,19,32,
185,healthy,_,participant_demographics,Jerome_Dockes,3842522,,,48,,,,8,36,
355,healthy,_,participant_demographics,Jerome_Dockes,3866656,,,16,16,23.8,,20,30,
301,healthy,_,participant_demographics,Jerome_Dockes,3869649,,,19,10,22.8,9,19,31,
247,healthy,experiment 1,participant_demographics,Jerome_Dockes,3869681,,,18,10,26.3,8,21,41,
248,healthy,experiment 2,participant_demographics,Jerome_Dockes,3869681,,,18,9,26.6,9,21,38,
234,healthy,_,participant_demographics,Jerome_Dockes,3877773,,,15,,,,,,
360,healthy,_,participant_demographics,Jerome_Dockes,3889700,,,15,,25.6,,22,30,
20,healthy,happy,participant_demographics,Jerome_Dockes,3893192,,,26,,,,,,
21,healthy,unhappy,participant_demographics,Jerome_Dockes,3893192,,,25,,,,,,
52,healthy,_,participant_demographics,Jerome_Dockes,3894920,,,6,5,,1,22,35,
415,healthy,_,participant_demographics,Jerome_Dockes,3913832,,,31,,,31,,,
173,healthy,study 1,participant_demographics,Jerome_Dockes,3965851,,,24,,24,24,20,30,
174,healthy,study 2,participant_demographics,Jerome_Dockes,3965851,,,18,,24,18,20,30,
74,healthy,_,participant_demographics,Jerome_Dockes,3984441,,,17,,,,,,
376,healthy,adolescents,participant_demographics,Jerome_Dockes,3991323,,,220,115,14.61,105,14,15,
377,healthy,adults,participant_demographics,Jerome_Dockes,3991323,,,28,17,25.24,11,20,39,
86,healthy,_,participant_demographics,Jerome_Dockes,4017227,,,19,,,,,,
19,healthy,_,participant_demographics,Jerome_Dockes,4029023,,,10,7,27.72,3,,,
268,healthy,_,participant_demographics,Jerome_Dockes,4029608,,,27,14,,13,,,
386,healthy,_,participant_demographics,Jerome_Dockes,4030253,,,23,,15.2,,,,
145,healthy,dcg,participant_demographics,Jerome_Dockes,4034409,,,13,5,23.1,8,,,
146,healthy,tcg,participant_demographics,Jerome_Dockes,4034409,,,13,4,23.5,9,,,
373,healthy,_,participant_demographics,Jerome_Dockes,4048172,,,13,4,48.7,9,38,62,
270,healthy,_,participant_demographics,Jerome_Dockes,4072722,,,16,10,30.1,6,18,40,
66,healthy,_,participant_demographics,Jerome_Dockes,4075342,,,12,7,38,5,23,60,
63,healthy,_,participant_demographics,Jerome_Dockes,4115625,,,272,123,24.4547794117647,149,18,68,
76,healthy,_,participant_demographics,Jerome_Dockes,4174863,,,46,,,46,,,
312,healthy,_,participant_demographics,Jerome_Dockes,4184784,,,34,22,,12,,,
199,healthy,_,participant_demographics,Jerome_Dockes,4190683,,,30,,,,10,17,
402,healthy,_,participant_demographics,Jerome_Dockes,4215530,,,22,,,,,,
232,healthy,_,participant_demographics,Jerome_Dockes,4255751,,,18,18,23.9,,18,33,
164,healthy,_,participant_demographics,Jerome_Dockes,4265725,,,18,,28.6,,,,
317,healthy,_,participant_demographics,Jerome_Dockes,4274095,,,20,,5.8,,5.2,6.8,
71,healthy,pet,participant_demographics,Jerome_Dockes,4280551,,,10,,,,,,
72,healthy,fmri,participant_demographics,Jerome_Dockes,4280551,,,15,,,,,,
23,healthy,_,participant_demographics,Jerome_Dockes,4318429,,,18,9,,9,20,32,
287,healthy,_,participant_demographics,Jerome_Dockes,4319399,,,284,144,25,140,,,
190,healthy,_,participant_demographics,Jerome_Dockes,4330553,,,23,18,22,5,,,
129,healthy,_,participant_demographics,Jerome_Dockes,4332461,,,32,17,,15,25,27,
315,healthy,Experiment 1,participant_demographics,Jerome_Dockes,4349631,,,22,17,,5,19,41,
316,healthy,Experiment 2,participant_demographics,Jerome_Dockes,4349631,,,16,11,,5,20,59,
90,healthy,dataset 1,participant_demographics,Jerome_Dockes,4352055,,,20,,,,,,
91,healthy,dataset 2,participant_demographics,Jerome_Dockes,4352055,,,19,,,,,,
424,healthy,_,participant_demographics,Jerome_Dockes,4370584,,,40,20,20,20,18,23,
298,healthy,_,participant_demographics,Jerome_Dockes,4380440,,,33,33,,,,,
352,healthy,_,participant_demographics,Jerome_Dockes,4416052,,,33,19,29.4,14,,,
194,healthy,_,participant_demographics,Jerome_Dockes,4436102,,,23,11,24.2,12,18,31,
254,healthy,experiment 1,participant_demographics,Jerome_Dockes,4458841,,,15,,,,,,
255,healthy,experiment 2,participant_demographics,Jerome_Dockes,4458841,,,14,,,,,,
65,healthy,_,participant_demographics,Jerome_Dockes,4473263,,,18,8,63,10,,,
205,healthy,_,participant_demographics,Jerome_Dockes,4477935,,,20,12,24,8,,,
347,healthy,_,participant_demographics,Jerome_Dockes,4493392,,,18,10,25,8,22,29,
18,healthy,_,participant_demographics,Jerome_Dockes,4530666,,,24,,,24,,,
412,healthy,_,participant_demographics,Jerome_Dockes,4589842,,,11,5,56,6,,,
293,healthy,_,participant_demographics,Jerome_Dockes,4717328,,,20,16,,4,20,36,
385,healthy,_,participant_demographics,Jerome_Dockes,4732188,,,21,14,50.6,7,,,
103,healthy,_,participant_demographics,Jerome_Dockes,4810172,,,20,9,21.95,11,18,35,
277,healthy,_,participant_demographics,Jerome_Dockes,4838249,,,15,15,22.33,,,,
58,healthy,_,participant_demographics,Jerome_Dockes,4869560,,,29,15,26.76,14,,,
392,healthy,_,participant_demographics,Jerome_Dockes,4936600,,,21,,,,,,
29,healthy,_,participant_demographics,Jerome_Dockes,4975394,,,18,,21.04,18,,,
124,healthy,_,participant_demographics,Jerome_Dockes,4983635,,,19,8,33,11,20,52,
284,healthy,_,participant_demographics,Jerome_Dockes,5068584,,,56,,24.3,56,,,
127,patients,psychiatric controls,participant_demographics,Jerome_Dockes,5104469,,,19,9,16.9,10,,,
128,healthy,_,participant_demographics,Jerome_Dockes,5104469,,,27,21,17.5,6,,,
51,healthy,_,participant_demographics,Jerome_Dockes,5218407,,,17,7,25,10,19,30,
94,healthy,_,participant_demographics,Jerome_Dockes,5266856,,,37,,,,,,
83,healthy,_,participant_demographics,Jerome_Dockes,5270359,,,15,15,26,,,,
228,healthy,_,participant_demographics,Jerome_Dockes,5279905,,,16,,,,,,
210,healthy,_,participant_demographics,Jerome_Dockes,5292583,,,35,,,,,,
38,healthy,_,participant_demographics,Jerome_Dockes,5324609,,,15,7,23.8,8,,,
201,healthy,_,participant_demographics,Jerome_Dockes,5339238,,,17,,,,,,
342,healthy,_,participant_demographics,Jerome_Dockes,5371603,,,15,6,25,9,20,37,
140,healthy,_,participant_demographics,Jerome_Dockes,5390693,,,233,116,16.1,117,9.9,26.6,
307,healthy,_,participant_demographics,Jerome_Dockes,5394595,,,60,,,,,,
257,healthy,_,participant_demographics,Jerome_Dockes,5413198,,,26,26,,,,,
237,healthy,primary study,participant_demographics,Jerome_Dockes,5416685,,,19,,,,18,65,
238,healthy,validation study,participant_demographics,Jerome_Dockes,5416685,,,19,,,,18,65,
208,healthy,_,participant_demographics,Jerome_Dockes,5428836,,,32,13,23.97,19,,,
