count,diagnosis,group_name,subgroup_name,male count,female count,age mean,age range,age minimum,age maximum,age median,rank,start_char,end_char,pmcid
24.0,,healthy,female,0.0,24.0,24.0,20-30 years,20.0,30.0,,,13949,14774,3965851
18.0,,healthy,female,0.0,18.0,24.0,20-30 years,20.0,30.0,,,13949,14774,3965851
15.0,,healthy,control,,,,,,,,1.0,9003,9732,5665859
40.0,,healthy,older adult,24.0,16.0,68.4,5.8 years,,,,,6784,7467,5717028
164.0,,healthy,female,,,,,,,,,7405,8391,4174863
46.0,,healthy,female,,,,,,,,,7405,8391,4174863
12.0,,healthy,,6.0,6.0,25.4,20-40,20.0,40.0,,,9653,9985,2151069
58.0,free from self-reported life-time psychiatric or neurological disease and medication,participants,right-handed,26.0,32.0,24.02,,,,,,6544,7179,3492343
64.0,ED,patients,male,64.0,0.0,26.85,26-28,26.0,28.0,26.0,,7554,8226,6290711
41.0,normal,control,male,41.0,0.0,28.53,26-28,26.0,28.0,28.0,,7554,8226,6290711
10.0,,healthy,,5.0,5.0,29.5,23-43,23.0,43.0,29.5,,19626,20086,3407245
38.0,,healthy,childless adults,19.0,10.0,24.08,3.33,19.0,29.0,24.0,,8721,9601,7395771
18.0,lung cancer patients,patients,,,,,,,,,1.0,8873,10459,7275001
21.0,,healthy,,,,,,,,,1.0,8873,10459,7275001
5.0,,healthy,,3.0,2.0,35.0,25-45,25.0,45.0,35.0,4.0,15436,16366,8315277
13.0,mild WMHs,patients,,7.0,6.0,50.0,40-60,40.0,60.0,50.0,4.0,15436,16366,8315277
7.0,moderate WMHs,patients,,4.0,3.0,60.0,50-70,50.0,70.0,60.0,4.0,15436,16366,8315277
7.0,severe WMHs,patients,,3.0,4.0,70.0,60-80,60.0,80.0,70.0,4.0,15436,16366,8315277
35.0,healthy,control,adults,14.0,14.0,68.0,55-81,55.0,81.0,68.0,4.0,8484,9157,7838677
21.0,BDD,patients,,,,,,,,,3.0,7356,8854,6246657
40.0,MDD,patients,,,,,,,,,3.0,7356,8854,6246657
70.0,,healthy,,,,,,,,,3.0,7356,8854,6246657
13.0,experienced HA users,patients,eHA,,,4.5,,,,,1.0,8885,10332,6509414
14.0,inexperienced HA users,patients,iHA,,,,,,,,1.0,8885,10332,6509414
15.0,phobic prone,patients,PP,9.0,6.0,39.2,,,,,2.0,8340,11061,3002948
15.0,eating disorders prone,patients,EDP,10.0,5.0,34.4,,,,,2.0,8340,11061,3002948
26.0,ASD,patients,youth,,,,,,,,2.0,9359,10673,7194032
28.0,,healthy,youth,,,,,,,,2.0,9359,10673,7194032
42.0,ValVal,patients,,,,,,,,,2.0,15408,16234,6908505
26.0,ValMet/MetMet,patients,,,,,,,,,2.0,15408,16234,6908505
53.0,T2DM,patients,,,,,,,,,1.0,7067,8577,7829678
39.0,,healthy,HC,,,,,,,,1.0,7067,8577,7829678
28.0,schizophrenia,patients,,,,,2154 years,,,,2.0,7514,8725,8883821
20.0,autism spectrum disorder,patients,,,,,1943 years,,,,2.0,7514,8725,8883821
30.0,,healthy,,,,,1954 years,,,,2.0,7514,8725,8883821
41.0,,healthy,,22.0,19.0,,,,,,,27598,28231,2748718
23.0,,healthy,,15.0,8.0,31.16,19-44,19.0,44.0,,1.0,7552,8729,5761874
25.0,temporal lobe epilepsy,patients,,13.0,12.0,33.67,20-45,20.0,45.0,,1.0,7552,8729,5761874
103.0,,healthy,,,,32.5,,,,,,8117,9077,3334814
13.0,,healthy,,,,28.4,19-45,19.0,45.0,,,7494,8254,7430162
61.0,,healthy,,,,,,,,,,7556,8342,5460049
58.0,,healthy,,,,,,,,,,7556,8342,5460049
2.0,,healthy,,,,,,,,,,7556,8342,5460049
56.0,,healthy,,,,,,,,,,7556,8342,5460049
31.0,drug-nave/free first episode psychosis (FEP),patients,,26.0,5.0,26.64,,,,,,5892,6567,8550949
35.0,,healthy,,26.0,9.0,27.12,,,,,,5892,6567,8550949
21.0,problematic tinnitus,participants,,10.0,11.0,,,,,,2.0,8911,9782,6667657
12.0,,healthy,imaged,,,,,,,,2.0,8911,9782,6667657
10.0,,healthy,post-MBCT,,,,,,,,2.0,8911,9782,6667657
8.0,,healthy,follow-up,,,,,,,,2.0,8911,9782,6667657
50.0,schizophrenia,patients,group A,25.0,25.0,35.0,20-50,20.0,50.0,30.0,,4639,5705,3511796
50.0,,healthy,group B,30.0,20.0,40.0,25-60,25.0,60.0,45.0,,4639,5705,3511796
272.0,,healthy,,123.0,149.0,24.5,18-68 years,18.0,68.0,,,8650,9157,4115625
19.0,,healthy,,10.0,9.0,22.8,19-31 years,19.0,31.0,,,5579,6473,3869649
18.0,,healthy,,8.0,10.0,22.5,,,,,,14874,15604,6344389
36.0,,healthy,,,,,,,,,,11972,13279,7779563
20.0,,healthy,adults,,,,,,,,,11972,13279,7779563
46.0,"drug-naive, first-episode schizophrenia",patients,,,,,18-37,18.0,37.0,,,10028,10512,6197719
46.0,unaffected siblings,siblings,,,,,18-37,18.0,37.0,,,10028,10512,6197719
46.0,,healthy,,,,,18-37,18.0,37.0,,,10028,10512,6197719
21.0,,healthy,,,,,,,,,,39775,40574,3554651
20.0,,healthy,,9.0,11.0,26.0,21 to 31,21.0,31.0,26.0,,7368,8665,8837589
43.0,MDD,patients,,13.0,30.0,,,,,,,8471,9313,7118554
56.0,,healthy,controls,30.0,26.0,,,,,,,8471,9313,7118554
10.0,healthy,subjects,,7.0,3.0,27.72,5.99 years,,,,,7975,8487,4029023
20.0,,healthy,,1.0,19.0,21.4,18-31 years,18.0,31.0,,,16539,17872,6136263
54.0,,healthy,female,0.0,54.0,19.62,,,,,,7870,9125,5548834
90.0,controls,CON,,50.0,40.0,35.0,20-50,20.0,50.0,30.0,1.0,9812,10336,7416060
54.0,users,CAN,,30.0,24.0,28.0,22-40,22.0,40.0,25.0,1.0,9812,10336,7416060
24.0,,healthy,,,,57.0,11 years,,,,1.0,9842,10239,5903407
20.0,unipolar major depression,patients,primary study,,,,,,,,1.0,15035,15652,5416685
19.0,unipolar major depression,patients,validation study,,,,,,,,1.0,15035,15652,5416685
19.0,,healthy,primary sample,,,,,,,,1.0,15035,15652,5416685
20.0,,healthy,validation sample,,,,,,,,1.0,15035,15652,5416685
32.0,chronic left-hemisphere stroke,patients,,27.0,5.0,62.0,10 years,61.0,70.0,62.0,1.0,8448,9986,4473263
18.0,healthy,volunteers,,8.0,10.0,63.0,9 years,60.0,69.0,63.0,1.0,8448,9986,4473263
22.0,,healthy,,13.0,9.0,26.7,18-60,18.0,60.0,22.5,1.0,7694,8857,2775905
62.0,panic disorder and agoraphobia,patients,,,,,,,,,1.0,8576,10681,6854061
39.0,healthy,controls,,,,,,,,,1.0,8576,10681,6854061
113.0,panic disorder and agoraphobia,patients,,,,,,,,,1.0,8576,10681,6854061
99.0,healthy,controls,,,,,,,,,1.0,8576,10681,6854061
120.0,ADHD,patients,children and adolescents,80.0,40.0,15.0,10-18,10.0,18.0,14.0,1.0,7990,9657,8782893
47.0,ADHD,patients,multigenerational ADHD families,25.0,22.0,30.0,25-40,25.0,40.0,32.0,1.0,7990,9657,8782893
18.0,ASC,patients,high-functioning adults,18.0,0.0,30.4,10,30.4,30.4,30.4,5.0,10667,12293,4265725
18.0,TD,controls,age- and IQ-matched,0.0,18.0,28.6,11.7,28.6,28.6,28.6,5.0,10667,12293,4265725
34.0,schizophrenia,patients,unmedicated,,,,,,,,,6605,7241,5292583
35.0,,healthy,controls,,,,,,,,,6605,7241,5292583
134.0,,healthy,,72.0,62.0,5.34,5.08-5.22,5.08,5.22,,,11416,12412,9108497
24.0,healthy,participants,right-handed,12.0,12.0,,,,,,,7543,8687,3362560
26.0,,healthy,Caucasian children and adolescents,17.0,9.0,11.42,8-16,8.0,16.0,,,7881,8993,7005761
1.0,,healthy,,,,,,,,,,9247,9966,3409150
25.0,postpartum,patients,females,0.0,25.0,,,,,,,23777,25115,7272423
32.0,,healthy,females,0.0,32.0,,,,,,,23777,25115,7272423
19.0,obese,patients,women,0.0,19.0,,,,,,1.0,8542,10259,5537800
284.0,,healthy,,144.0,140.0,25.0,6 years,,,,,9266,10061,4319399
32.0,,healthy,,,,230.41,,,,,,8670,9669,8018944
22.0,,healthy,male,22.0,0.0,25.77,20-40,20.0,40.0,25.77,,7315,8159,5776089
19.0,,healthy,,5.0,14.0,22.62,18-27,18.0,27.0,,,13007,14384,3660406
15.0,,healthy,,5.0,10.0,61.15,51-71,51.0,71.0,,,13007,14384,3660406
233.0,,healthy,,116.0,117.0,16.1,9.9 - 26.6,9.9,26.6,,,6914,8337,5390693
17.0,DLB,patients,,13.0,4.0,71.88,60-82,60.0,82.0,,2.0,6982,8220,6902076
20.0,,healthy,subjects,9.0,11.0,67.8,56-77,56.0,77.0,,2.0,6982,8220,6902076
25.0,,healthy,,,,,23-41,23.0,41.0,,,28125,29257,3483694
13.0,"unilateral, upper limb amputation with phantom limb pain",patients,,11.0,2.0,52.92,3275 years,32.0,75.0,,,8118,8908,2494616
216.0,,healthy,,,,,,,,,,5902,6887,8828908
40.0,,healthy,,8.0,32.0,44.0,25-63,25.0,63.0,38.0,,6684,7668,8172304
32.0,chronic urticaria,patients,,6.0,26.0,45.0,25-65,25.0,65.0,42.0,,6684,7668,8172304
42.0,bronchial asthma,patients,,7.0,10.0,50.76,,,,,,5950,6820,5394595
60.0,,healthy,,,,,,,,,,5950,6820,5394595
12.0,,healthy,volunteers,7.0,5.0,38.0,23-60,23.0,60.0,,,7693,9064,4075342
44.0,chronic osteoarthritis,patients,acupuncture nave,25.0,19.0,,43-70,43.0,70.0,,1.0,19248,20025,4175730
130.0,,healthy,controls,49.0,81.0,,,,,,2.0,8597,9372,5598991
20.0,,healthy,,7.0,13.0,25.53,,,,,,39930,40678,2561002
10.0,,healthy,,4.0,6.0,25.82,,,,,,39930,40678,2561002
10.0,,healthy,,3.0,7.0,25.23,,,,,,39930,40678,2561002
15.0,PTSD,patients,,,,,,,,,,15886,17266,8785646
15.0,,healthy,,,,,,,,,,15886,17266,8785646
21.0,PTSD,patients,,,,,,,,,,14405,15358,6024199
21.0,trauma-exposed control,patients,,,,,,,,,,14405,15358,6024199
20.0,fibromyalgia,FM,,,,46.4,22-70,22.0,70.0,,,5393,6130,6820536
20.0,,healthy,,,,42.1,21-70,21.0,70.0,,,5393,6130,6820536
15.0,Autism Spectrum Disorder,patients,,12.0,3.0,38.0,,,,,,10557,12297,2648877
18.0,,healthy,,13.0,5.0,32.0,,,,,,10557,12297,2648877
18.0,naive,subjects,naive,,,,,,,,,24448,24931,2995581
23.0,,healthy,,,,,,,,,,5976,6901,8752963
89.0,,healthy,,45.0,44.0,,22-35,22.0,35.0,,,5976,6901,8752963
28.0,ASD,patients,,20.0,8.0,14.58,14.58-16.62,14.58,16.62,,1.0,13443,14504,8213933
27.0,TD,controls,matched,18.0,9.0,14.49,14.49-15.51,14.49,15.51,,1.0,13443,14504,8213933
12.0,,healthy,,5.0,7.0,25.8,3.7 years,,,,1.0,8416,8816,7649291
17.0,PD,patients,,2.0,15.0,,,,,,,30658,32635,6382839
17.0,,healthy,,4.0,13.0,,,,,,,30658,32635,6382839
50.0,ASD,patients,group 1,30.0,20.0,10.0,5-15,5.0,15.0,9.0,,9508,10262,5870086
30.0,,healthy,group 2,15.0,15.0,12.0,8-16,8.0,16.0,11.0,,9508,10262,5870086
21.0,healthy,participants,right-handed,8.0,13.0,24.9,19-30,19.0,30.0,,,9618,10592,5218407
20.0,healthy,participants,right-handed,8.0,12.0,25.1,19-30,19.0,30.0,,,9618,10592,5218407
17.0,healthy,participants,right-handed,7.0,10.0,25.0,19-30,19.0,30.0,,,9618,10592,5218407
8.0,right-sided cerebral palsy,patients,,3.0,5.0,15.0,10-30,10.0,30.0,15.0,1.0,7912,8910,6878729
160.0,,healthy,,115.0,45.0,37.04,19-59,19.0,59.0,,,10111,11876,7721229
151.0,SZ,patients,,115.0,36.0,38.77,18-62,18.0,62.0,,,10111,11876,7721229
23.0,non-convicted CSOs,patients,non-convicted CSOs,,,,,,,,,16665,17091,6678781
38.0,CSOs convicted participants,patients,CSOs convicted participants,,,,,,,,,16665,17091,6678781
34.0,ADP,patients,abstinent,34.0,0.0,,,,,,1.0,10787,12077,5413198
26.0,,healthy,,26.0,0.0,,,,,,1.0,10787,12077,5413198
17.0,,healthy,,,,7.4,,,,,,14497,15232,3780305
20.0,Tourette syndrome,patients,,,,,,,,,1.0,6225,7773,3877773
17.0,,healthy,children,,,,,,,,1.0,6225,7773,3877773
19.0,,healthy,,13.0,6.0,40.0,18-40,18.0,40.0,35.0,,37350,38168,6787094
70.0,,healthy,adults,41.0,29.0,,2150 years,,,,,31013,33118,7260173
54.0,,healthy,adults,28.0,26.0,33.5,2150 years,,,,,31013,33118,7260173
16.0,,healthy,adults,7.0,9.0,34.5,2150 years,,,,,31013,33118,7260173
20.0,,healthy,,,,5.8,5.2 to 6.8 years,5.2,6.8,,3.0,12304,13554,4274095
12.0,young adults,patients,,8.0,4.0,25.2,2.4 years,,,,2.0,8970,10748,6585311
10.0,individuals with chronic post-stroke hemiparesis,patients,,6.0,4.0,66.7,7.94 years,,,,2.0,8970,10748,6585311
9.0,,healthy,,4.0,5.0,64.2,7.73 years,,,,2.0,8970,10748,6585311
28.0,IA,patients,,,,,,,,,,12941,14340,4030253
27.0,,healthy,,,,,,,,,,12941,14340,4030253
11.0,depressed patients,patients,,5.0,6.0,61.0,18-80,18.0,80.0,62.0,,6109,7566,4589842
11.0,,healthy,,5.0,6.0,56.0,20-70,20.0,70.0,58.0,,6109,7566,4589842
38.0,APOE-4 carriers,patients,carriers,16.0,22.0,,,,,,1.0,45481,47322,9205431
38.0,noncarriers,patients,noncarriers,,,,,,,,1.0,45481,47322,9205431
30.0,,healthy,control boys,30.0,0.0,,,,,,,10172,10833,4190683
30.0,ADHD,boys with ADHD,,30.0,0.0,,,,,,,10172,10833,4190683
24.0,,healthy,,,,,,,,,,6711,7624,3502502
12.0,,patients,,,,,,,,,,6711,7624,3502502
1220.0,,healthy,APOE genotype screening study,,,,,,,,,5472,6433,3520927
19.0,,healthy,,,,,,,,,,35887,36137,4352055
26.0,AIS,patients,,,,,,,,,,21631,22584,8785614
26.0,PVI,patients,,,,,,,,,,21631,22584,8785614
31.0,,healthy,,,,,,,,,,21631,22584,8785614
66.0,TLE patients with unilateral hippocampal sclerosis (HS),patients,left,,,,,,,,4.0,8398,9761,8933317
31.0,,healthy,,,,,,,,,4.0,8398,9761,8933317
17.0,,healthy,controls,,,,,,,,1.0,8289,8833,7875881
16.0,ASD,patients,,16.0,0.0,13.0,8-18,8.0,18.0,13.0,,7481,8333,5279905
16.0,,healthy,,16.0,0.0,,,,,,,7481,8333,5279905
24.0,MSA c-type,patients,,,,,,,,,,27477,28253,7485713
20.0,,healthy,,,,,,,,,,27477,28253,7485713
20.0,offenders,VA,affective violence,6.0,14.0,,,,,,1.0,4740,5988,9230060
20.0,offenders,VP,predatory violence,7.0,13.0,,,,,,1.0,4740,5988,9230060
20.0,offenders,NV,non-violent crime,7.0,13.0,,,,,,1.0,4740,5988,9230060
20.0,healthy controls,HC,,20.0,0.0,,,,,,1.0,4740,5988,9230060
19.0,,healthy,native Spanish subjects,10.0,9.0,,,,,,,7919,8617,4017227
100.0,FES,patients,drugnave,,,,,,,,2.0,9368,11338,9435010
50.0,,healthy,controls,,,,,,,,2.0,9368,11338,9435010
1.0,unknown,patients,Group 1,1.0,0.0,35.0,25-45,25.0,45.0,35.0,4.0,4886,6914,8978988
1.0,unknown,patients,Group 2,0.0,1.0,40.0,35-45,35.0,45.0,40.0,4.0,4886,6914,8978988
163.0,,healthy,,117.0,46.0,36.9,,,,,,12834,13991,9057100
151.0,SZ,patients,,114.0,37.0,37.8,,,,,,12834,13991,9057100
29.0,,healthy,,,,,,,,,,9392,10386,7563756
25.0,,healthy,,14.0,10.0,33.2,13.5,,,,,9443,11303,6412974
18.0,JME patients,patients,,3.0,15.0,30.1,17.73,20.0,48.0,,,9443,11303,6412974
18.0,nAMD,patients,,9.0,9.0,55.0,55-,55.0,,,1.0,16185,17008,8544331
163.0,,healthy,,117.0,46.0,36.9,,,,,1.0,12727,13454,6611425
151.0,SZ,patients,,114.0,37.0,37.8,,,,,1.0,12727,13454,6611425
21.0,Parkinson's disease,patients,,13.0,8.0,60.8,44-73 years,44.0,73.0,,,5559,6387,3182403
102.0,,healthy,,36.0,66.0,21.5,20 to 23 years,20.0,23.0,,,8042,9220,3775427
75.0,chronic dieters,patients,females,0.0,75.0,19.38,18-23,18.0,23.0,,,11796,12826,5460048
20.0,MdDS,patients,,5.0,15.0,43.4,2.50,27.0,66.0,43.5,1.0,12585,13447,3510214
20.0,,healthy,,,,43.0,2.91,23.0,59.0,,1.0,12585,13447,3510214
21.0,PTSD,patients,,,,,,,,,1.0,7940,9149,5030332
3.0,LMTLE,patients,,,,,,,,,2.0,14113,14609,8933759
173.0,TSC,patients,unrelated,,,,,,,,,5236,6431,9308181
50.0,healthy,patients,group1,25.0,25.0,30.0,20-40,20.0,40.0,30.0,5.0,23641,25475,6492297
30.0,,healthy,group2,15.0,15.0,35.0,25-45,25.0,45.0,35.0,5.0,23641,25475,6492297
24.0,,healthy,,9.0,15.0,,,,,,1.0,11211,12182,6016936
4.0,,healthy,,,,,,,,,1.0,11211,12182,6016936
539.0,ASD patients,patients,ASD patients,,,,,,,,,29835,30496,9407088
573.0,,healthy,normal controls,,,,,,,,,29835,30496,9407088
6.0,PCH,patients,,,,,,,,,,8702,9912,9461104
