pmcid,abstract
9205431," 
Neural activity coordinated across different scales from neuronal circuits to large-scale brain networks gives rise to complex cognitive functions. Bridging the gap between micro- and macroscale processes, we present a novel framework based on the maximum entropy model to infer a hybrid resting-state structural connectome, representing functional interactions constrained by structural connectivity. We demonstrate that the structurally informed network outperforms the unconstrained model in simulating brain dynamics, wherein by constraining the inference model with the network structure we may improve the estimation of pairwise BOLD signal interactions. Further, we simulate brain network dynamics using Monte Carlo simulations with the new hybrid connectome to probe connectome-level differences in excitation-inhibition balance between apolipoprotein E (APOE)-ε4 carriers and noncarriers. Our results reveal sex differences among APOE-ε4 carriers in functional dynamics at criticality; specifically, female carriers appear to exhibit a lower tolerance to network disruptions resulting from increased excitatory interactions. In sum, the new multimodal network explored here enables analysis of brain dynamics through the integration of structure and function, providing insight into the complex interactions underlying neural activity such as the balance of excitation and inhibition. 
 "
9461104," 
Pontocerebellar hypoplasia (PCH) constitutes a heterogeneous neurodegenerative/neurodevelopmental disorder of the pons and cerebellum with onset in the prenatal period. Our study aimed to present different clinical and radiological manifestations of our genetically diagnosed PCH patients. 

 Method:   Six patients were enrolled in this study from September 2018 to March 2021. All the clinical radiological and genetic investigations were done at Cukurova University Medical School. 

 Results:   Five children were diagnosed genetically and categorized under one of the types of PCH (type 10,7,11). Homozygous mutations in   CLP1   In PCH type 10,   TOE1   in PCH type 7, and   TBC1D2  3 in PCH type 11 were respectively detected. Pateint with PCH type 11 and female patient with PCH type 7 could walk and speak few words. Male patient with PCH type 7 had disorder of sex development. 

 Conclusion:   According to our study, PCH is a rare neurodegenerative disease, although some types are static as PCH11 male gender and PCH7 female gender. Some clinical features are specific to a definite type. PCH7 express disorders of sex development most apparent in 46 XY. Some ethnic groups could express distinct subtypes. PCH10 is seen in the Turkish population. Radiological imaging is beneficial in pre-diagnosis; all the patients had different pons and cerebellar hypoplasia degrees. Genetic testing like whole exome sequencing -next-generation sequencing is essential in setting the definite diagnosis and determining the type/subtype of PCH. 
 "
9564100,"  Significance  
Enhanced memory for emotional stimuli is crucial for survival, but it may also contribute to the development and maintenance of fear-related disorders in case of highly aversive experiences. This large-scale functional brain imaging study identifies the cerebellum and cerebellar–cerebral connections involved in the phenomenon of superior memory for emotionally arousing visual information. These findings expand knowledge on the role of the cerebellum in complex cognitive and emotional processes and may be relevant for the understanding of psychiatric disorders with aberrant emotional circuitry, such as posttraumatic stress disorder or autism spectrum disorder. 
  
Emotional information is better remembered than neutral information. Extensive evidence indicates that the amygdala and its interactions with other cerebral regions play an important role in the memory-enhancing effect of emotional arousal. While the cerebellum has been found to be involved in fear conditioning, its role in emotional enhancement of episodic memory is less clear. To address this issue, we used a whole-brain functional MRI approach in 1,418 healthy participants. First, we identified clusters significantly activated during enhanced memory encoding of negative and positive emotional pictures. In addition to the well-known emotional memory–related cerebral regions, we identified a cluster in the cerebellum. We then used dynamic causal modeling and identified several cerebellar connections with increased connection strength corresponding to enhanced emotional memory, including one to a cluster covering the amygdala and hippocampus, and bidirectional connections with a cluster covering the anterior cingulate cortex. The present findings indicate that the cerebellum is an integral part of a network involved in emotional enhancement of episodic memory. 
 "
9548384," 
## Background 
  
The use of facemasks is one of the consequences of the coronavirus disease 2019 (COVID-19) pandemic. We used resting-state functional magnetic resonance imaging (fMRI) to search for subtle changes in brain functional connectivity, expected notably related to the high-level salience network (SN) and default mode network (DMN). 


## Methods 
  
Prospective crossover design resting 3-T fMRI study with/without wearing a tight FFP2/KN95 facemask, including 23 community-dwelling male healthy controls aged 29.9 ± 6.9 years (mean ± standard deviation). Physiological parameters, respiration frequency, and heart rate were monitored. The data analysis was performed using the CONN toolbox. 


## Results 
  
Wearing an FFP2/KN95 facemask did not impact respiration or heart rate but resulted in a significant reduction in functional connectivity between the SN as the seed region and the left middle frontal and precentral gyrus. No difference was found when the DMN, sensorimotor, visual, dorsal attention, or language networks were used as seed regions. In the absence of significant changes of physiological parameter respiration and heart rate, and in the absence of changes in lower-level functional networks, we assume that those subtle modifications are cognitive consequence of wearing facemasks. 


## Conclusions 
  
The effect of wearing a tight FFP2/KN95 facemask in men is limited to high-level functional networks. Using the SN as seed network, we observed subtle yet significant decreases between the SN and the left middle frontal and precentral gyrus. Our observations suggest that wearing a facemask may change the patterns of functional connectivity with the SN known to be involved in communication, social behavior, and self-awareness. 

 "
9308181," 
## Purpose 
  
To explore the relationship between the genotype and renal phenotype in a Chinese cohort and guide clinical decision-making for treating tuberous sclerosis complex (TSC). 


## Materials and methods 
  
We reviewed 173 patients with definite TSC at three centers in China from September 2014 to September 2020. All the patients underwent   TSC1   and   TSC2   genetic testing as well as renal phenotypic evaluation. All analyses were performed using the SPSS software, version 19.0, with a cut-off   P   value of 0.05 considered statistically significant. 


## Results 
  
We identified variants in 93% (161/173) cases, including 16%   TSC1   and 77%   TSC2   variants. Analysis of the relationship between the genotype and renal phenotype, revealed that those with   TSC2   variants were more likely to develop severe renal AML (> 4) (  P   = 0.044). In terms of treatment,   TSC2   variants were more likely to undergo nephrectomy/partial nephrectomy (  P   = 0.036) and receive mTOR medication such as everolimus (  P   < 0.001). However, there was no significant difference between the two groups in terms of their response to the everolimus treatment. 


## Conclusion 
  
Patients with   TSC2   variants exhibit more severe renal phenotypes, especially those associated with renal angiomyolipomas (AML), and they often require nephrectomy/partial nephrectomy or mTOR medication. Detection of the genotype is helpful in TSC management. 


## Supplementary Information 
  
The online version contains supplementary material available at 10.1186/s13023-022-02443-1. 

 "
8939409," 
## Background and aims 
  
The working memory (WM) ability of internet addicts and the topology underlying the WM processing in internet addiction (IA) are poorly understood. In this study, we employed a graph theoretical framework to characterize the topological properties of the IA brain network in the source cortical space during WM task. 


## Methods 
  
A sample of 24 subjects with IA and 23 matched healthy controls (HCs) performed visual 2-back task. Exact Low Resolution Electromagnetic Tomography was adopted to project the pre-processed EEG signals into source space. Subsequently, Lagged phase synchronization was calculated between all pairs of Brodmann areas, the graph theoretical approaches were then employed to estimate the brain topological properties of all participants during the WM task. 


## Results 
  
We found better WM behavioral performance in IA subjects compared with the HCs. Moreover, compared to the HC group, more integrated and hierarchical brain network was revealed in the IA subjects in alpha band. And altered regional centrality was mainly resided in frontal and limbic lobes. In addition, significant relationships between the IA severity and the significant altered graph indices were found. 


## Conclusions 
  
In conclusion, these findings provide evidence to support the notion that altered topological configuration may underline changed WM function observed in IA. 

 "
7563756," 
Imaging studies help us understand the important role of brainstem and midbrain regions in human trigeminal pain processing without solving the question of how these regions actually interact. In the current study, we describe this connectivity and its dynamics during nociception with a novel analytical approach called Partial Similarity (PS). We developed PS specifically to estimate the communication between individual hubs of the network in contrast to the overall communication within that network. Partial Similarity works on trial-to-trial variance of neuronal activity acquired with functional magnetic resonance imaging. It discovers direct communication between two hubs considering the remainder of the network as confounds. A similar method to PS is Representational Similarity, which works with ordinary correlations and does not consider any external influence on the communication between two hubs. Particularly the combination of Representational Similarity and Partial Similarity analysis unravels brainstem dynamics involved in trigeminal pain using the spinal trigeminal nucleus (STN)—the first relay station of peripheral trigeminal input—as a seed region. The combination of both methods can be valuable tools in discovering the network dynamics in fMRI and an important instrument for future insight into the nature of various neurological diseases like primary headaches. 
 "
5030332," 
## Objective 
  
Electroencephalogram (EEG) neurofeedback aimed at reducing the amplitude of the alpha-rhythm has been shown to alter neural networks associated with posttraumatic stress disorder (PTSD), leading to symptom alleviation. Critically, the amygdala is thought to be one of the central brain regions mediating PTSD symptoms. In the current study, we compare directly patterns of amygdala complex connectivity using fMRI, before and after EEG neurofeedback, in order to observe subcortical mechanisms associated with behavioural and alpha oscillatory changes among patients. 


## Method 
  
We examined basolateral (BLA), centromedial (CMA), and superficial (SFA) amygdala complex resting-state functional connectivity using a seed-based approach via SPM Anatomy Toolbox. Amygdala complex connectivity was measured in twenty-one individuals with PTSD, before and after a 30-minute session of EEG neurofeedback targeting alpha desynchronization. 


## Results 
  
EEG neurofeedback was associated with a shift in amygdala complex connectivity from areas implicated in defensive, emotional, and fear processing/memory retrieval (left BLA and left SFA to the periaqueductal gray, and left SFA to the left hippocampus) to prefrontal areas implicated in emotion regulation/modulation (right CMA to the medial prefrontal cortex). This shift in amygdala complex connectivity was associated with reduced arousal, greater resting alpha synchronization, and was negatively correlated to PTSD symptom severity. 


## Conclusion 
  
These findings have significant implications for developing targeted non-invasive treatment interventions for PTSD patients that utilize alpha oscillatory neurofeedback, showing evidence of neuronal reconfiguration between areas highly implicated in the disorder, in addition to acute symptom alleviation. 

   Highlights  
  
Alpha desynchronizing neurofeedback was associated with a shift in amygdala complex connectivity. 
  
Connectivity shifted from areas implicated in defensive fear processing/memory retrieval, to prefrontal emotion regulation areas. 
  
Shift in amygdala complex connectivity was associated with reduced arousal and PTSD symptom severity, and greater resting alpha synchronization after neurofeedback. 
  
These findings have significant implications for developing targeted non-invasive treatment interventions for PTSD patients. 
  
 "
6678781," 
High prevalence of child sexual offending stand in contradiction to low conviction rates (one-tenth at most) of child sexual offenders (CSOs). Little is known about possible differences between convicted and non-convicted pedophilic CSOs and why only some become known to the judicial system. This investigation takes a closer look at the two sides of “child sexual offending” by focusing on clinical and neurobiological characteristics of convicted and non-convicted pedophilic CSOs as presented in the Neural Mechanisms Underlying Pedophilia and sexual offending against children (NeMUP)*-study. Seventy-nine male pedophilic CSOs were examined, 48 of them convicted. All participants received a thorough clinical examination including the structured clinical interview (SCID), intelligence, empathy, impulsivity, and criminal history. Sixty-one participants (38 convicted) underwent an inhibition performance task (Go/No-go paradigm) combined with functional magnetic resonance imaging (fMRI). Convicted and non-convicted pedophilic CSOs revealed similar clinical characteristics, inhibition performances, and neuronal activation. However, convicted subjects’ age preference was lower (i.e., higher interest in prepubescent children) and they had committed a significantly higher number of sexual offenses against children compared to non-convicted subjects. In conclusion, sexual age preference may represent one of the major driving forces for elevated rates of sexual offenses against children in this sample, and careful clinical assessment thereof should be incorporated in every preventive approach. 
 "
5902547," 
Extralegal factors may influence judicial outcomes. Here we investigated the experience of incidental haptic sensations on the harshness of punishment recommendations. Based on recent theories of embodiment, which claim that cognitive representations are structured by metaphorical mappings from sensory experience, we hypothesized that tactile priming with hard objects would cause subjects to recommend harsher sentences (to be ‘hard on crime’). Furthermore, the theory of embodiment predicts that this effect should be based on sensorimotor brain activation during the judging process. In order to test this we presented participants with scenarios that described various crimes while scanning their brain activity with fMRI. Participants were then asked to rate how severely they would sentence the delinquents. Before the scenarios, the participants were primed by touching either a hard or a soft object. Results revealed tha t hard priming led participants to recommend harder punishments. These results were accompanied by activation of somatosensory brain areas during the judging phase. This outcome is in line with simulation assumptions of the embodiment theory and proposes a central role of the sensorimotor cortices for embodied metaphors. Thus, incidental tactile experiences can influence our abstract cognitions and even how hard we are on criminals. 
 "
6820536," 
Listening to self-chosen, pleasant and relaxing music reduces pain in fibromyalgia (FM), a chronic centralized pain condition. However, the neural correlates of this effect are fairly unknown. In our study, we wished to investigate the neural correlates of music-induced analgesia (MIA) in FM patients. To do this, we studied 20 FM patients and 20 matched healthy controls (HC) acquiring rs-fMRI with a 3T MRI scanner, and pain data before and after two 5-min auditory conditions: music and noise. We performed resting state functional connectivity (rs-FC) seed-based correlation analyses (SCA) using pain and analgesia-related ROIs to determine the effects before and after the music intervention in FM and HC, and its correlation with pain reports. We found significant differences in baseline rs-FC between FM and HC. Both groups showed changes in rs-FC after the music condition. FM patients reported MIA that was significantly correlated with rs-FC decrease between the angular gyrus, posterior cingulate cortex and precuneus, and rs-FC increase between amygdala and middle frontal gyrus. These areas are related to autobiographical and limbic processes, and auditory attention, suggesting MIA may arise as a consequence of top-down modulation, probably originated by distraction, relaxation, positive emotion, or a combination of these mechanisms. 
 "
8154462," 
Sexual dysfunction is a common problem after cerebral infarction; however, little is known about sexual arousal in poststroke patients. Thus, this study aimed to investigate brain activation in response to visual sexual stimuli in patients with right middle cerebral artery (MCA) territory infarction using functional magnetic resonance imaging (fMRI). Using fMRI in 20 participants (11 right MCA infarction patients and 9 age-matched healthy controls), we assessed brain activation elicited by visual sexual stimuli (erotic images) and visual nonsexual stimuli (landscape images). In right MCA infarction patients, the left dorsolateral prefrontal cortex and the left frontal subgyral area were more strongly activated by visual sexual stimuli than by nonvisual sexual stimuli. Brain areas that were more activated by visual sexual stimuli in right MCA infarction patients than in controls included the right parahippocampal gyrus and the bilateral frontal subgyral area. These fMRI results suggest that brain activation patterns in response to visual sexual stimuli might be influenced by right MCA infarction. Further research is needed to explore the association between sexual dysfunction and brain activation in poststroke patients. 
 "
5324609,"  ABSTRACT  
The hippocampus has been implicated in integrating information across separate events in support of mnemonic generalizations. These generalizations may be underpinned by processes at both encoding (linking similar information across events) and retrieval (“on‐the‐fly” generalization). However, the relative contribution of the hippocampus to encoding‐ and retrieval‐based generalizations is poorly understood. Using fMRI in humans, we investigated the hippocampal role in gradually learning a set of spatial discriminations and subsequently generalizing them in an acquired equivalence task. We found a highly significant correlation between individuals’ performance on a generalization test and hippocampal activity during the test, providing evidence that hippocampal processes support on‐the‐fly generalizations at retrieval. Within the same hippocampal region there was also a correlation between activity during the final stage of learning (when all associations had been learnt but no generalization was required) and subsequent generalization performance. We suggest that the hippocampus spontaneously retrieves prior events that share overlapping features with the current event. This process may also support the creation of generalized representations during encoding. These findings are supportive of the view that the hippocampus contributes to both encoding‐ and retrieval‐based generalization via the same basic mechanism; retrieval of similar events sharing common features. © 2016 The Authors Hippocampus Published by Wiley Periodicals, Inc. 
 "
8544331," 
Objective: To measure white and gray matter volume (WMV, GMV) in patients with neovascular age-related macular degeneration (nAMD) using voxel-based morphometry (VBM). 

Material: Eighteen patients (9 men, 9 women) with nAMD and 18 (9 men, 9 women) healthy controls (HCs) aligned were recruited. Functional magnetic resonance imaging (fMRI) and VBM of three-dimensional T1 brain images were analyzed. And we also apply t-tests to look for GMV and WMV differences between groups. Correlation analysis was utilized to probe the connection between observational GMV and WMV values of diverse brain areas and the severity of HADS (hospital anxiety and depression scale). Also, distinctions between nAMD and HCs in GMV can be presented with the help of a ROC (receiver operating characteristic) curve. 

Results: Compared with HCs, GMV values were significantly lower in patients with neovascular age-related macular degeneration in the right inferior frontal gyrus, temporal pole of left superior temporal gyrus, left superior temporal gyrus, left middle frontal gyrus, left anterior cingulate and para cingulate gyrus. While WMV was slightly increased in these areas. HADS (hospital anxiety and depression scale) scores portrayed a non-linear correlation with the GMV value of the right inferior frontal gyrus, left middle frontal gyrus, left anterior cingulate and paracingulate gyrus of the nAMD group (r=-0.6629, P=0.0027)(r=-0.9451, P<0.0001)(r=-0.6183, P=0.0062). Moreover, the ROC curve analysis of the mean VBM values for altered brain regions indicated high diagnostic accuracy. 

Conclusion: These results indicated that patients with nAMD have abnormal GMV and WMV and formed a basis for future research on pathological mechanisms in this disease. Moreover, decreased gray matter volume in particular brain regions might be associated with choroidal neovascularization and abnormal HADS score. It might help to explain the pathological mechanism of anxiety and depression in patients with nAMD. 
 "
