count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,pmcid,rank,start_char,end_char
110.0,multi-problem young adults,patients,male,110.0,0.0,22.5,18-25,18.0,25.0,22.0,6004505,,7938.0,17136
25.0,,healthy,male,25.0,0.0,23.5,20-26,20.0,26.0,23.0,6004505,,7938.0,17136
100.0,multi-problem young adults,patients,female,0.0,100.0,21.5,18-25,18.0,25.0,21.0,6004505,,7938.0,17136
22.0,,healthy,female,0.0,22.0,22.2,20-26,20.0,26.0,22.0,6004505,,7938.0,17136
15.0,healthy,patients,male,8.0,7.0,22.21,18-24,18.0,24.0,22.0,6195265,,13097.0,22246
15.0,healthy,patients,female,7.0,8.0,22.21,18-24,18.0,24.0,22.0,6195265,,13097.0,22246
46.0,healthy,patients,KAIST,32.0,14.0,22.6,22-36,22.0,36.0,23.0,7745153,,9299.0,12877
103.0,healthy,patients,healthy,51.0,52.0,32.5,18-50,18.0,50.0,30.0,3334814,,8117.0,17942
21.0,problematic tinnitus,patients,tinnitus,10.0,11.0,50.5,21-72,21.0,72.0,51.0,6667657,,7425.0,27130
12.0,problematic tinnitus,patients,tinnitus,6.0,6.0,52.5,21-72,21.0,72.0,53.0,6667657,,7425.0,27130
10.0,problematic tinnitus,patients,tinnitus,5.0,5.0,53.5,21-72,21.0,72.0,54.0,6667657,,7425.0,27130
8.0,problematic tinnitus,patients,tinnitus,4.0,4.0,54.5,21-72,21.0,72.0,55.0,6667657,,7425.0,27130
26.0,healthy,patients,DCG,5.0,8.0,23.1,20-26,20.0,26.0,23.0,4034409,,13409.0,26379
26.0,healthy,patients,TCG,4.0,9.0,23.5,21-29,21.0,29.0,24.0,4034409,,13409.0,26379
38.0,healthy,patients,childless adults,19.0,19.0,24.08,21-27,21.0,27.0,24.0,7395771,,8721.0,24500
19.0,healthy,patients,working with children,10.0,9.0,24.08,21-27,21.0,27.0,24.0,7395771,,8721.0,24500
19.0,healthy,patients,not working with children,10.0,9.0,24.08,21-27,21.0,27.0,24.0,7395771,,8721.0,24500
1418.0,,healthy,young,546.0,872.0,22.39,18-35,18.0,35.0,22.0,9564100,,24189.0,51474
945.0,,healthy,young,546.0,872.0,22.39,18-35,18.0,35.0,22.0,9564100,,24189.0,51474
473.0,,healthy,young,546.0,872.0,22.39,18-35,18.0,35.0,22.0,9564100,,24189.0,51474
30.0,healthy,patients,students,10.0,20.0,21.5,18-25,18.0,25.0,22.0,5881103,,15988.0,29621
15.0,healthy,patients,teachers,5.0,10.0,45.5,40-50,40.0,50.0,45.0,5881103,,15988.0,29621
20.0,healthy,patients,researchers,10.0,10.0,35.5,30-40,30.0,40.0,35.0,5881103,,15988.0,29621
14.0,,healthy,healthy,5.0,9.0,27.5,27-7,27.0,28.0,28.0,6198067,,8869.0,19563
11.0,,healthy,healthy,7.0,4.0,28.5,28-7,28.0,29.0,29.0,6198067,,8869.0,19563
78.0,healthy,patients,neurotypical controls,15.0,15.0,22.5,19-54,19.0,54.0,22.0,8883821,,7464.0,18951
28.0,schizophrenia,patients,schizophrenia,14.0,14.0,32.5,21-54,21.0,54.0,31.0,8883821,,7464.0,18951
20.0,autism spectrum disorder,patients,autism spectrum disorder,10.0,10.0,31.5,19-43,19.0,43.0,30.0,8883821,,7464.0,18951
26.0,chronic pain,patients,chronic pain group,4.0,9.0,51.8,43-65,43.0,65.0,51.0,4048172,,8584.0,21370
26.0,,healthy,normal control group,4.0,9.0,48.7,38-62,38.0,62.0,48.0,4048172,,8584.0,21370
22.0,healthy,patients,participants,13.0,9.0,26.7,18-60,18.0,60.0,22.0,2775905,,7644.0,22822
18.0,healthy,patients,participants,11.0,7.0,26.7,18-60,18.0,60.0,22.0,2775905,,7644.0,22822
18.0,healthy,patients,participants,11.0,7.0,26.7,18-60,18.0,60.0,22.0,2775905,,7644.0,22822
20.0,,healthy,participants,11.0,9.0,23.0,18-27,18.0,27.0,23.0,7339141,,6763.0,29517
1.0,,healthy,participants,1.0,0.0,23.0,23,23.0,23.0,23.0,7339141,,6763.0,29517
26.0,healthy,patients,healthy,12.0,14.0,23.04,18-35,18.0,35.0,23.0,6697392,,7141.0,36717
21.0,healthy,patients,healthy,10.0,11.0,22.04,18-35,18.0,35.0,22.0,6697392,,7141.0,36717
26.0,healthy,patients,healthy,12.0,14.0,23.04,18-35,18.0,35.0,23.0,6697392,,7141.0,36717
21.0,healthy,patients,healthy,10.0,11.0,22.04,18-35,18.0,35.0,22.0,6697392,,7141.0,36717
26.0,healthy,patients,healthy,12.0,14.0,23.04,18-35,18.0,35.0,23.0,6697392,,7141.0,36717
21.0,healthy,patients,healthy,10.0,11.0,22.04,18-35,18.0,35.0,22.0,6697392,,7141.0,36717
72.0,ischemic stroke,patients,stroke patients,36.0,36.0,65.0,60-70,60.0,70.0,65.0,5665859,,7175.0,15026
15.0,,healthy,healthy volunteers,8.0,7.0,62.5,60-70,60.0,70.0,62.0,5665859,,7175.0,15026
38.0,healthy,patients,younger adults,5.0,14.0,22.6,18-27,18.0,27.0,22.0,3660406,,12704.0,30124
15.0,healthy,patients,older adults,5.0,10.0,61.1,51-71,51.0,71.0,61.0,3660406,,12704.0,30124
36.0,healthy,patients,older-aged participants,16.0,20.0,73.2,56-83,56.0,83.0,73.0,7779563,,11922.0,24537
20.0,healthy,patients,younger adults,10.0,10.0,24.5,20-29,20.0,29.0,24.0,7779563,,11922.0,24537
70.0,,healthy,older adults,35.0,35.0,68.7,50-80,50.0,80.0,69.0,7779563,,11922.0,24537
20.0,,healthy,younger adults,10.0,10.0,24.5,20-29,20.0,29.0,24.0,7779563,,11922.0,24537
220.0,healthy,patients,adolescents,115.0,105.0,14.61,14-15,14.0,15.0,14.0,3991323,,7509.0,22523
28.0,healthy,patients,adults,17.0,11.0,25.24,20-39,20.0,39.0,25.0,3991323,,7509.0,22523
30.0,chronic osteoarthritis,patients,knee pain,15.0,15.0,55.0,40-70,40.0,70.0,55.0,4175730,,5086.0,19248
10.0,,healthy,control,5.0,5.0,30.0,20-40,20.0,40.0,30.0,4175730,,5086.0,19248
15.0,chronic osteoarthritis,patients,knee pain,8.0,7.0,60.0,50-70,50.0,70.0,60.0,4175730,,5086.0,19248
20.0,,healthy,students,10.0,10.0,22.3,19-25,19.0,25.0,22.0,7002496,,9427.0,20859
10.0,,healthy,participants,5.0,5.0,22.3,19-25,19.0,25.0,22.0,7002496,,9427.0,20859
10.0,,healthy,participants,5.0,5.0,22.3,19-25,19.0,25.0,22.0,7002496,,9427.0,20859
17.0,healthy,patients,female,0.0,17.0,20.7,18-23,18.0,23.0,20.0,6688454,,12232.0,20363
10.0,chronic marijuana  users,patients,MJ users,8.0,2.0,24.5,22-27,22.0,27.0,25.0,3742334,,7512.0,22496
18.0,,healthy,NU participants,11.0,7.0,25.5,23-28,23.0,28.0,26.0,3742334,,7512.0,22496
21.0,idiopathic Parkinson's disease,patients,volunteers,14.0,7.0,60.5,50-70,50.0,70.0,62.0,3045463,,6018.0,21237
19.0,,healthy,adults,12.0,7.0,58.5,50-70,50.0,70.0,60.0,3045463,,6018.0,21237
113.0,healthy,patients,primary behavioral sample,50.0,63.0,17.11,12.27-21.96,12.0,22.0,17.0,7038454,,6792.0,24030
104.0,healthy,patients,final neuroimaging sample,50.0,54.0,17.11,12.27-21.96,12.0,22.0,17.0,7038454,,6792.0,24030
11.0,healthy,patients,observers,8.0,3.0,33.1,25-47,25.0,47.0,33.0,6328158,,9509.0,20148
11.0,healthy,patients,observers,8.0,3.0,33.1,25-47,25.0,47.0,33.0,6328158,,9509.0,20148
20.0,healthy,patients,typically developing children,19.0,1.0,5.8,5.2 to 6.8,5.0,6.0,5.0,4274095,,11741.0,25722
1.0,healthy,patients,typically developing children,0.0,1.0,5.8,5.2 to 6.8,5.0,6.0,5.0,4274095,,11741.0,25722
15.0,healthy,patients,undergraduate students,10.0,5.0,20.22,20-22,20.0,22.0,20.0,6989437,,9041.0,18385
2.0,excluded,patients,participants,1.0,1.0,20.5,20-21,20.0,21.0,20.0,6989437,,9041.0,18385
13.0,healthy,patients,participants,8.0,5.0,20.15,20-22,20.0,22.0,20.0,6989437,,9041.0,18385
42.0,,healthy,male,42.0,0.0,23.86,19-32,19.0,32.0,23.0,4380440,,10534.0,28045
40.0,healthy,patients,right-handed,20.0,20.0,20.0,18-23 yrs,18.0,23.0,20.0,4370584,,11424.0,25493
15.0,phobic prone,patients,phobic prone,6.0,9.0,39.2,31.8-46.6,31.0,46.0,39.0,3002948,,8290.0,19457
15.0,eating disorders prone,patients,eating disorders prone,5.0,10.0,34.4,25.7-43.1,25.0,43.0,34.0,3002948,,8290.0,19457
12.0,,healthy,first experiment,6.0,6.0,26.0,23-39,23.0,39.0,26.0,3422286,,8558.0,18464
14.0,,healthy,second experiment,7.0,7.0,23.0,24-30,24.0,30.0,23.0,3422286,,8558.0,18464
27.0,hearing-impaired listeners,patients,HA users,13.0,14.0,67.5,60-80,60.0,80.0,65.0,6509414,,8835.0,31062
14.0,inexperienced hearing aid users,patients,HA users,7.0,7.0,68.5,60-80,60.0,80.0,66.0,6509414,,8835.0,31062
70.0,,healthy,adults,41.0,29.0,25.5,21-50,21.0,50.0,25.0,7260173,,30977.0,41739
54.0,,healthy,adults,28.0,26.0,34.0,21-50,21.0,50.0,34.0,7260173,,30977.0,41739
16.0,,healthy,adults,7.0,9.0,34.5,21-50,21.0,50.0,34.0,7260173,,30977.0,41739
54.0,,healthy,adults,39.0,15.0,34.0,21-50,21.0,50.0,34.0,7260173,,30977.0,41739
22.0,healthy,patients,fMRI,11.0,11.0,23.33,23.33-46,23.0,46.0,23.0,6215330,,17562.0,44976
24.0,healthy,patients,EEG,10.0,14.0,25.07,25.07-6.53,25.0,32.0,26.0,6215330,,17562.0,44976
21.0,healthy,patients,EEG,7.0,14.0,26.76,26.76-5.86,26.0,32.0,27.0,6215330,,17562.0,44976
24.0,internet addiction,patients,male,14.0,10.0,20.58,2.39,18.0,24.0,20.0,8939409,,8544.0,18377
23.0,,healthy,male,10.0,13.0,21.13,2.51,19.0,23.0,21.0,8939409,,8544.0,18377
24.0,internet addiction,patients,female,14.0,10.0,20.58,2.39,18.0,24.0,20.0,8939409,,8544.0,18377
23.0,,healthy,female,10.0,13.0,21.13,2.51,19.0,23.0,21.0,8939409,,8544.0,18377
33.0,autism spectrum disorder,patients,children and adolescents,22.0,11.0,13.5,10-17,10.0,17.0,14.0,5870086,,9508.0,25571
28.0,autism spectrum disorder,patients,children and adolescents,18.0,10.0,13.2,10-17,10.0,17.0,13.0,5870086,,9508.0,25571
28.0,autism spectrum disorder,patients,children and adolescents,18.0,10.0,13.2,10-17,10.0,17.0,13.0,5870086,,9508.0,25571
53.0,Type 2 diabetes mellitus patients,patients,T2DM patients,28.0,25.0,60.5,45-75,45.0,75.0,61.0,7829678,,7017.0,21035
39.0,,healthy,HC,20.0,19.0,60.5,45-75,45.0,75.0,61.0,7829678,,7017.0,21035
14.0,congenitally profoundly deaf,patients,CS,3.0,11.0,25.0,18-33,18.0,33.0,25.0,5371603,,24766.0,41275
15.0,,healthy,NH,6.0,9.0,25.2,20-37,20.0,37.0,25.0,5371603,,24766.0,41275
13.0,"unilateral, upper limb amputation at least above the wrist and phantom limb pain of at least one year's duration",patients,amputation,11.0,2.0,52.92,32-75 years,32.0,75.0,52.0,2494616,,8118.0,20615
6.0,,healthy,control,3.0,3.0,43.0,30-56 years,30.0,56.0,43.0,2494616,,8118.0,20615
39.0,aphasia,patients,stroke survivors,22.0,17.0,52.9,52.9,52.0,53.0,52.0,5266856,,11323.0,19859
37.0,,healthy,controls,19.0,18.0,52.9,52.9,52.0,53.0,52.0,5266856,,11323.0,19859
17.0,panic disorder patients,patients,PD patients,2.0,15.0,45.5,30-60,30.0,60.0,46.0,6382839,,30626.0,39383
17.0,,healthy,HC,4.0,13.0,44.5,30-60,30.0,60.0,45.0,6382839,,30626.0,39383
18.0,healthy,patients,MRI,10.0,8.0,25.0,22-29,22.0,29.0,25.0,4493392,,8993.0,19279
147.0,,healthy,infants,78.0,69.0,15.0,15years,15.0,15.0,15.0,4215530,,10681.0,22966
24.0,"born VPT with no history of cerebral palsy, grade 3/4 intraventricular haemorrhage or periventricular leukomalacia as assessed by neonatal cranial ultrasound",patients,young adults,12.0,12.0,20.0,20years,20.0,20.0,20.0,4215530,,10681.0,22966
22.0,,healthy,controls,11.0,11.0,20.0,20years,20.0,20.0,20.0,4215530,,10681.0,22966
57.0,A1 trauma,patients,PTSD,12.0,15.0,21.5,18-31,18.0,31.0,21.0,6024199,,14405.0,25023
21.0,A1 trauma,patients,trauma-exposed control,7.0,14.0,22.1,18-37,18.0,37.0,22.0,6024199,,14405.0,25023
100.0,,healthy,control,50.0,50.0,30.0,20-40,20.0,40.0,30.0,7194032,,42229.0,44348
50.0,autism,patients,autism,30.0,20.0,25.0,18-35,18.0,35.0,25.0,7194032,,42229.0,44348
25.0,schizophrenia,patients,schizophrenia,15.0,10.0,35.0,25-50,25.0,50.0,35.0,7194032,,42229.0,44348
34.0,healthy,patients,healthy,17.0,17.0,24.9,20-38 years,20.0,38.0,24.0,6646524,,12647.0,35561
27.0,healthy,patients,healthy,14.0,13.0,25.1,21-39 years,21.0,39.0,25.0,6646524,,12647.0,35561
20.0,healthy,patients,healthy,10.0,10.0,25.2,22-37 years,22.0,37.0,25.0,6646524,,12647.0,35561
32.0,healthy,patients,fMRI experiment,11.0,21.0,23.04,19-27,19.0,27.0,23.0,8018944,,8670.0,27873
9.0,healthy,patients,TMS-MEP experiment,2.0,7.0,24.09,22-26,22.0,26.0,24.0,8018944,,8670.0,27873
70.0,,healthy,young people,21.0,27.0,17.5,17.5-17.5,17.0,18.0,17.0,5104469,,12106.0,23270
23.0,"post-traumatic stress disorders, depression, anxiety, conduct disorder and phobia",patients,young people,15.0,8.0,17.5,17.5-17.5,17.0,18.0,17.0,5104469,,12106.0,23270
20.0,"post-traumatic stress disorders, depression, anxiety, conduct disorder and phobia",patients,psychiatric controls,9.0,11.0,16.9,16.9-16.9,16.0,17.0,17.0,5104469,,12106.0,23270
40.0,,healthy,students,21.0,19.0,21.28,18-24,18.0,24.0,21.0,8152834,,7186.0,20774
39.0,,healthy,students,21.0,18.0,21.33,18-24,18.0,24.0,21.0,8152834,,7186.0,20774
18.0,,healthy,participants,9.0,9.0,26.0,20-32,20.0,32.0,26.0,4318429,,6580.0,17848
19.0,obese,patients,women,0.0,19.0,45.2,35-55,35.0,55.0,46.0,5537800,,8484.0,19703
16.0,responded to treatment,patients,women,0.0,16.0,45.2,35-55,35.0,55.0,46.0,5537800,,8484.0,19703
70.0,bipolar disorder patients in partial or full remission,patients,BD patients,35.0,35.0,37.0,18-65,18.0,65.0,37.0,6908505,,7076.0,15408
45.0,major depressive disorder,patients,mild-moderate,16.0,29.0,37.11,19-58,19.0,58.0,37.0,4983635,,8102.0,31407
19.0,,healthy,healthy,8.0,11.0,33.0,20-52,20.0,52.0,33.0,4983635,,8102.0,31407
19.0,healthy,patients,adult volunteers,10.0,9.0,22.8,19-31 years,19.0,31.0,22.0,3869649,,5579.0,16896
19.0,healthy,patients,adult volunteers,10.0,9.0,22.8,19-31 years,19.0,31.0,22.0,3869649,,5579.0,16896
19.0,healthy,patients,adult volunteers,10.0,9.0,22.8,19-31 years,19.0,31.0,22.0,3869649,,5579.0,16896
272.0,healthy,patients,fMRI data of 272 healthy participants,123.0,149.0,24.5,18-68 years,18.0,68.0,24.0,4115625,,8650.0,16536
272.0,healthy,patients,fMRI data of 272 healthy participants,123.0,149.0,24.4,18-61 years,18.0,61.0,24.0,4115625,,8650.0,16536
272.0,healthy,patients,fMRI data of 272 healthy participants,123.0,149.0,24.5,18-68 years,18.0,68.0,24.0,4115625,,8650.0,16536
272.0,healthy,patients,fMRI data of 272 healthy participants,123.0,149.0,24.4,18-61 years,18.0,61.0,24.0,4115625,,8650.0,16536
15.0,healthy,patients,male,8.0,7.0,25.5,20-30,20.0,30.0,25.0,2390848,,22735.0,31351
15.0,healthy,patients,female,8.0,7.0,24.5,20-30,20.0,30.0,24.0,2390848,,22735.0,31351
20.0,healthy,patients,male,20.0,0.0,23.9,18-33,18.0,33.0,23.0,4255751,,5627.0,14947
20.0,healthy,patients,female,0.0,20.0,23.9,18-33,18.0,33.0,23.0,4255751,,5627.0,14947
7.0,healthy,patients,male,7.0,0.0,23.5,21-28,21.0,28.0,23.0,7406917,,8419.0,12364
18.0,lung cancer patients,patients,lung cancer patients,10.0,8.0,60.5,48-70,48.0,70.0,62.0,7275001,,8631.0,17518
21.0,,healthy,healthy controls,12.0,9.0,55.5,48-70,48.0,70.0,57.0,7275001,,8631.0,17518
10.0,healthy,patients,undergraduate and graduate students,4.0,6.0,20.8,18-22,18.0,22.0,20.0,6528067,,11647.0,27400
1.0,excluded,patients,participants,1.0,0.0,20.8,18-22,18.0,22.0,20.0,6528067,,11647.0,27400
1.0,healthy,patients,participants,1.0,0.0,20.8,18-22,18.0,22.0,20.0,6528067,,11647.0,27400
64.0,Psychogenic erectile dysfunction,patients,male,64.0,0.0,26.85,26-30,26.0,30.0,26.0,6290711,,7097.0,15731
41.0,,healthy,male,41.0,0.0,28.53,28-32,28.0,32.0,28.0,6290711,,7097.0,15731
26.0,Psychogenic erectile dysfunction,patients,female,0.0,26.0,26.85,26-30,26.0,30.0,26.0,6290711,,7097.0,15731
26.0,,healthy,female,0.0,26.0,28.53,28-32,28.0,32.0,28.0,6290711,,7097.0,15731
32.0,,healthy,young,16.0,16.0,25.27,25-27,25.0,27.0,26.0,5890144,,7227.0,26220
32.0,,healthy,young,16.0,16.0,25.27,25-27,25.0,27.0,26.0,5890144,,7227.0,26220
32.0,,healthy,young,16.0,16.0,25.27,25-27,25.0,27.0,26.0,5890144,,7227.0,26220
19.0,obsessive-compulsive-disorder,patients,OCD,12.0,7.0,32.5,20-40,20.0,40.0,30.0,3777673,,6638.0,16887
19.0,,healthy,control,10.0,9.0,31.5,21-41,21.0,41.0,30.0,3777673,,6638.0,16887
53.0,social anxiety disorder (generalized subtype),patients,SAD,44.0,17.0,29.9,29.9,29.0,30.0,29.0,4416052,,5666.0,15046
33.0,,healthy,Control,29.0,14.0,29.4,29.4,29.0,30.0,29.0,4416052,,5666.0,15046
21.0,healthy,patients,male,21.0,0.0,25.77,20-40,20.0,40.0,25.0,5776089,,7315.0,16928
61.0,healthy,patients,male,61.0,0.0,24.255,18-35,18.0,35.0,24.0,6434022,,30465.0,45817
44.0,,healthy,behavioral experiment,19.0,23.0,27.69,24-31,24.0,31.0,27.0,2144768,,58551.0,79269
18.0,healthy,patients,fMRI experiments,9.0,9.0,23.67,19-35,19.0,35.0,23.0,2144768,,58551.0,79269
29.0,healthy,patients,healthy,14.0,15.0,34.5,34.5,34.0,35.0,34.0,6868994,,7334.0,26564
29.0,healthy,patients,healthy,14.0,15.0,34.5,34.5,34.0,35.0,34.0,6868994,,7334.0,26564
21.0,,healthy,participants,8.0,13.0,24.9,19-30,19.0,30.0,25.0,5218407,,9582.0,24346
20.0,,healthy,participants,8.0,12.0,25.1,19-30,19.0,30.0,25.0,5218407,,9582.0,24346
17.0,,healthy,participants,7.0,10.0,25.0,19-30,19.0,30.0,25.0,5218407,,9582.0,24346
24.0,healthy,patients,students,12.0,12.0,22.5,18-25,18.0,25.0,22.0,3362560,,7514.0,17605
10.0,depressed,patients,students,5.0,5.0,21.5,19-24,19.0,24.0,21.0,3362560,,7514.0,17605
15.0,anxious,patients,students,7.0,8.0,23.5,20-26,20.0,26.0,23.0,3362560,,7514.0,17605
46.0,healthy,patients,behavioral study,23.0,23.0,23.65,18-30,18.0,30.0,23.0,3672681,,13846.0,26015
32.0,healthy,patients,fMRI study,16.0,16.0,23.0,19-30,19.0,30.0,23.0,3672681,,13846.0,26015
70.0,,healthy,adolescents,25.0,45.0,13.082,12-14,12.0,14.0,13.0,7057279,,6753.0,17864
55.0,,healthy,adolescents,17.0,38.0,13.082,12-14,12.0,14.0,13.0,7057279,,6753.0,17864
17.0,schizophrenia or schizoaffective disorder,patients,none,12.0,5.0,32.5,20-40,20.0,40.0,30.0,7851842,,9615.0,19453
18.0,,healthy,none,9.0,9.0,28.5,20-40,20.0,40.0,25.0,7851842,,9615.0,19453
17.0,schizophrenia or schizoaffective disorder,patients,none,12.0,5.0,32.5,20-40,20.0,40.0,30.0,7851842,,9615.0,19453
18.0,,healthy,none,9.0,9.0,28.5,20-40,20.0,40.0,25.0,7851842,,9615.0,19453
20.0,,healthy,participants,12.0,8.0,24.4,19-35,19.0,35.0,24.0,3147157,,7853.0,18627
20.0,,healthy,participants,12.0,8.0,24.4,19-35,19.0,35.0,24.0,3147157,,7853.0,18627
21.0,,patients,,10.0,11.0,29.36,19-46,19.0,46.0,28.0,3554651,,39775.0,47337
21.0,,healthy,,10.0,11.0,29.36,19-46,19.0,46.0,28.0,3554651,,39775.0,47337
22.0,,healthy,participants,17.0,5.0,24.5,19-41,19.0,41.0,23.0,4349631,,5763.0,26975
16.0,,healthy,participants,11.0,5.0,22.5,20-59,20.0,59.0,21.0,4349631,,5763.0,26975
19.0,mesial temporal lobe epilepsy,patients,unilateral MTLE,8.0,11.0,45.31,45.31-45.31,45.0,45.0,45.0,7836234,,7759.0,23195
19.0,,healthy,age matched,9.0,10.0,45.81,45.81-45.81,45.0,45.0,45.0,7836234,,7759.0,23195
29.0,healthy,patients,IS managers,16.0,13.0,23.6,21-33,21.0,33.0,22.0,7989009,,43048.0,47082
5.0,,healthy,participants,3.0,2.0,30.0,20-40,20.0,40.0,30.0,6678781,,33032.0,36829
10.0,convicted,patients,convicted CSOs,6.0,4.0,35.0,25-45,25.0,45.0,35.0,6678781,,33032.0,36829
8.0,non-convicted,patients,non-convicted CSOs,4.0,4.0,32.0,20-40,20.0,40.0,32.0,6678781,,33032.0,36829
100.0,unipolar major depression,patients,primary sample,50.0,50.0,30.0,18-65,18.0,65.0,25.0,5416685,,5525.0,15035
50.0,unipolar major depression,patients,validation sample,25.0,25.0,35.0,18-65,18.0,65.0,30.0,5416685,,5525.0,15035
50.0,,healthy,primary sample,25.0,25.0,25.0,18-65,18.0,65.0,20.0,5416685,,5525.0,15035
25.0,,healthy,validation sample,12.0,13.0,28.0,18-65,18.0,65.0,22.0,5416685,,5525.0,15035
14.0,healthy,patients,right-handed,8.0,6.0,24.8,22-29,22.0,29.0,24.0,3078751,,10341.0,27071
14.0,healthy,patients,left-handed,8.0,6.0,24.8,22-29,22.0,29.0,24.0,3078751,,10341.0,27071
14.0,healthy,patients,ambidextrous,8.0,6.0,24.8,22-29,22.0,29.0,24.0,3078751,,10341.0,27071
34.0,healthy,patients,students,19.0,15.0,21.5,18-25,18.0,25.0,22.0,6908964,,11176.0,21583
12.0,healthy,patients,participants,8.0,4.0,23.5,21-25,21.0,25.0,23.0,6908964,,11176.0,21583
20.0,healthy,patients,participants,10.0,10.0,24.5,22-26,22.0,26.0,24.0,6908964,,11176.0,21583
16.0,healthy,patients,healthy,7.0,9.0,1835.0,1835,1835.0,1835.0,1835.0,3183226,,28022.0,55392
41.0,ulcerative colitis,patients,right-handed,16.0,15.0,37.1,20-54,20.0,54.0,37.0,6457314,,5613.0,15497
42.0,,healthy,right-handed,17.0,15.0,36.86,22-55,22.0,55.0,37.0,6457314,,5613.0,15497
13.0,,healthy,human subjects,6.0,7.0,28.4,19-45,19.0,45.0,28.0,7430162,,7494.0,26701
11.0,healthy,patients,human subjects,6.0,5.0,28.4,19-45,19.0,45.0,28.0,7430162,,7494.0,26701
11.0,healthy,patients,human subjects,6.0,5.0,28.4,19-45,19.0,45.0,28.0,7430162,,7494.0,26701
19.0,healthy,patients,propofol data collection,13.0,6.0,1840.0,1840,1840.0,1840.0,1840.0,6787094,,37350.0,41815
18.0,healthy,patients,healthy,9.0,9.0,18.36,18-36,18.0,36.0,18.0,4280551,,39662.0,53143
10.0,unconscious,patients,unconscious,5.0,5.0,20.36,20-36,20.0,36.0,20.0,4280551,,39662.0,53143
10.0,recovery,patients,recovery,5.0,5.0,22.36,22-36,22.0,36.0,22.0,4280551,,39662.0,53143
18.0,smokers,patients,male,18.0,0.0,25.11,21-33,21.0,33.0,25.0,3409150,,8385.0,20226
19.0,amnestic mild cognitive impairment or mild Alzheimer's dementia,patients,aMCI or mAD,4.0,7.0,73.0,65-81,65.0,81.0,73.0,7838677,,6036.0,24910
28.0,,healthy,control,14.0,14.0,68.0,55-81,55.0,81.0,68.0,7838677,,6036.0,24910
233.0,healthy,patients,fMRI,117.0,116.0,16.1,9.9-26.6,9.0,26.0,16.0,5390693,,6438.0,17948
233.0,healthy,patients,self-condition,117.0,116.0,16.1,9.9-26.6,9.0,26.0,16.0,5390693,,6438.0,17948
233.0,healthy,patients,gambling game,117.0,116.0,16.1,9.9-26.6,9.0,26.0,16.0,5390693,,6438.0,17948
27.0,,healthy,paid volunteers,12.0,7.0,27.9,20-35,20.0,35.0,27.0,7456884,,7752.0,22123
8.0,excluded,patients,excluded,4.0,4.0,28.5,25-32,25.0,32.0,28.0,7456884,,7752.0,22123
