count,diagnosis,group_name,subgroup_name,male count,female count,age mean,age range,age minimum,age maximum,age median,pmcid,rank,start_char,end_char
21.0,,healthy,,12.0,9.0,26.0,22-30,,,,4458841,,45697.0,61564
22.0,,healthy,,7.0,15.0,28.0,24-32,,,,4458841,,45697.0,61564
17.0,,healthy,,8.0,9.0,7.4,6.9-7.8,,,,3780305,,14497.0,24083
33.0,,healthy,,17.0,16.0,26.0,20-48,20.0,48.0,,5447679,,9581.0,23885
57.0,,healthy,,31.0,26.0,10.19,,,,,7099000,,8182.0,18529
24.0,,healthy,,12.0,12.0,25.3,21-34,21.0,34.0,,7994216,,12556.0,22290
10.0,,healthy,,7.0,3.0,27.72,,,,,4029023,,7975.0,23178
44.0,,healthy,,,,,≥ 45,45.0,,,6389716,,8216.0,20017
43.0,,healthy,,,,,,,,,6389716,,8216.0,20017
5.0,,healthy,,2.0,3.0,33.7,,,,,6699415,,5975.0,19549
15.0,,healthy,,15.0,0.0,26.01,24.61-27.41,,,,5270359,,8016.0,16238
26.0,,healthy,,,,,,,,,7518235,,6771.0,18065
28.0,,healthy,,,,,,,,,7518235,,6771.0,18065
30.0,,healthy,,,,,,,,,7518235,,6771.0,18065
25.0,,healthy,,14.0,10.0,33.2,-,,,,6412974,,9389.0,18256
18.0,,healthy,,3.0,15.0,30.1,20-48,,,,6412974,,9389.0,18256
19.0,,healthy,right-handed,7.0,12.0,24.7,19-30,,,,2561002,,27803.0,43391
15.0,,healthy,left-handed,5.0,10.0,26.1,21-35,,,,2561002,,27803.0,43391
20.0,,healthy,behavioral experiment,7.0,13.0,25.53,,,,,2561002,,27803.0,43391
17.0,,healthy,,,,,8-11,8.0,11.0,,5758587,,11527.0,31998
11.0,,healthy,,,,,8-11,8.0,11.0,,5758587,,11527.0,31998
20.0,,healthy,,14.0,6.0,24.0,20-34,,,,8764488,,15910.0,34177
20.0,,healthy,,9.0,11.0,21.95,18-35,,,,4810172,,9451.0,22425
31.0,,healthy,students,16.0,15.0,,18-22,18.0,22.0,,3539852,,17777.0,32354
24.0,,healthy,Study 1,0.0,24.0,24.0,20-30,20.0,30.0,,3965851,,12313.0,27576
18.0,,healthy,Study 2,0.0,18.0,24.0,20-30,20.0,30.0,,3965851,,12313.0,27576
284.0,,healthy,RH,71.0,71.0,26.8,20-33,,,,4319399,,9266.0,20113
284.0,,healthy,LH,73.0,69.0,24.4,18-30,,,,4319399,,9266.0,20113
75.0,,healthy,,0.0,75.0,19.38,18-23,,,,5460048,,11781.0,19444
14.0,,healthy,,7.0,7.0,,22-48,22.0,48.0,,3788350,,9587.0,23321
20.0,Fibromyalgia,patients,FM,0.0,20.0,46.4,22-70,,,,6820536,,5393.0,21203
20.0,,healthy,HC,0.0,20.0,42.1,21-70,,,,6820536,,5393.0,21203
223.0,mood and/or anxiety disorder,patients,MA,61.0,162.0,36.0,,,,,7082218,,14245.0,26774
45.0,,healthy,HC,22.0,23.0,32.0,,,,,7082218,,14245.0,26774
23.0,,healthy,,8.0,15.0,,,,,,4017227,,7012.0,17348
19.0,,healthy,,10.0,9.0,,,,,,4017227,,7012.0,17348
21.0,posttraumatic stress disorder,patients,,,,,,,,,5030332,,7905.0,20301
20.0,,healthy,,9.0,11.0,,21-31,,,,8837589,,7291.0,18554
17.0,,healthy,,7.0,10.0,,21-31,,,,8837589,,7291.0,18554
30.0,hemifacial spasm,patients,left-side HFS,12.0,18.0,48.87,,,,,8569140,,6781.0,14913
30.0,hemifacial spasm,patients,right-side HFS,12.0,18.0,48.87,,,,,8569140,,6781.0,14913
30.0,,healthy,,12.0,18.0,47.63,,,,,8569140,,6781.0,14913
90.0,non-using controls,patients,CON,,,,,,,,7416060,,8377.0,34514
54.0,chronic cannabis users,patients,CAN,,,,,,,,7416060,,8377.0,34514
10.0,,healthy,,7.0,3.0,26.6,,,,,8893203,,7909.0,21757
5.0,,healthy,,3.0,2.0,,,,,,5857897,,6603.0,15566
17.0,,healthy,,17.0,0.0,23.8,20-30,,,,3866656,,9829.0,25906
160.0,,healthy,FBIRN,115.0,45.0,37.04,19-59,,,,7721229,,10065.0,22917
151.0,Schizophrenia,patients,FBIRN,115.0,36.0,38.77,18-62,,,,7721229,,10065.0,22917
314.0,,healthy,ABIDE1,249.0,65.0,17.04,6.47-56.20,,,,7721229,,10065.0,22917
255.0,Autism Spectrum Disorder,patients,ABIDE1,224.0,31.0,17.05,7.00-55.40,,,,7721229,,10065.0,22917
17.0,,healthy,,5.0,12.0,24.0,18-31,18.0,31.0,,5902547,,14757.0,23750
32.0,,healthy,,27.0,5.0,62.0,,,,,4473263,,8398.0,19333
18.0,,healthy,,8.0,10.0,63.0,,,,,4473263,,8398.0,19333
15.0,,healthy,,15.0,0.0,61.0,,,,,4473263,,8398.0,19333
17.0,,healthy,,12.0,5.0,64.0,,,,,4473263,,8398.0,19333
35.0,Subjective cognitive decline,patients,,,,,55-75,55.0,75.0,,7090024,,2474.0,26050
32.0,,healthy,,,,,55-75,55.0,75.0,,7090024,,2474.0,26050
28.0,,healthy,,20.0,8.0,14.58,13-16,,,,8213933,,13173.0,21786
27.0,,healthy,,18.0,9.0,14.49,13-16,,,,8213933,,13173.0,21786
76.0,,healthy,,60.0,16.0,49.9,40-60,,,,9205431,,45406.0,63870
20.0,,healthy,,16.0,4.0,,20-36,,,,4717328,,6158.0,18695
24.0,,healthy,,9.0,15.0,,,,,,6016936,,11128.0,25857
23.0,unilateral Mesial temporal lobe epilepsy,patients,LMTLE,,,,,,,,8933759,,7220.0,14113
23.0,unilateral Mesial temporal lobe epilepsy,patients,RMTLE,,,,,,,,8933759,,7220.0,14113
23.0,,healthy,,,,,,,,,8933759,,7220.0,14113
23.0,,healthy,,15.0,8.0,31.16,19-44,,,,5761874,,7481.0,31843
25.0,temporal lobe epilepsy,patients,,13.0,12.0,33.67,20-45,,,,5761874,,7481.0,31843
33.0,,healthy,,18.0,15.0,25.24,20-30,20.0,30.0,,7156375,,46014.0,63208
15.0,,healthy,,15.0,0.0,22.33,,,,,4838249,,5811.0,16785
18.0,neovascular age-related macular degeneration,patients,,9.0,9.0,,,,,,8544331,,2458.0,21485
18.0,,healthy,,,,,,,,,8544331,,2458.0,21485
25.0,,healthy,Total,8.0,17.0,32.0,23-41,23.0,41.0,,3483694,,27085.0,39661
15.0,,healthy,,7.0,8.0,25.6,22-30,,,,3889700,,15576.0,42524
25.0,,healthy,female,0.0,25.0,21.04,,,,,4975394,,,26999
44.0,schizophrenia,patients,,,,,18-37,18.0,37.0,,6197719,,2232.0,30145
42.0,unaffected siblings,patients,,,,,18-37,18.0,37.0,,6197719,,2232.0,30145
44.0,,healthy,,,,,18-37,18.0,37.0,,6197719,,2232.0,30145
45.0,,healthy,,,,27.95,,,,,3511796,,,13919
44.0,,healthy,,,,26.35,,,,,3511796,,,13919
63.0,,healthy,,36.0,27.0,28.5,22-55,,,,7913329,,9400.0,18152
36.0,,healthy,,19.0,17.0,26.45,21-41,,,,3869681,,10466.0,30021
18.0,,healthy,,10.0,8.0,26.3,21-41,,,,3869681,,10466.0,30021
18.0,,healthy,,9.0,9.0,26.6,21-38,,,,3869681,,10466.0,30021
10.0,,healthy,,1.0,9.0,16.3,14-17,,,,5686883,,2956.0,30786
10.0,,healthy,,1.0,9.0,16.1,-,,,,5686883,,2956.0,30786
112.0,,healthy,,67.0,45.0,,22-35,22.0,35.0,,8752963,,5395.0,17823
7.0,healthy,patients,Overfeeding,2.0,5.0,31.29,,,,,7758977,,2165.0,27583
6.0,healthy,patients,Fasting,1.0,5.0,29.19,,,,,7758977,,2165.0,27583
17.0,Tourette syndrome,patients,,,,,,,,,3877773,,,24556
15.0,,healthy,,,,,,,,,3877773,,,24556
147.0,Major Depressive Disorder,patients,EOD,50.0,97.0,,18-45,18.0,45.0,,5598991,,2445.0,31167
130.0,,healthy,young HC,49.0,81.0,,,,,,5598991,,2445.0,31167
58.0,Major Depressive Disorder,patients,EOD,,,,18-29,18.0,29.0,,5598991,,2445.0,31167
62.0,Major Depressive Disorder,patients,LOD,,,,30-44,30.0,44.0,,5598991,,2445.0,31167
60.0,,healthy,young HC,,,,,,,,5598991,,2445.0,31167
52.0,,healthy,old HC,,,,,,,,5598991,,2445.0,31167
104.0,White matter hyperintensities,patients,mild WMHs,,,,40-80,40.0,80.0,,8315277,,2178.0,30865
104.0,White matter hyperintensities,patients,moderate WMHs,,,,40-80,40.0,80.0,,8315277,,2178.0,30865
104.0,White matter hyperintensities,patients,severe WMHs,,,,40-80,40.0,80.0,,8315277,,2178.0,30865
37.0,,healthy,,,,,,,,,8315277,,2178.0,30865
20.0,Amyotrophic Lateral Sclerosis (ALS),patients,,,,,,,,,3447931,,,25604
20.0,,healthy,,,,,,,,,3447931,,,25604
6.0,affective violence,patients,VA,6.0,0.0,,,,,,9230060,,2158.0,20252
7.0,predatory violence,patients,VP,7.0,0.0,,,,,,9230060,,2158.0,20252
7.0,non-violent crime,patients,NV,7.0,0.0,,,,,,9230060,,2158.0,20252
20.0,,healthy,,20.0,0.0,,,,,,9230060,,2158.0,20252
19.0,,healthy,,,,,,,,,4352055,,32738.0,49290
21.0,Bipolar Depression,patients,BDD,,,,,,,,6246657,,2468.0,25354
40.0,Major Depressive Disorder,patients,MDD,,,,,,,,6246657,,2468.0,25354
70.0,,healthy,HC,,,,,,,,6246657,,2468.0,25354
31.0,,healthy,,,,,,,,,6350268,,2321.0,24735
32.0,,healthy,,,,,,,,,6350268,,2321.0,24735
19.0,,healthy,,,,,18-55,18.0,55.0,,7875881,,2056.0,24611
17.0,,healthy,,,,,18-55,18.0,55.0,,7875881,,2056.0,24611
18.0,,healthy,,,,,,,,,2995581,,24448.0,42377
40.0,,healthy,,8.0,32.0,,25-63,,,,8172304,,,24378
32.0,Chronic Spontaneous Urticaria (CSU) Patients,patients,,6.0,26.0,,25-65,,,,8172304,,,24378
