count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,assesment_type,pmcid,rank,start_char,end_char
31.0,,healthy,,,,,25-27,25.0,27.0,,imaging,5890144,0,7227,8372
29.0,,healthy,,16.0,13.0,23.6,21-33,21.0,33.0,,behavioral,7989009,0,44675,45771
233.0,,healthy,,116.0,117.0,16.1,9.9-26.6,9.0,26.0,,imaging,5390693,0,6438,8339
39.0,,healthy,,21.0,18.0,21.33,18-24,18.0,24.0,,behavioral,8152834,0,7186,8239
12.0,,healthy,,7.0,5.0,38.0,23-60,23.0,60.0,,imaging,4075342,0,7661,9066
36.0,,healthy,,19.0,17.0,26.45,21-41,21.0,41.0,,imaging,3869681,0,12247,13506
18.0,,healthy,Experiment 1,10.0,8.0,26.3,21-41,21.0,41.0,,imaging,3869681,0,12247,13506
18.0,,healthy,Experiment 2,9.0,9.0,26.6,21-38,21.0,38.0,,imaging,3869681,0,12247,13506
26.0,ASD,patients,,,,,,,,,imaging,7194032,1,9309,10707
28.0,,healthy,,,,,,,,,imaging,7194032,1,9309,10707
18.0,lung cancer,patients,,,,,,,,,imaging,7275001,0,8631,10461
21.0,,healthy,,,,,48-70,48.0,70.0,,imaging,7275001,0,8631,10461
20.0,unipolar major depression,patients,primary study,,,,,,,,,5416685,0,15035,15652
19.0,unipolar major depression,patients,validation study,,,,,,,,,5416685,0,15035,15652
19.0,,healthy,primary sample,,,,,,,,,5416685,0,15035,15652
19.0,,healthy,validation sample,,,,,,,,,5416685,0,15035,15652
19.0,obesity,patients,,0.0,19.0,,35-55,35.0,55.0,,imaging,5537800,0,8516,10261
29.0,,healthy,young adults,10.0,19.0,23.8,19-30,19.0,30.0,,behavioral,8318202,0,8764,10050
32.0,,healthy,older adults,15.0,17.0,71.0,65-81,65.0,81.0,,behavioral,8318202,0,8764,10050
18.0,,healthy,,,,,,,,,imaging,4280551,0,39662,41442
24.0,,healthy,,10.0,14.0,34.5,,,,,imaging,8699602,0,8940,9612
10.0,juvenile fibromyalgia,patients,IMP,1.0,9.0,16.3,14-17,14.0,17.0,,imaging,5686883,1,7085,9280
10.0,,healthy,,1.0,9.0,16.1,14-17,14.0,17.0,,imaging,5686883,1,7085,9280
70.0,,healthy,,,,,16-48,16.0,48.0,,imaging,6246657,0,7306,10392
21.0,BDD,patients,,,,,16-48,16.0,48.0,,imaging,6246657,0,7306,10392
40.0,MDD,patients,,,,,16-48,16.0,48.0,,imaging,6246657,0,7306,10392
20.0,,healthy,right-handed,8.0,12.0,25.1,19-30,19.0,30.0,,imaging,5218407,0,9582,10592
17.0,,healthy,right-handed,7.0,10.0,25.0,19-30,19.0,30.0,,imaging,5218407,0,9582,10592
15.0,Autism Spectrum Disorder,patients,,12.0,3.0,38.0,,,,,behavioral,2648877,0,10521,12299
18.0,,healthy,,13.0,5.0,32.0,,,,,behavioral,2648877,0,10521,12299
216.0,,healthy,,,,,,,,,imaging,8828908,0,5902,6887
40.0,heroin use disorder,patients,heroin relapser,,,,,,,,imaging,4990879,0,7250,8174
40.0,heroin use disorder,patients,non-relapser,,,,,,,,imaging,4990879,0,7250,8174
19.0,ADHD,patients,ADHD alone,,,,,,,,behavioral,4936600,3,7788,11563
6.0,DCD,patients,DCD alone,,,,,,,,behavioral,4936600,3,7788,11563
14.0,DCD+ADHD,patients,DCD+ADHD,,,,,,,,behavioral,4936600,3,7788,11563
21.0,,healthy,typically developing,,,,,,,,behavioral,4936600,3,7788,11563
39.0,,healthy,TSD,22.0,17.0,33.5,21-50,21.0,50.0,,behavioral,7260173,0,30977,33120
15.0,,healthy,control,7.0,8.0,34.5,21-50,21.0,50.0,,behavioral,7260173,0,30977,33120
42.0,bronchial asthma,patients,,,,,,,,,,5394595,0,5950,6820
60.0,,healthy,,,,,,,,,,5394595,0,5950,6820
17.0,bronchial asthma,patients,GCBT completers,7.0,10.0,50.76,,,,,,5394595,0,5950,6820
31.0,anorexia nervosa,patients,AN-R,0.0,31.0,,,,,,behavioral,3913832,0,7409,9049
35.0,,healthy,,0.0,35.0,,,,,,behavioral,3913832,0,7409,9049
40.0,,healthy,,8.0,32.0,,25-63,25.0,63.0,,imaging,8172304,0,6637,7668
32.0,chronic urticaria,patients,,6.0,26.0,,25-65,25.0,65.0,,imaging,8172304,0,6637,7668
34.0,,healthy,younger adults,5.0,14.0,22.62,18-27,18.0,27.0,,imaging,3660406,0,12986,16917
34.0,,healthy,older adults,5.0,10.0,61.15,51-71,51.0,71.0,,imaging,3660406,0,12986,16917
30.0,chronic osteoarthritis,patients,,17.0,13.0,,43-70,43.0,70.0,,other,4175730,1,19248,20025
57.0,,healthy,,31.0,26.0,10.19,,,,,behavioral,7099000,1,8182,9167
20.0,,healthy,Christians,,,,18-30,18.0,30.0,,imaging,2748718,0,25958,29873
21.0,,healthy,Nonbelievers,,,,18-30,18.0,30.0,,imaging,2748718,0,25958,29873
28.0,ASD,patients,,,,,10-17,10.0,17.0,,imaging,5870086,0,9508,11703
147.0,MDD,patients,,50.0,97.0,,18-45,18.0,45.0,,imaging,5598991,0,7260,9372
130.0,,healthy,,49.0,81.0,,,,,,imaging,5598991,0,7260,9372
24.0,,healthy,right handed,12.0,12.0,,,,,,imaging,3362560,0,7514,9845
21.0,PTSD,patients,,6.0,15.0,21.5,18-31,18.0,31.0,,imaging,6024199,0,14405,15358
21.0,,healthy,trauma-exposed control,7.0,14.0,22.1,18-37,18.0,37.0,,imaging,6024199,0,14405,15358
21.0,problematic tinnitus,patients,,10.0,11.0,,,21.0,72.0,,imaging,6667657,0,7425,9782
17.0,Panic Disorder (PD),patients,,2.0,15.0,,,,,,behavioral,6382839,0,30626,32637
17.0,,healthy,,4.0,13.0,,,,,,behavioral,6382839,0,30626,32637
70.0,BD,patients,,,,37.0,18-65,18.0,65.0,,behavioral,6908505,0,7076,8109
18.0,,healthy,,18.0,0.0,25.11,21-33,21.0,33.0,,imaging,3409150,1,8569,9966
13.0,unilateral upper limb amputation with phantom limb pain,patients,,11.0,2.0,52.92,32-75,32.0,75.0,,imaging,2494616,0,8118,9527
6.0,,healthy,,,,43.0,30-56,30.0,56.0,,imaging,2494616,0,8118,9527
30.0,MDD,patients,,9.0,21.0,,18-45,18.0,45.0,,imaging,4869560,0,6957,9021
29.0,,healthy,,15.0,14.0,26.76,,,,,imaging,4869560,0,6957,9021
18.0,,healthy,,,,,,,,,imaging,2995581,0,24448,24931
72.0,ischemic stroke,patients,temporal lobe,,,,60-70,60.0,70.0,,imaging,5665859,0,7175,10809
72.0,ischemic stroke,patients,frontal lobe,,,,60-70,60.0,70.0,,imaging,5665859,0,7175,10809
72.0,ischemic stroke,patients,parietal lobe,,,,60-70,60.0,70.0,,imaging,5665859,0,7175,10809
72.0,ischemic stroke,patients,PSD,,,,60-70,60.0,70.0,,imaging,5665859,0,7175,10809
72.0,ischemic stroke,patients,non-PSD,,,,60-70,60.0,70.0,,imaging,5665859,0,7175,10809
15.0,,healthy,blank control,,,,60-70,60.0,70.0,,behavioral,5665859,0,7175,10809
20.0,fibromyalgia,patients,,0.0,20.0,46.4,22-70,22.0,70.0,,imaging,6820536,0,5393,6615
20.0,,healthy,,0.0,20.0,42.1,21-70,21.0,70.0,,imaging,6820536,0,5393,6615
34.0,schizophrenia,patients,,,,,,,,,imaging,5292583,0,6605,8461
35.0,,healthy,,,,,,,,,imaging,5292583,0,6605,8461
56.0,,healthy,,54.0,2.0,34.4,21-60,21.0,60.0,,imaging,5460049,0,6967,8342
12.0,,healthy,right handed,5.0,7.0,25.8,,,,,null,7649291,1,8416,8816
28.0,schizophrenia,patients,,,,,21-54,21.0,54.0,,other,8883821,0,7464,8764
20.0,autism spectrum disorder,patients,,,,,19-43,19.0,43.0,,other,8883821,0,7464,8764
30.0,,healthy,,,,,19-54,19.0,54.0,,other,8883821,0,7464,8764
20.0,,healthy,,14.0,6.0,24.0,20-34,20.0,34.0,,imaging,8764488,0,15910,17003
39.0,aphasia,patients,,,,,,,,,imaging,5266856,0,11355,12649
37.0,,healthy,,,,,,,,,imaging,5266856,0,11355,12649
11.0,,healthy,proficient,3.0,8.0,28.73,19-46,19.0,46.0,,imaging,3554651,0,39775,41437
10.0,,healthy,less-proficient,3.0,7.0,30.0,19-45,19.0,45.0,,imaging,3554651,0,39775,41437
14.0,congenitally profoundly deaf,patients,CS group,3.0,11.0,25.0,18-33,18.0,33.0,,other,5371603,1,25055,27824
15.0,,healthy,NH group,6.0,9.0,25.2,20-37,20.0,37.0,,other,5371603,1,25055,27824
24.0,,healthy,VPT,,,,,,,,imaging,4215530,0,10681,12744
22.0,,healthy,,,,,,,,,imaging,4215530,0,10681,12744
21.0,idiopathic PD,patients,,14.0,7.0,,,,,,imaging,3045463,0,6018,9180
19.0,,healthy,,12.0,7.0,,,,,,imaging,3045463,0,6018,9180
1185.0,,healthy,visual similarity rating task,616.0,569.0,30.1,18-53,18.0,53.0,,behavioral,5832413,0,59945,61874
1600.0,,healthy,semantic feature generation task,852.0,748.0,31.7,18-58,18.0,58.0,,behavioral,5832413,0,59945,61874
16.0,,healthy,,6.0,10.0,23.1,19-29,19.0,29.0,,imaging,5832413,0,59945,61874
157.0,,healthy,incarcerated,0.0,157.0,,18-50,18.0,50.0,,behavioral,4174863,0,7405,10633
46.0,,healthy,non-incarcerated,0.0,46.0,,18-50,18.0,50.0,,behavioral,4174863,0,7405,10633
17.0,aMCI or mAD,patients,aMCI or mAD,8.0,9.0,,65-81,65.0,81.0,,imaging,7838677,1,6036,9501
28.0,,healthy,,14.0,14.0,,55-81,55.0,81.0,,imaging,7838677,1,6036,9501
26.0,pED,patients,,26.0,0.0,26.8,,,,,imaging,6290711,2,7554,10763
26.0,,healthy,,26.0,0.0,28.5,,,,,imaging,6290711,2,7554,10763
18.0,,healthy,,,,,,,,,imaging,7851842,0,9615,11713
17.0,schizophrenia or schizoaffective disorder,patients,,,,,,,,,imaging,7851842,0,9615,11713
32.0,chronic left-hemisphere stroke,patients,,27.0,5.0,62.0,11-56,11.0,56.0,27.0,imaging,4473263,0,8398,9988
18.0,,healthy,,8.0,10.0,63.0,9,9.0,9.0,9.0,imaging,4473263,0,8398,9988
103.0,,healthy,,52.0,51.0,32.5,,,,,imaging,3334814,0,8117,11961
12.0,,healthy,controls,7.0,5.0,,19-32,19.0,32.0,,imaging,3791281,0,6198,9421
12.0,,healthy,binge drinkers,7.0,5.0,,19-32,19.0,32.0,,imaging,3791281,0,6198,9421
24.0,internet addiction,patients,,14.0,10.0,20.58,,,,,behavioral,8939409,0,8544,9896
23.0,,healthy,,10.0,13.0,21.13,,,,,behavioral,8939409,0,8544,9896
54.0,CUD,patients,CUs,,,,18-45,18.0,45.0,,imaging,8459240,1,7650,8658
54.0,,healthy,nonCUs,,,,18-45,18.0,45.0,,imaging,8459240,1,7650,8658
63.0,,healthy,,36.0,27.0,,,,,,behavioral,7913329,0,10518,11796
8.0,right-sided cerebral palsy,patients,,3.0,5.0,,10-30,10.0,30.0,,imaging,6878729,1,7912,9122
17.0,DLB,patients,,13.0,4.0,71.88,60-82,60.0,82.0,,behavioral,6902076,1,6917,8222
20.0,,healthy,,9.0,11.0,67.8,56-77,56.0,77.0,,behavioral,6902076,1,6917,8222
53.0,T2DM,patients,T2DM-CI,,,,45-75,45.0,75.0,,behavioral,7829678,0,7017,9210
53.0,T2DM,patients,T2DM-NC,,,,45-75,45.0,75.0,,behavioral,7829678,0,7017,9210
39.0,,healthy,HC,,,,45-75,45.0,75.0,,behavioral,7829678,0,7017,9210
45.0,MDD,patients,mild-moderate,16.0,29.0,37.11,19-58,19.0,58.0,,imaging,4983635,0,8102,10652
19.0,,healthy,,8.0,11.0,33.0,20-52,20.0,52.0,,imaging,4983635,0,8102,10652
50.0,relapsing-remitting MS,patients,,,,,18-55,18.0,55.0,,imaging,6200185,0,7655,8461
25.0,,healthy,,,,,18-55,18.0,55.0,,imaging,6200185,0,7655,8461
46.0,,healthy,,32.0,14.0,22.61,,,,,behavioral,7745153,0,9299,12877
28.0,,healthy,,15.0,13.0,26.39,,,,,imaging,7481390,1,8040,10638
16.0,DLB,patients,,,,,,,,,imaging,3984441,0,7293,9018
17.0,,healthy,,,,,,,,,imaging,3984441,0,7293,9018
50.0,IPD,patients,,,,,,,,,,6675526,0,4609,5604
20.0,,healthy,,11.0,9.0,54.6,,,,,,6675526,0,4609,5604
24.0,FD-PDS with comorbid MDD,patients,FD-PDS-MDD,0.0,24.0,42.44,,,,,imaging,7518235,1,18065,18709
24.0,FD-PDS without MDD,patients,FD-PDS,0.0,24.0,42.44,,,,,imaging,7518235,1,18065,18709
24.0,,healthy,HC,0.0,24.0,42.44,,,,,imaging,7518235,1,18065,18709
33.0,,healthy,,19.0,14.0,29.4,,,,,imaging,4416052,0,5666,9459
53.0,SAD,patients,generalized subtype,36.0,17.0,29.9,,,,,imaging,4416052,0,5666,9459
17.0,,healthy,,8.0,9.0,7.4,6.9-7.8,6.0,8.0,,behavioral,3780305,0,14497,15232
13.0,chronic pain,patients,,4.0,9.0,51.8,43-65,43.0,65.0,,other,4048172,0,8990,10646
13.0,,healthy,,4.0,9.0,48.7,38-62,38.0,62.0,,other,4048172,0,8990,10646
7.0,,healthy,HCD,2.0,5.0,31.29,,,,,imaging,7758977,0,6078,7557
6.0,,healthy,fasting,1.0,5.0,29.19,,,,,imaging,7758977,0,6078,7557
15.0,,healthy,,15.0,0.0,26.0,,,,,imaging,5270359,0,8450,9492
16.0,,healthy,,12.0,4.0,,18-40,18.0,40.0,,imaging,6787094,0,37350,38168
35.0,SCD,patients,,,,,,,,,behavioral,7090024,1,5511,6530
32.0,,healthy,,,,,,,,,behavioral,7090024,1,5511,6530
42.0,Parkinson's Disease,patients,,,,,,,,,imaging,6389716,0,8216,9580
40.0,,healthy,,,,,,,,,imaging,6389716,0,8216,9580
14.0,,healthy,right-handed,6.0,8.0,24.8,22-29,22.0,29.0,,other,3078751,0,10341,10716
46.0,schizophrenia,patients,,,,,18-37,18.0,37.0,,other,6197719,0,10028,12384
46.0,,healthy,unaffected siblings,,,,18-37,18.0,37.0,,other,6197719,0,10028,12384
46.0,,healthy,healthy controls,,,,18-37,18.0,37.0,,other,6197719,0,10028,12384
39.0,mild WMHs,patients,mild,,,,40-80,40.0,80.0,,imaging,8315277,1,7581,10145
37.0,moderate WMHs,patients,moderate,,,,40-80,40.0,80.0,,imaging,8315277,1,7581,10145
28.0,severe WMHs,patients,severe,,,,40-80,40.0,80.0,,imaging,8315277,1,7581,10145
37.0,,healthy,,,,,,,,,imaging,8315277,1,7581,10145
10.0,MJ abuse,patients,MJ users,8.0,2.0,,,,,,imaging,3742334,0,7512,11306
18.0,,healthy,nonusing comparison subjects,11.0,7.0,,,,,,imaging,3742334,0,7512,11306
23.0,AN,patients,,0.0,23.0,,,,,,imaging,4530666,1,9512,12494
24.0,,healthy,,0.0,24.0,,,,,,imaging,4530666,1,9512,12494
6.0,,healthy,,5.0,1.0,,22-35,22.0,35.0,,imaging,3894920,0,10745,11773
30.0,,healthy,,10.0,20.0,,18-25,18.0,25.0,,behavioral,5881103,0,15988,18765
11.0,depression,patients,MDD and BPD depression,5.0,6.0,61.0,61-61,61.0,61.0,61.0,imaging,4589842,0,6061,7568
11.0,,healthy,,5.0,6.0,56.0,56-56,56.0,56.0,56.0,imaging,4589842,0,6061,7568
19.0,MDD,patients,,,,,18-55,18.0,55.0,,imaging,7875881,0,7093,8833
17.0,,healthy,,,,,18-55,18.0,55.0,,imaging,7875881,0,7093,8833
30.0,"ADHD, hyperactive-impulsive/inattentive combined subtype",patients,,30.0,0.0,,10-17,10.0,17.0,,imaging,4190683,0,9065,12151
30.0,,healthy,,30.0,0.0,,10-17,10.0,17.0,,imaging,4190683,0,9065,12151
27.0,left hemisphere infarcts,patients,,17.0,10.0,59.1,,,,,imaging,5903407,0,7983,10239
24.0,,healthy,,20.0,4.0,57.0,,,,,behavioral,5903407,0,7983,10239
30.0,HFS,patients,left-side HFS,12.0,18.0,48.87,,,,,imaging,8569140,1,6781,8456
30.0,,healthy,,12.0,18.0,47.63,,,,,imaging,8569140,1,6781,8456
30.0,,healthy,,9.0,21.0,30.41,,,,,imaging,8018944,0,8670,11952
26.0,happy,healthy,happy,,,,,,,,imaging,3893192,1,6340,7837
25.0,unhappy,healthy,unhappy,,,,,,,,imaging,3893192,1,6340,7837
223.0,mood and/or anxiety disorder,patients,,61.0,162.0,36.0,25-47,25.0,47.0,,imaging,7082218,0,14245,17478
45.0,,healthy,,22.0,23.0,32.0,21-43,21.0,43.0,,imaging,7082218,0,14245,17478
90.0,,healthy,CON,,,,,,,,imaging,7416060,0,8377,10336
54.0,,healthy,CAN,,,,,,,,imaging,7416060,0,8377,10336
24.0,,healthy,right-handed,12.0,12.0,26.0,23-34,23.0,34.0,,imaging,3502502,0,6711,7624
46.0,,healthy,right-handed,21.0,25.0,30.0,19-63,19.0,63.0,,imaging,3502502,0,6711,7624
24.0,,healthy,,12.0,12.0,25.3,21-34,21.0,34.0,,behavioral,7994216,0,12556,14217
12.0,,healthy,young adults,8.0,4.0,25.2,,,,,behavioral,6585311,1,8877,12685
10.0,chronic post-stroke hemiparesis,patients,,6.0,4.0,66.7,,,,,behavioral,6585311,1,8877,12685
9.0,,healthy,age-matched controls,4.0,5.0,64.2,,,,,behavioral,6585311,1,8877,12685
53.0,mTBI,patients,,25.0,28.0,,20-58,20.0,58.0,,imaging,7539836,0,6826,8200
43.0,,healthy,,19.0,24.0,,20-59,20.0,59.0,,imaging,7539836,0,6826,8200
31.0,,healthy,,17.0,14.0,21.5,20-23,20.0,23.0,,imaging,5339238,1,10037,12304
160.0,,healthy,,115.0,45.0,37.04,19-59,19.0,59.0,,imaging,7721229,0,10065,13228
151.0,SZ,patients,,115.0,36.0,38.77,18-62,18.0,62.0,,imaging,7721229,0,10065,13228
