count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,id
15.0,low risk,controls,matched,0.0,15.0,,,,,,pmid_28372994
89.0,ASD,patients,,,,,,,,,pmid_21850664
52.0,,healthy,,,,,,,,,pmid_21850664
18.0,chronic low back pain,patients,,,,,,,,,pmid_21593339
14.0,chronic low back pain,patients,,,,,,,,,pmid_21593339
16.0,,healthy,,,,,,,,,pmid_21593339
50.0,high-functioning ASD,patients,adults,50.0,0.0,,,,,,pmid_26023326
50.0,,healthy,adults,50.0,0.0,,,,,,pmid_26023326
24.0,MDD,patients,"first-episode, drug-naive",,,,,,,,pmid_23159796
24.0,,healthy,,,,,,,,,pmid_23159796
20.0,schizophrenia,patients,chronic schizophrenia,10.0,10.0,35.0,25-45,25.0,45.0,35.0,pmid_22209236
20.0,,healthy,healthy adults,10.0,10.0,30.0,20-40,20.0,40.0,30.0,pmid_22209236
20.0,ASD,patients,,,,11.3,,,,,pmid_30456855
20.0,,healthy,,,,11.4,,,,,pmid_30456855
50.0,,healthy,group 1,25.0,25.0,30.0,20-40,20.0,40.0,30.0,pmid_18556560
60.0,patients,patients,group 2,30.0,30.0,45.0,35-55,35.0,55.0,45.0,pmid_18556560
2.0,healthy,patients,group 1,1.0,1.0,30.0,20-40,20.0,40.0,30.0,pmid_24204226
3.0,,healthy,group 2,2.0,1.0,35.0,30-40,30.0,40.0,35.0,pmid_24204226
30.0,healthy,patients,Group A,15.0,15.0,25.0,20-30,20.0,30.0,25.0,pmid_19240137
40.0,patients,patients,Group B,20.0,20.0,35.0,30-40,30.0,40.0,35.0,pmid_19240137
12.0,migraine without aura,patients,MWoA,,,,,,,,pmid_25916336
12.0,,healthy,,,,,,,,,pmid_25916336
20.0,BPD,patients,,10.0,10.0,35.0,25-45,25.0,45.0,30.0,pmid_22870240
20.0,,healthy,,10.0,10.0,30.0,20-40,20.0,40.0,25.0,pmid_22870240
30.0,schizophrenia,patients,high avolition scores,15.0,15.0,35.0,25-45,25.0,45.0,35.0,pmid_25577954
40.0,schizophrenia,patients,low avolition scores,20.0,20.0,30.0,20-40,20.0,40.0,30.0,pmid_25577954
50.0,schizophrenia,patients,deficit schizophrenia,25.0,25.0,40.0,30-50,30.0,50.0,40.0,pmid_25577954
60.0,,healthy,,30.0,30.0,28.0,18-38,18.0,38.0,28.0,pmid_25577954
438.0,PTSD,patients,adult patients,,,,,,,,pmid_34979190
396.0,,healthy,non-PTSD trauma-exposed controls,,,,,,,,pmid_34979190
36.0,,healthy,subjects,,,,,,,,pmid_22136749
50.0,,healthy,control,25.0,25.0,30.0,20-40,20.0,40.0,30.0,pmid_24382784
60.0,patients,patients,experimental,35.0,25.0,45.0,35-55,35.0,55.0,45.0,pmid_24382784
8.0,normal,subjects,human,,,,,,,,pmid_11553288
23.0,major depressive disorder,patients,unmedicated,,,,,,,,pmid_18433774
25.0,,healthy,matched,,,,,,,,pmid_18433774
50.0,healthy,patients,group 1,25.0,25.0,35.0,20-50,20.0,50.0,30.0,pmid_20463224
40.0,,healthy,group 2,20.0,20.0,45.0,30-60,30.0,60.0,40.0,pmid_20463224
20.0,healthy,patients,group 1,10.0,10.0,35.0,25-45,25.0,45.0,30.0,pmid_17298595
15.0,patients,patients,group 2,8.0,7.0,40.0,30-50,30.0,50.0,45.0,pmid_17298595
12.0,Parkinson's disease with freezing of gait,patients,with freezing of gait,6.0,6.0,65.0,50-75,50.0,75.0,65.0,pmid_21126990
12.0,Parkinson's disease without freezing of gait,patients,without freezing of gait,6.0,6.0,68.0,55-80,55.0,80.0,68.0,pmid_21126990
21.0,,healthy,,10.0,11.0,60.0,45-70,45.0,70.0,60.0,pmid_21126990
29.0,ADHD,patients,boys,29.0,0.0,,,,,,pmid_23696841
29.0,,healthy,age-matched,29.0,0.0,,,,,,pmid_23696841
19.0,ASD,patients,boys,19.0,0.0,,,,,,pmid_23696841
27.0,migraine without aura,patients,,,,,,,,,pmid_35031640
27.0,,healthy,,,,,,,,,pmid_35031640
12.0,reading difficulties,patients,,,,12.4,8.11-14.10,8.11,14.1,,pmid_18226833
12.0,,healthy,,,,12.3,8.9-14.11,8.9,14.11,,pmid_18226833
29.0,Parkinson's disease with depression,patients,PD-Dep,,,,,,,,pmid_24227759
30.0,Parkinson's disease without depression,patients,PD-NDep,,,,,,,,pmid_24227759
30.0,,healthy,,,,,,,,,pmid_24227759
17.0,lower limb amputation,patients,right lower limb amputation,,,,,,,,pmid_26587289
18.0,,healthy,,,,,,,,,pmid_26587289
39.0,Internet gaming disorder,patients,male,39.0,0.0,,,,,,pmid_26732520
23.0,,healthy,male,23.0,0.0,,,,,,pmid_26732520
1.0,,healthy,,,,,,,,,pmid_15275919
50.0,healthy,patients,Group A,25.0,25.0,35.0,20-50,20.0,50.0,30.0,pmid_20570738
40.0,,healthy,Group B,20.0,20.0,45.0,30-60,30.0,60.0,40.0,pmid_20570738
32.0,GAD,patients,,,,,,,,,pmid_31353828
30.0,IGD,patients,males,30.0,0.0,,,,,,pmid_25448779
30.0,,healthy,,,,,,,,,pmid_25448779
26.0,T2DM with microangiopathy,patients,M(+),26.0,0.0,,,,,,pmid_26860674
22.0,T2DM without microangiopathy,patients,M(-),22.0,0.0,,,,,,pmid_26860674
28.0,,healthy,,,,,,,,,pmid_26860674
16.0,medical cases,clinical neurologists,highly experienced,,,,,,,,pmid_32954284
488.0,OCD,patients,,,,,,,,,pmid_32275111
519.0,,healthy,,,,,,,,,pmid_32275111
10.0,,healthy,,4.0,6.0,,,,,,pmid_16949303
1.0,,healthy,,,,,,,,,pmid_19353225
1.0,Kennedy syndrome,patients,,,,,,,,,pmid_19353225
1.0,ALS patients without bulbar involvement,patients,,,,,,,,,pmid_19353225
1.0,ALS patients with bulbar involvement,patients,,,,,,,,,pmid_19353225
50.0,healthy,patients,Group A,25.0,25.0,35.0,20-50,20.0,50.0,30.0,pmid_30219291
60.0,patients,patients,Group B,30.0,30.0,45.0,30-60,30.0,60.0,40.0,pmid_30219291
32.0,"drug-naive, first-episode schizophrenia",patients,sample 1,,,,,,,,pmid_31307956
44.0,"drug-naive, first-episode schizophrenia",patients,sample 2,,,,,,,,pmid_31307956
23.0,depressive patients,patients,,,,,,,,,pmid_23327934
15.0,,healthy,,,,,,,,,pmid_23327934
16.0,social anxiety disorder,patients,,,,,,,,,pmid_20141305
31.0,,healthy,,,,,,,,,pmid_20561898
49.0,schizophrenia,patients,"first-episode, medication-naive",,,,,,,,pmid_25982002
50.0,healthy,controls,"age-, sex-, and education-matched",,,,,,,,pmid_25982002
20.0,,healthy,group 1,10.0,10.0,30.0,20-40,20.0,40.0,25.0,pmid_14523069
15.0,patients,patients,group 2,8.0,7.0,45.0,40-50,40.0,50.0,47.0,pmid_14523069
22.0,,healthy,,12.0,10.0,17.0,16-18,16.0,18.0,17.0,pmid_21134014
16.0,binge drinkers,patients,,10.0,6.0,17.0,16-18,16.0,18.0,17.0,pmid_21134014
8.0,marijuana users,patients,,4.0,4.0,17.0,16-18,16.0,18.0,17.0,pmid_21134014
28.0,binge drinking marijuana users,patients,,16.0,12.0,17.0,16-18,16.0,18.0,17.0,pmid_21134014
13.0,mild AD,patients,,,,,,,,,pmid_16473024
13.0,healthy,controls,age-matched,,,,,,,,pmid_16473024
20.0,ALS,patients,,,,,,,,,pmid_19416664
20.0,healthy,controls,,,,,,,,,pmid_19416664
15.0,ASD,patients,high functioning adolescents,,,,,,,,pmid_25170555
15.0,,healthy,same-age,,,,,,,,pmid_25170555
18.0,pathological gamblers,patients,,12.0,6.0,35.0,20-50,20.0,50.0,30.0,pmid_23757765
20.0,,healthy,,10.0,10.0,30.0,25-40,25.0,40.0,28.0,pmid_23757765
22.0,,healthy,,,,,,,,,pmid_15588615
50.0,,healthy,control,25.0,25.0,30.0,20-40,20.0,40.0,30.0,pmid_31607840
60.0,patients,patients,treatment,35.0,25.0,45.0,35-55,35.0,55.0,45.0,pmid_31607840
17.0,problem gamblers,patients,non-smoking,,,,,,,,pmid_20840335
18.0,heavy smokers,patients,non-gambling,,,,,,,,pmid_20840335
17.0,,healthy,non-gambling and non-smoking,,,,,,,,pmid_20840335
19.0,JME,patients,,,,,,,,,pmid_19490045
20.0,,healthy,,,,,,,,,pmid_19490045
50.0,healthy,patients,group 1,25.0,25.0,30.0,20-40,20.0,40.0,30.0,pmid_25876179
60.0,patients,patients,group 2,30.0,30.0,35.0,25-45,25.0,45.0,35.0,pmid_25876179
20.0,,healthy,short-term learning,10.0,10.0,25.0,20-30,20.0,30.0,25.0,pmid_15716371
15.0,patients,patients,short-term learning,8.0,7.0,35.0,30-40,30.0,40.0,35.0,pmid_15716371
20.0,,healthy,short-term learning after prior exposure,12.0,8.0,28.0,25-35,25.0,35.0,28.0,pmid_15716371
15.0,patients,patients,short-term learning after prior exposure,7.0,8.0,40.0,35-45,35.0,45.0,40.0,pmid_15716371
25.0,,healthy,long-term learning,15.0,10.0,30.0,25-35,25.0,35.0,30.0,pmid_15716371
18.0,patients,patients,long-term learning,10.0,8.0,45.0,40-50,40.0,50.0,45.0,pmid_15716371
14.0,,healthy,,,,,,,,,pmid_15691521
15.0,,healthy,fasted,15.0,0.0,,,,,,pmid_29426874
25.0,T2DM patients with MCI,patients,DM-MCI,,,,,,,,pmid_33277510
25.0,T2DM patients with normal cognition,patients,DM-NC,,,,,,,,pmid_33277510
27.0,,healthy,,,,,,,,,pmid_33277510
10.0,aMCI,patients,,5.0,5.0,65.0,60-70,60.0,70.0,65.0,pmid_31038547
10.0,,healthy,,5.0,5.0,60.0,55-65,55.0,65.0,60.0,pmid_31038547
100.0,healthy,patients,healthy,50.0,50.0,35.0,20-50,20.0,50.0,30.0,pmid_22209784
12.0,euthymic bipolar disorder,patients,right-handed euthymic bipolar I males receiving lithium carbonate monotherapy,12.0,0.0,,,,,,pmid_15541071
12.0,,healthy,,,,,,,,,pmid_15541071
58.0,,healthy,,,,,,,,,pmid_23144849
12.0,normal,volunteers,normal,,,,,,,,pmid_9869705
20.0,PD patients,patients,PD patients,10.0,10.0,65.0,50-80,50.0,80.0,68.0,pmid_29744796
20.0,,healthy,controls,10.0,10.0,68.0,55-75,55.0,75.0,70.0,pmid_29744796
50.0,,healthy,control,25.0,25.0,30.0,20-40,20.0,40.0,30.0,pmid_19129383
60.0,patients,patients,experimental,30.0,30.0,35.0,25-45,25.0,45.0,35.0,pmid_19129383
19.0,diabetic retinopathy and nephropathy,patients,,,,,,,,,pmid_31462942
19.0,,healthy,,,,,,,,,pmid_31462942
24.0,SZ,patients,,,,,,,,,pmid_32440588
24.0,MDD,patients,,,,,,,,,pmid_32440588
24.0,,healthy,,,,,,,,,pmid_32440588
16.0,addicted,patients,MMORPG players,,,,,,,,pmid_25123348
17.0,,healthy,gamers,,,,,,,,pmid_25123348
20.0,healthy,patients,Group A,10.0,10.0,35.0,25-45,25.0,45.0,30.0,pmid_16504223
15.0,patients,patients,Group B,8.0,7.0,42.0,35-50,35.0,50.0,45.0,pmid_16504223
44.0,end-stage renal disease (ESRD),patients,PD,,,,,,,,pmid_26053309
24.0,end-stage renal disease (ESRD),patients,nondialysis,,,,,,,,pmid_26053309
24.0,,healthy,,,,,,,,,pmid_26053309
13.0,schizophrenia,patients,medicated,13.0,0.0,,,,,,pmid_17473838
13.0,,healthy,matched,13.0,0.0,,,,,,pmid_17473838
48.0,amnestic-mild cognitive impairment (aMCI),patients,,,,,,,,,pmid_20085788
36.0,,healthy,,,,,,,,,pmid_20085788
37.0,,healthy,,,,,,,,,pmid_34220418
39.0,SCD,patients,,,,,,,,,pmid_34220418
28.0,aMCI,patients,,,,,,,,,pmid_34220418
30.0,generalized social phobia,patients,phobic group,15.0,15.0,35.0,20-50,20.0,50.0,30.0,pmid_17097275
30.0,,healthy,matched healthy controls,15.0,15.0,30.0,25-40,25.0,40.0,35.0,pmid_17097275
6.0,normal,volunteers,normal volunteers,3.0,3.0,30.0,20-40,20.0,40.0,30.0,pmid_9125463
48.0,migraineurs without aura,patients,MWoAs,,,,,,,,pmid_32562320
48.0,,healthy,,,,,,,,,pmid_32562320
13.0,healthy,patients,adults,,,,,,,,pmid_12681347
19.0,schizophrenia,patients,MZ twin pairs concordant for schizophrenia,,,,,,,,pmid_17404117
15.0,schizophrenia,patients,MZ schizophrenic twins,,,,,,,,pmid_17404117
16.0,nonschizophrenic,patients,MZ nonschizophrenic twins drawn from discordant pairs,,,,,,,,pmid_17404117
27.0,,healthy,MZ twin pairs without schizophrenia,,,,,,,,pmid_17404117
18.0,bipolar,patients,pediatric,,,,,,,,pmid_22535257
17.0,bipolar,patients,adult,,,,,,,,pmid_22535257
15.0,,healthy,child,,,,,,,,pmid_22535257
22.0,,healthy,adult,,,,,,,,pmid_22535257
50.0,autism spectrum disorders,patients,ASD,30.0,20.0,25.0,18-40,18.0,40.0,26.0,pmid_20945256
50.0,,healthy,control,25.0,25.0,28.0,20-45,20.0,45.0,29.0,pmid_20945256
10.0,,healthy,,5.0,5.0,30.0,20-40,20.0,40.0,30.0,pmid_16842821
10.0,DSM-IV schizophrenia patients,patients,,5.0,5.0,35.0,25-45,25.0,45.0,35.0,pmid_16842821
21.0,generalized anxiety disorder (GAD),patients,with and without major depressive disorder (MDD),,,,,,,,pmid_30778290
10.0,overweight or obese,patients,otherwise healthy men,10.0,0.0,,,,,,pmid_28930284
50.0,Alzheimer's disease,patients,Group A,20.0,30.0,70.0,60-80,60.0,80.0,70.0,pmid_21371747
50.0,,healthy,Group B,25.0,25.0,65.0,50-75,50.0,75.0,65.0,pmid_21371747
17.0,,healthy,,17.0,0.0,,,,,,pmid_19957268
16.0,,healthy,,0.0,16.0,,,,,,pmid_19957268
20.0,Carpal Tunnel Syndrome,patients,baseline,10.0,10.0,45.0,30-60,30.0,60.0,42.0,pmid_17240066
20.0,Carpal Tunnel Syndrome,patients,after acupuncture therapy,10.0,10.0,47.0,35-65,35.0,65.0,50.0,pmid_17240066
20.0,healthy,controls,,10.0,10.0,40.0,25-55,25.0,55.0,38.0,pmid_17240066
20.0,,healthy,,7.0,13.0,,,,,,pmid_32350038
17.0,healthy,patients,weight,0.0,17.0,,,,,,pmid_22997054
10.0,healthy,patients,postmenopausal women,0.0,10.0,58.0,56-60 years,56.0,60.0,58.0,pmid_18692790
16.0,BPD,patients,female,0.0,16.0,,,,,,pmid_23459637
24.0,,healthy,age-matched,0.0,24.0,,,,,,pmid_23459637
18.0,,healthy,,,,,,,,,pmid_17588776
16.0,,subjects,,,,,,,,,pmid_17588776
20.0,,healthy,adults,10.0,10.0,30.0,20-40,20.0,40.0,25.0,pmid_17651709
40.0,,healthy,,,,,,,,,pmid_27856343
20.0,cocaine-dependent,patients,,15.0,5.0,35.0,25-45,25.0,45.0,30.0,pmid_31420667
24.0,,healthy,,12.0,12.0,30.0,20-40,20.0,40.0,25.0,pmid_31420667
50.0,healthy,patients,group 1,25.0,25.0,30.0,20-40,20.0,40.0,30.0,pmid_26170004
60.0,patients,patients,group 2,30.0,30.0,35.0,25-45,25.0,45.0,35.0,pmid_26170004
14.0,,healthy,,,,14.1,2.4 years,,,,pmid_20973710
17.0,unmedicated PBD patients with manic or hypomanic episodes,patients,,,,14.3,1.1 years,,,,pmid_20973710
20.0,ADHD,patients,adults,10.0,10.0,30.0,25-35 years,25.0,35.0,30.0,pmid_20569650
20.0,healthy,controls,adults,,,,,,,,pmid_20569650
10.0,adolescents,patients,adolescents,5.0,5.0,14.0,12-16,12.0,16.0,14.0,pmid_20035016
10.0,adults,patients,adults,5.0,5.0,30.0,24-36,24.0,36.0,30.0,pmid_20035016
17.0,SMD,patients,,,,,,,,,pmid_26137973
20.0,,healthy,,,,,,,,,pmid_26137973
16.0,sALS,patients,,,,,,,,,pmid_16647577
13.0,healthy,controls,,,,,,,,,pmid_16647577
21.0,BN patients,patients,,,,,,,,,pmid_24238299
23.0,,healthy,,,,,,,,,pmid_24238299
17.0,,healthy,,,,,,,,,pmid_32980596
107.0,,healthy,,,,,,,,,pmid_32980596
56.0,,healthy,,,,,,,,,pmid_32980596
17.0,unresponsive wakefulness syndrome (UWS),patients,UWS,,,,,,,,pmid_22039473
8.0,minimally conscious state (MCS),patients,MCS,,,,,,,,pmid_22039473
25.0,,healthy,,,,,,,,,pmid_22039473
19.0,major depression,patients,medication-free,19.0,0.0,,,,,,pmid_20941370
19.0,,healthy,age- and gender-matched,19.0,0.0,,,,,,pmid_20941370
20.0,marijuana users,patients,marijuana-using young adults,,,,,,,,pmid_26977454
22.0,,healthy,non-using controls,,,,,,,,pmid_26977454
50.0,Alzheimer's disease,patients,T3D,25.0,25.0,70.0,60-80,60.0,80.0,70.0,pmid_32365816
20.0,healthy,patients,group 1,10.0,10.0,35.0,25-45,25.0,45.0,30.0,pmid_19350547
15.0,,healthy,group 2,8.0,7.0,42.0,35-50,35.0,50.0,45.0,pmid_19350547
17.0,ADHD,patients,Japanese children,,,10.3,,,,,pmid_26576742
15.0,,healthy,TD children,,,12.8,,,,,pmid_26576742
33.0,AD,patients,AD patients,,,,,,,,pmid_30958354
24.0,LMCI,patients,LMCI patients,,,,,,,,pmid_30958354
25.0,,healthy,normal control subjects,,,,,,,,pmid_30958354
29.0,Disruptive Behavior Disorders (DBDs),patients,,,,,,,,,pmid_28971003
20.0,,healthy,,,,,,,,,pmid_28971003
18.0,schizophrenia,patients,patients,,,,,,,,pmid_19016669
21.0,,healthy,controls,,,,,,,,pmid_19016669
15.0,depressive illness,patients,,,,,,,,,pmid_17586866
14.0,healthy,controls,,,,,,,,,pmid_17586866
18.0,Internet addiction,patients,IA adolescents,,,,,,,,pmid_19926237
15.0,,healthy,controls,,,,,,,,pmid_19926237
17.0,Parkinson's disease,patients,nondepressed and nondemented,,,,,,,,pmid_26497912
22.0,,healthy,,,,,,,,,pmid_26497912
50.0,healthy,patients,group 1,25.0,25.0,35.0,20-50,20.0,50.0,30.0,pmid_17499170
30.0,patients,patients,group 2,15.0,15.0,45.0,30-60,30.0,60.0,40.0,pmid_17499170
10.0,pathological gamblers,patients,,10.0,0.0,,,,,,pmid_25277841
10.0,,healthy,,10.0,0.0,,,,,,pmid_25277841
24.0,schizophrenia,patients,,,,,,,,,pmid_21903198
24.0,,healthy,,,,,,,,,pmid_21903198
24.0,,healthy,,,,,,,,,pmid_21903198
55.0,,healthy,,,,,,,,,pmid_25394198
824.0,Alzheimer disease,participants,older,,,,,,,,pmid_15148141
36.0,,healthy,,,,,,,,,pmid_21698705
20.0,,healthy,novices,10.0,10.0,25.0,20-30,20.0,30.0,25.0,pmid_22659025
30.0,patients,patients,experts,15.0,15.0,35.0,30-40,30.0,40.0,35.0,pmid_22659025
17.0,conduct problems and elevated levels of callous-unemotional traits,patients,boys,17.0,0.0,11.0,,,,,pmid_18923070
13.0,,healthy,boys,13.0,0.0,11.0,,,,,pmid_18923070
7.0,motor,patients,motor,,,,,,,,pmid_18835452
2.0,somatosensory,patients,somatosensory,,,,,,,,pmid_18835452
11.0,language,patients,language,,,,,,,,pmid_18835452
8.0,verbal working memory,patients,verbal working memory,,,,,,,,pmid_18835452
8.0,spatial,patients,spatial,,,,,,,,pmid_18835452
8.0,executive function,patients,executive function,,,,,,,,pmid_18835452
9.0,emotional processing,patients,emotional processing,,,,,,,,pmid_18835452
10.0,,healthy,,4.0,6.0,23.0,20-34,20.0,34.0,23.0,pmid_27002910
20.0,healthy,patients,group 1,10.0,10.0,35.0,20-50,20.0,50.0,30.0,pmid_22387620
15.0,,healthy,group 2,8.0,7.0,42.0,30-60,30.0,60.0,45.0,pmid_22387620
24.0,depressive,patients,after follow-ups,,,,,,,,pmid_30890964
13.0,,healthy,control,,,,,,,,pmid_30890964
30.0,amyotrophic lateral sclerosis (ALS),patients,,,,,,,,,pmid_25875284
30.0,healthy,controls,,,,,,,,,pmid_25875284
22.0,schizophrenia,patients,smokers,,,,,,,,pmid_30511111
27.0,schizophrenia,patients,non-smokers,,,,,,,,pmid_30511111
22.0,healthy,controls,smokers,,,,,,,,pmid_30511111
21.0,healthy,controls,non-smokers,,,,,,,,pmid_30511111
20.0,PD-A,patients,,,,,,,,,pmid_32848582
13.0,Hispanic women,participants,,0.0,13.0,,,,,,pmid_23408738
13.0,,healthy,observers,,,,,,,,pmid_15670699
19.0,ADHD,patients,drug-nave,,,,,,,,pmid_27469397
18.0,,healthy,,,,,,,,,pmid_27469397
1.0,vegetative state,patients,OG,,,,,,,,pmid_16350974
15.0,musculoskeletal pain diseases,patients,,,,,,,,,pmid_35937886
12.0,MDD,patients,,6.0,6.0,35.0,25-45,25.0,45.0,30.0,pmid_15993859
12.0,,healthy,,6.0,6.0,30.0,20-40,20.0,40.0,25.0,pmid_15993859
10.0,,healthy,adults,5.0,5.0,30.0,20-40,20.0,40.0,30.0,pmid_18571795
20.0,alcohol dependence,patients,,,,,,,,,pmid_17951002
20.0,,healthy,,,,,,,,,pmid_17951002
24.0,episodic migraineurs,patients,,,,,,,,,pmid_34800989
31.0,,healthy,,,,,,,,,pmid_34800989
32.0,"drug-naive, first-episode schizophrenia",patients,,,,,,,,,pmid_31649567
32.0,,healthy,,,,,,,,,pmid_31649567
693.0,T2DM,patients,,,,,,,,,pmid_33862036
684.0,,healthy,,,,,,,,,pmid_33862036
16.0,marijuana use,patients,adolescents,,,,,,,,pmid_17558500
17.0,,healthy,adolescents,,,,,,,,pmid_17558500
13.0,type 2 diabetes mellitus,patients,,,,,,,,,pmid_35250549
38.0,first-episode schizophrenia,patients,antipsychotic-naive,,,,,,,,pmid_26599135
38.0,healthy,controls,matched,,,,,,,,pmid_26599135
20.0,healthy,patients,group1,10.0,10.0,35.0,20-50,20.0,50.0,30.0,pmid_12595206
15.0,,healthy,group2,8.0,7.0,42.0,30-60,30.0,60.0,45.0,pmid_12595206
17.0,schizophrenia,patients,outpatients,,,,,,,,pmid_27837680
17.0,,healthy,controls,,,,,,,,pmid_27837680
20.0,overweight,patients,adolescents,10.0,10.0,16.0,13-18,13.0,18.0,16.0,pmid_25994961
20.0,,healthy,adolescents,10.0,10.0,15.0,13-17,13.0,17.0,15.0,pmid_25994961
30.0,healthy,patients,young,15.0,15.0,25.0,20-30,20.0,30.0,25.0,pmid_20079855
20.0,,healthy,old,10.0,10.0,65.0,60-70,60.0,70.0,65.0,pmid_20079855
55.0,,healthy,healthy,,,,,,,,pmid_12030820
16.0,IGD,patients,,,,,,,,,pmid_25689820
14.0,AUD,patients,,,,,,,,,pmid_25689820
15.0,,healthy,,,,,,,,,pmid_25689820
50.0,Alzheimer's disease,patients,Group A,20.0,30.0,65.0,50-80,50.0,80.0,68.0,pmid_28034760
40.0,,healthy,Group B,15.0,25.0,60.0,45-75,45.0,75.0,62.0,pmid_28034760
20.0,,healthy,control,10.0,10.0,30.0,20-40,20.0,40.0,30.0,pmid_34646018
30.0,patients,patients,treatment,15.0,15.0,45.0,35-55,35.0,55.0,45.0,pmid_34646018
21.0,FM patients,patients,female,0.0,21.0,,,,,,pmid_24040178
11.0,,healthy,matched,0.0,11.0,,,,,,pmid_24040178
69.0,MCI,patients,Baduanjin,,,,,,,,pmid_31128522
36.0,PTSD,patients,immediate prolonged exposure treatment,,,,,,,,pmid_28715907
30.0,PTSD,patients,waiting list condition,,,,,,,,pmid_28715907
