count,diagnosis,group_name,male count,female count,age mean,age range,age minimum,age maximum,age median,subgroup_name,mean age,pmcid,rank,start_char,end_char
147.0,MDD,patients,50.0,97.0,,18-45,18.0,45.0,,,,5598991,,7260,9372
130.0,,healthy,49.0,81.0,,,,,,,,5598991,,7260,9372
24.0,healthy,participants,12.0,12.0,,,,,,students,,3362560,,7514,9845
57.0,A1 trauma,participants,22.0,35.0,21.9,18-37,18.0,37.0,,,,6024199,,14405,15358
21.0,PTSD,patients,7.0,14.0,22.1,18-37,18.0,37.0,,trauma-exposed control group,,6024199,,14405,15358
21.0,trauma-exposed control group,patients,7.0,15.0,21.5,18-31,18.0,31.0,,PTSD group,,6024199,,14405,15358
17.0,PD patients,patients,2.0,15.0,,,,,,,,6382839,,30626,32637
17.0,,healthy,4.0,13.0,,,,,,,,6382839,,30626,32637
70.0,BD patients,patients,,,37.0,18-65,18.0,65.0,,,,6908505,,7076,8109
18.0,Chinese smokers,smokers,18.0,0.0,25.11,21-33,21.0,33.0,25.0,,,3409150,1.0,8569,9966
13.0,,healthy,11.0,2.0,52.92,32-75,,,,,,2494616,,8118,9527
6.0,,healthy,,,43.0,30-56,,,,,,2494616,,8118,9527
30.0,MDD,patients,9.0,21.0,,18-45,18.0,45.0,,"first-episode, drug-nave",,4869560,,6957,9021
29.0,,healthy,15.0,14.0,26.76,,,,,,,4869560,,6957,9021
18.0,,healthy,,,,,,,,,,2995581,,24448,24931
87.0,stroke patients,patients,43.0,44.0,64.6,60-70,60.0,70.0,,,,5665859,1.0,15026,16316
15.0,,healthy,,,,,,,,,,5665859,1.0,15026,16316
20.0,fibromyalgia,patients,0.0,20.0,46.4,22-70,22.0,70.0,,,,6820536,,5393,6615
20.0,,healthy,,,42.1,21-70,21.0,70.0,,,,6820536,,5393,6615
34.0,schizophrenia,patients,20.0,14.0,35.0,22-55,22.0,55.0,32.0,unmedicated,,5292583,,6605,8461
35.0,,healthy,20.0,15.0,34.0,20-50,20.0,50.0,30.0,,,5292583,,6605,8461
1.0,,healthy,5.0,5.0,25.0,20-30,20.0,30.0,25.0,,,5460049,1.0,8342,10196
12.0,,healthy,5.0,7.0,25.8,25.8-25.8,25.0,25.0,25.0,right-handed,,7649291,1.0,8416,8816
28.0,,healthy,,,,21-54,,,,,,8883821,,7464,8764
20.0,,healthy,,,,19-43,,,,,,8883821,,7464,8764
30.0,,healthy,,,,19-54,,,,,,8883821,,7464,8764
20.0,,healthy,14.0,6.0,24.0,20-34,,,,,,8764488,,15910,17003
39.0,aphasia,patients,,,,,,,,,,5266856,,11355,12649
37.0,,healthy,,,,,,,,,,5266856,,11355,12649
11.0,proficient,patients,3.0,8.0,28.73,19-46,19.0,46.0,28.0,proficient,,3554651,,39775,41437
10.0,less-proficient,patients,3.0,7.0,30.0,19-45,19.0,45.0,30.0,less-proficient,,3554651,,39775,41437
24.0,"born VPT with no history of cerebral palsy, grade 3/4 intraventricular haemorrhage or periventricular leukomalacia",patients,12.0,12.0,20.0,15-20,15.0,20.0,18.0,VPT individuals,,4215530,,10681,12744
22.0,,healthy,11.0,11.0,,,,,,controls,,4215530,,10681,12744
21.0,idiopathic PD,patients,14.0,7.0,,,,,,,,3045463,,6018,9180
19.0,,healthy,12.0,7.0,,,,,,,,3045463,,6018,9180
1.0,,healthy,5.0,5.0,25.0,20-30,20.0,30.0,25.0,,,5832413,2.0,71716,72631
164.0,incarcerated,patients,0.0,164.0,34.5,18-50,18.0,50.0,35.0,female,,4174863,,7405,10633
46.0,non-incarcerated,patients,0.0,46.0,34.5,18-50,18.0,50.0,35.0,female,,4174863,,7405,10633
19.0,aMCI probably caused by Alzheimer's disease or mAD,patients,4.0,7.0,,65-81,,,,,,7838677,1.0,6036,9501
28.0,,healthy,14.0,14.0,,55-81,,,,,,7838677,1.0,6036,9501
17.0,schizophrenia,patients,10.0,7.0,34.5,22-55,22.0,55.0,32.0,,,7851842,,9615,11713
18.0,,healthy,10.0,8.0,33.5,23-56,23.0,56.0,31.0,,,7851842,,9615,11713
32.0,chronic left-hemisphere stroke patients,patients,27.0,5.0,62.0,1156,10.0,6210.0,27.0,,,4473263,,8398,9988
18.0,,healthy,8.0,10.0,63.0,9,9.0,63.0,,,,4473263,,8398,9988
103.0,,healthy,52.0,51.0,32.5,,18.0,,,,,3334814,,8117,11961
1.0,alcohol-dependence and binge drinking,patients,,,,,,,,,,3791281,2.0,9421,12146
24.0,IA,patients,14.0,10.0,20.58,20.58-20.58,20.0,20.0,20.0,,,8939409,,8544,9896
23.0,,healthy,10.0,13.0,21.13,21.13-21.13,21.0,21.0,21.0,,,8939409,,8544,9896
63.0,healthy,adults,36.0,27.0,2255.0,2255 or 3711,,,,,,7913329,,10518,11796
8.0,right-sided cerebral palsy,patients,3.0,5.0,19.0,13-30,,,15.0,,,6878729,1.0,7912,9122
17.0,DLB patients,patients,13.0,4.0,71.88,60-82 years,,,,,,6902076,1.0,6917,8222
20.0,,healthy,9.0,11.0,67.8,56-77 years,,,,,,6902076,1.0,6917,8222
45.0,MDD,patients,16.0,29.0,37.11,19-58,,,,,,4983635,,8102,10652
19.0,,healthy,8.0,11.0,33.0,20-52,,,,,,4983635,,8102,10652
50.0,relapsing-remitting MS,patients,,,,18-55,,,,,,6200185,,7655,8461
25.0,,healthy,,,,18-55,,,,,,6200185,,7655,8461
46.0,,healthy,32.0,14.0,22.61,,,,,,,7745153,,9299,12877
28.0,,healthy,15.0,13.0,26.39,22-33,22.0,33.0,26.0,,,7481390,1.0,8040,10638
16.0,DLB,patients,,,,,,,,,,3984441,,7293,9018
17.0,,healthy,,,,,,,,,,3984441,,7293,9018
50.0,IPD,patients,,,,,,,,,,6675526,,4609,5604
20.0,,healthy,11.0,9.0,54.6,54.6-12.3,,,,,,6675526,,4609,5604
24.0,FD-PDS patients with comorbid MDD,patients,0.0,24.0,42.44,,,,,FD-PDS-MDD,,7518235,1.0,18065,18709
24.0,FD-PDS patients without MDD,patients,0.0,24.0,42.44,,,,,FD-PDS,,7518235,1.0,18065,18709
24.0,,healthy,0.0,24.0,42.44,,,,,controls,,7518235,1.0,18065,18709
53.0,SAD,patients,36.0,17.0,29.9,13-29,13.0,29.0,29.0,,,4416052,,5666,9459
33.0,,healthy,29.0,14.0,29.4,29-29,29.0,29.0,29.0,,,4416052,,5666,9459
17.0,,healthy,8.0,9.0,7.4,6.97.8,6.0,8.0,,,,3780305,,14497,15232
8.0,,healthy,,,,,,,,,,4048172,2.0,29106,32063
18.0,,healthy,,,,,,,,,,4048172,2.0,29106,32063
7.0,,healthy,2.0,5.0,31.29,29-31,29.0,31.0,31.0,,,7758977,,6078,7557
6.0,,healthy,1.0,5.0,29.19,29-29,29.0,29.0,29.0,,,7758977,,6078,7557
15.0,without any psychiatric illness or nerve/brain-related conditions,patients,15.0,0.0,26.0,26-26,26.0,26.0,26.0,men,,5270359,,8450,9492
19.0,,healthy,13.0,6.0,,18-40,18.0,40.0,29.0,"right-handed, native English speakers, with no history of neurological disorders",,6787094,,37350,38168
3.0,,healthy,1.0,2.0,,,,,,,,6787094,,37350,38168
16.0,,healthy,,,,,,,,,,6787094,,37350,38168
35.0,SCD,patients,,,,,,,,,,7090024,1.0,5511,6530
32.0,,healthy,,,,,,,,,,7090024,1.0,5511,6530
44.0,PD,patients,,,,,45.0,,,,,6389716,,8216,9580
43.0,,healthy,,,,,,,,,,6389716,,8216,9580
14.0,,healthy,6.0,8.0,24.8,22-29,,,,right-handed,,3078751,,10341,10716
46.0,schizophrenia,patients,23.0,23.0,27.0,18-37,18.0,37.0,25.0,,,6197719,,10028,12384
46.0,,healthy,23.0,23.0,27.0,18-37,18.0,37.0,25.0,,,6197719,,10028,12384
104.0,WMHs,patients,,,,,,,,mild,,8315277,1.0,7581,10145
37.0,,healthy,,,,,,,,,,8315277,1.0,7581,10145
10.0,chronic marijuana (MJ) users,patients,8.0,2.0,,,,,,,,3742334,,7512,11306
18.0,,healthy,11.0,7.0,,,,,,,,3742334,,7512,11306
24.0,AN,patients,,,,,,,,right-handed individuals,,4530666,1.0,9512,12494
25.0,,healthy,,,,,,,,control individuals,,4530666,1.0,9512,12494
6.0,normal hearing levels,young adults,5.0,1.0,28.5,22-35,22.0,35.0,28.0,,,3894920,,10745,11773
30.0,CantoneseMandarinEnglish trilingual participants,students,10.0,20.0,18.25,18-25,18.0,25.0,21.0,,,5881103,,15988,18765
11.0,depressed patients,patients,5.0,6.0,61.8,56-68,56.0,68.0,61.0,,,4589842,,6061,7568
11.0,,healthy,5.0,6.0,56.8,56-68,56.0,68.0,56.0,,,4589842,,6061,7568
19.0,MDD,patients,,,,18-55,,,,,,7875881,,7093,8833
17.0,,healthy,,,,18-55,,,,HC,,7875881,,7093,8833
30.0,ADHD,patients,30.0,0.0,10.5,10-17,10.0,17.0,13.0,,,4190683,,9065,12151
30.0,,healthy,30.0,0.0,,,,,,,,4190683,,9065,12151
27.0,left hemisphere infarcts,patients,16.0,11.0,59.1,41.4-76.8,41.4,76.8,59.1,,,5903407,,7983,10239
24.0,,healthy,6.0,18.0,57.0,46-68,46.0,68.0,57.0,,,5903407,,7983,10239
32.0,healthy,volunteers,11.0,21.0,230.41,,,,,,,8018944,,8670,11952
223.0,mood and/or anxiety disorder,MA,61.0,162.0,36.0,(SD) age=36 (11),,,,,,7082218,,14245,17478
45.0,,healthy,22.0,23.0,32.0,(SD) age=32 (11),,,,,,7082218,,14245,17478
90.0,,healthy,,,,,,,,CON,,7416060,,8377,10336
54.0,chronic cannabis users,patients,,,,,,,,CAN,,7416060,,8377,10336
24.0,healthy,volunteers,12.0,12.0,26.0,23-34,23.0,34.0,,"right-handed, white Caucasian",,3502502,,6711,7624
46.0,healthy,volunteers,21.0,25.0,30.0,19-63,19.0,63.0,,right-handed,,3502502,,6711,7624
24.0,,healthy,12.0,12.0,25.3,21-34,21.0,34.0,,,,7994216,,12556,14217
53.0,mTBI,patients,25.0,28.0,,20-58,20.0,58.0,,,,7539836,,6826,8200
43.0,,healthy,19.0,24.0,,20-59,20.0,59.0,,,,7539836,,6826,8200
160.0,healthy,HCs,115.0,45.0,37.04,19-59,19.0,59.0,,,,7721229,,10065,13228
151.0,SZ,patients,115.0,36.0,38.77,18-62,18.0,62.0,,,,7721229,,10065,13228
314.0,,healthy,249.0,65.0,17.04,6.47-56.20,6.47,56.2,,,,7721229,,10065,13228
255.0,ASD,patients,224.0,31.0,17.05,7.00-55.40,7.0,55.4,,,,7721229,,10065,13228
41.0,UC,patients,25.0,16.0,37.1,20-54,20.0,54.0,,,,6457314,,5613,7441
42.0,,healthy,25.0,17.0,36.86,22-55,22.0,55.0,,,,6457314,,5613,7441
37.0,PD patients,patients,17.0,20.0,,,,,,,,4184784,,6434,8455
34.0,,healthy,22.0,12.0,,,,,,,,4184784,,6434,8455
13.0,right MCA territory infarction,patients,13.0,0.0,,,,,,,,8154462,,4472,5608
11.0,,healthy,11.0,0.0,,,,,,age-matched controls,,8154462,,4472,5608
55.0,ASD,patients,20.0,8.0,14.58,14.58-14.58,14.0,15.0,14.0,adolescents,,8213933,,13173,14739
27.0,,healthy,18.0,9.0,14.49,14.49-14.49,14.0,15.0,14.0,adolescents,,8213933,,13173,14739
23.0,,healthy,15.0,8.0,31.1,19-44,,,,,,5761874,,7481,8731
25.0,temporal lobe epilepsy,patients,13.0,12.0,33.6,20-45,,,,,,5761874,,7481,8731
12.0,cockroach phobia,patients,4.0,8.0,40.08,27-55,27.0,55.0,,,,6220927,,5977,7136
12.0,,healthy,4.0,8.0,24.08,18-32,18.0,32.0,,,,6220927,,5977,7136
66.0,TLE patients with unilateral hippocampal sclerosis (HS),patients,40.0,26.0,32.0,18-60,18.0,60.0,30.0,,,8933317,1.0,8349,9763
31.0,,healthy,20.0,11.0,28.0,20-45,20.0,45.0,25.0,,,8933317,1.0,8349,9763
18.0,ASC,patients,18.0,0.0,30.4,18-45,18.0,45.0,,,,4265725,,10617,12494
18.0,,healthy,18.0,0.0,28.6,18-45,18.0,45.0,,,,4265725,,10617,12494
20.0,,healthy,9.0,11.0,21.95,18-35,18.0,35.0,,,,4810172,,9482,10858
34.0,,healthy,12.0,12.0,,2345,23.0,45.0,,,,2525845,,5998,8666
24.0,asymptomatic carotid artery stenosis,patients,,,,55-80,55.0,80.0,,,,5552726,1.0,3930,5250
16.0,asymptomatic carotid artery stenosis,patients,,,,55-80,55.0,80.0,,,,5552726,1.0,3930,5250
22.0,MTLE,patients,13.0,8.0,45.3,29.7-71.3,29.0,71.0,45.0,,,7836234,,7759,9900
19.0,,healthy,10.0,9.0,45.8,-,,,,age matched,,7836234,,7759,9900
15.0,PTSD,patients,8.0,7.0,,18-65,18.0,65.0,,,,8785646,,15850,19588
15.0,,healthy,7.0,8.0,,20-60,20.0,60.0,,,,8785646,,15850,19588
14.0,AD,patients,,,,,,,,,,3423412,,6223,8710
8.0,MCI,patients,,,,,,,,,,3423412,,6223,8710
14.0,,healthy,,,,,,,,elderly controls,,3423412,,6223,8710
27.0,primary generalized SAD,patients,15.0,12.0,,minimum of three months since stopping pharmacotherapy,,,,,,4029608,,8770,11234
27.0,,healthy,14.0,13.0,,,,,,,,4029608,,8770,11234
167.0,ADHD,patients,,,,5-18,5.0,18.0,11.0,youths,,8782893,,7940,10880
1.0,idiopathic thrombocytopenia,patients,1.0,0.0,29.0,29-29,29.0,29.0,29.0,,,8978988,4.0,3462,7367
8.0,,healthy,4.0,4.0,31.75,26-37,26.0,37.0,31.0,,,4522562,,34627,36506
9.0,healthy,volunteers,6.0,3.0,27.0,19-27,19.0,27.0,27.0,musicians,,5719057,,36231,39516
22.0,,healthy,16.0,6.0,16.0,12-20,12.0,20.0,16.0,,,3701149,,11779,14691
12.0,adolescents with transient AHs,patients,5.0,7.0,15.97,12-20,12.0,20.0,15.97,,,3701149,,11779,14691
13.0,adolescents with a 22q11.2 Deletion Syndrome,patients,9.0,4.0,16.14,12-20,12.0,20.0,16.14,,,3701149,,11779,14691
65.0,idiopathic PD,patients,45.0,20.0,65.0,45-80,45.0,80.0,68.0,right-handed PD patients,,5655292,,3039,4402
24.0,,healthy,12.0,12.0,,,,,,,,5655292,,3039,4402
76.0,Caucasian,participants,60.0,16.0,49.9,40-60,40.0,60.0,,all,,9205431,,45406,48741
38.0,,healthy,16.0,22.0,,,,,,APOE-4,,9205431,,45406,48741
38.0,,healthy,,,,,,,,3/3 or e2/3,,9205431,,45406,48741
7.0,,healthy,7.0,0.0,23.5,21-28,21.0,28.0,23.0,male,,7406917,1.0,8419,12364
18.0,nAMD,patients,9.0,9.0,,,,,,,,8544331,1.0,16185,17940
18.0,,healthy,9.0,9.0,,,,,,,,8544331,1.0,16185,17940
10.0,ET,patients,6.0,4.0,69.4,48.9,48.0,89.0,,,,7493988,,43154,44585
10.0,,healthy,5.0,5.0,67.7,77.8,67.0,78.0,,,,7493988,,43154,44585
12.0,Alzheimer's,patients,6.0,6.0,75.0,65-85,65.0,85.0,72.0,,,6611425,1.0,40608,40995
20.0,Tourette syndrome,patients,20.0,0.0,,6-16,6.0,16.0,11.0,TS subjects,,3877773,,6179,7775
17.0,,healthy,17.0,0.0,,6-16,6.0,16.0,11.0,,,3877773,,6179,7775
